SSS v= 8017  t=  240 
SSS    0     0     0     0
%P VOLT1   = 7801
%P VOLT2   = 8017
%P S2_SC   =  1.00
%P L_ANG_MAX = 240
S 8017     0     0     0
B   0 801  119    0
B  10 801  119    0
B  20 801  119    0
B  30 803  119    0
B  40 707  119    0
B  50 684  119    0
B  60 685  119    0
B  70 670  119    0
B  80 638  119    6
B  90 608  119   15
B 100 597  119   24
B 110 605  119   32
B 120 626  119   41
B 130 647  119   52
B 140 657  117   61
B 150 656   95   73
B 160 650   71   85
B 170 646   45   97
B 180 657   39  111
B 190 672   39  124
B 200 713   39  139
B 210 741   39  152
B 220 754   39  166
pull out 179
B 230 761 -119  179
B 240 766 -119  192
B 250 731 -119  203
B 260 645 -119  213
B 270 637 -119  224
B 280 657 -119  234
B 290 684 -119  243
B 300 697 -119  250
B 310 673 -119  253
B 320 623 -119  253
B 330 596 -119  253
B 340 585 -119  244
B 350 588 -119  231
B 360 609 -119  217
B 370 643 -119  201
B 380 670 -119  185
B 390 690 -119  168
B 400 702 -119  148
B 410 705 -119  129
B 421 705 -119  105
B 431 708 -119   81
B 442 713 -119   56
B 452 721 -119   33
B 462 730 -119    7
push -19 -15
push out at target
B 473 736   79  -19
B 484 700   79  -31
B 495 641   79  -43
B 505 655   79  -53
B 515 680   79  -63
B 525 703   79  -75
B 535 720   79  -87
B 545 708   79  -96
B 555 667   64 -100
B 565 630   22 -101
B 575 654    0 -100
B 585 716    9  -93
B 595 750    9  -81
B 605 770    9  -72
B 616 780    9  -58
B 626 785    9  -45
B 636 788    9  -32
B 646 789    9  -18
B 656 790    9   -5
B 666 791    9    6
pb end 
SSS v= 8003  t=  240 
SSS    8     0     0    -1
%P VOLT1   = 7801
%P VOLT2   = 8003
%P S2_SC   =  1.00
%P L_ANG_MAX = 240
S 8003     8     0     0
B   0 800  119   -1
B  11 800  119   -1
B  21 800  119   -1
B  31 765  119   -1
B  41 692  119   -1
B  51 684  119   -1
B  61 692  119   -1
B  71 686  119   -1
B  81 655  119    3
B  91 621  119   12
B 101 601  119   21
B 111 602  119   31
B 121 620  119   41
B 131 644  119   52
B 141 658  115   63
B 151 662   91   75
B 161 659   69   87
B 171 653   39  100
B 181 675   39  113
B 191 690   39  128
B 201 730   39  143
B 211 748   39  157
B 221 758   39  170
pull out 179
B 231 763 -119  184
B 241 767 -119  196
B 251 691 -119  208
B 261 634 -119  217
B 271 639 -119  229
B 281 663 -119  238
B 291 689 -119  247
B 301 694 -119  253
B 311 659 -119  255
B 321 613 -119  255
B 331 593 -119  255
B 341 585 -119  243
B 351 594 -119  229
B 361 617 -119  215
B 371 648 -119  199
B 381 674 -119  182
B 391 694 -119  164
B 401 703 -119  144
B 411 705 -119  123
B 421 705 -119  103
B 431 708 -119   80
B 442 714 -119   53
B 453 722 -119   27
B 463 730 -119    3
push -15 -15
push out at target
B 473 736   79  -23
B 484 733   79  -33
B 495 704   79  -46
B 507 655   79  -64
B 517 667   79  -79
B 528 690   79  -96
B 539 712   79 -113
B 549 709   79 -129
B 559 669   79 -137
B 570 627   55 -141
B 581 606   19 -141
B 591 644    9 -140
B 601 715    9 -128
B 612 751    9 -115
B 623 770    9 -103
B 633 780    9  -89
B 643 784    9  -77
B 653 786    9  -65
B 663 788    9  -51
B 674 789    9  -38
pb end 
SSS v= 7996  t=  250 
SSS   11     0     0     3
%P VOLT1   = 7801
%P VOLT2   = 7993
%P S2_SC   =  1.00
%P L_ANG_MAX = 250
S 7993    11     0     0
B   0 799  120    3
B  11 799  120    3
B  21 799  120    3
B  31 763  120    3
B  41 692  120    3
B  51 682  120    3
B  61 679  120    4
B  71 661  120    4
B  81 629  120    7
B  91 602  120   17
B 101 597  120   25
B 111 611  120   35
B 121 634  120   45
B 131 651  120   56
B 141 657  110   67
B 151 654   88   79
B 161 649   65   91
B 171 647   42  104
B 181 674   40  117
B 191 694   40  133
B 201 730   40  147
B 211 748   40  160
B 222 757   40  176
pull out 188
B 232 762 -120  189
B 243 765 -120  203
B 253 672 -120  213
B 264 629 -120  225
B 275 645 -120  236
B 285 674 -120  246
B 296 695 -120  255
B 307 677 -120  260
B 317 627 -120  260
B 328 596 -120  260
B 338 584 -120  253
B 349 587 -120  239
B 360 608 -120  223
B 371 644 -120  206
B 381 670 -120  190
B 391 690 -120  172
B 402 701 -120  149
