SSS v=  737  t=  270 
SSS    0     0     0     0
%P VOLT1   = 7978
%P VOLT2   = 741
%P S2_SC   = 10.85
%P L_ANG_MAX = 270
S  737     0     0     0
B   0  74 1302    0
B  10  73 1302    0
B  20  73 1302    0
B  30  74 1302    0
B  41  73 1302    0
B  52  74 1302    0
B  63  73 1302    0
B  73  74 1302    0
B  83  73 1302    0
B  93  74 1302    0
B 103  73 1302    0
B 113  73 1302    0
B 123  74 1302    0
B 133  74 1302    0
B 143  74 1302    0
B 153  74 1302    0
B 163  74 1302    0
B 173  73 1302    0
B 183  74 1302    0
B 193  73 1302    0
B 203  73 1302    0
B 213  74 1302    0
B 223  73 1302    0
B 233  74 1302    0
B 243  74 1302    0
B 253  73 1302    0
B 263  73 1302    0
B 273  73 1302    0
B 283  74 1302    0
B 293  74 1302    0
B 303  74 1302    0
B 313  74 1302    0
B 323  74 1302    0
B 333  74 1302    0
B 343  73 1302    0
B 353  73 1302    0
B 363  73 1302    0
B 373  73 1302    0
B 383  73 1302    0
B 393  73 1302    0
B 403  74 1302    0
B 413  73 1302    0
B 423  74 1302    0
B 433  73 1302    0
B 443  73 1302    0
B 453  73 1302    0
B 463  74 1302    0
B 473  73 1302    0
B 483  74 1302    0
B 493  74 1302    0
pull bail out
B 503  73 -1302    0
B 513  73 -1302    0
B 523  74 -1302    0
B 533  74 -1302    0
B 543  74 -1302    0
B 553  73 -1302    0
B 564  73 -1302    0
B 574  73 -1302    0
B 584  74 -1302    0
B 594  74 -1302    0
B 604  74 -1302    0
B 614  74 -1302    0
B 625  73 -1302    0
B 635  74 -1302    0
B 645  74 -1302    0
B 655  73 -1302    0
B 665  74 -1302    0
B 675  73 -1302    0
B 685  74 -1302    0
B 696  74 -1302    0
B 706  74 -1302    0
B 716  73 -1302    0
B 726  74 -1302    0
B 736  74 -1302    0
B 746  74 -1302    0
B 756  73 -1302    0
B 766  73 -1302    0
B 776  73 -1302    0
B 786  74 -1302    0
B 796  74 -1302    0
B 807  73 -1302    0
B 817  73 -1302    0
B 829  74 -1302    0
B 839  74 -1302    0
B 849  73 -1302    0
B 860  73 -1302    0
B 870  73 -1302    0
B 880  73 -1302    0
B 891  73 -1302    0
push bail out 
B 901  73  868    0
B 911  74  868    0
B 921  73  868    0
B 931  73  868    0
B 941  74  868    0
B 951  73  868    0
B 961  74  868    0
B 971  74  868    0
B 981  74  108    0
B 991  74  108    0
B 1001  73  108    0
B 1011  73  108    0
B 1021  73  108    0
B 1031  73  108    0
B 1041  74  108    0
B 1051  73  108    0
B 1062  74  108    0
B 1072  73  108    0
pb end 
