SSS v= 7947  t=  220
SSS  -56     3    35   -20
%P VOLT1   = 7801
%P VOLT2   = 7951
%P S2_SC   =  1.01
%P L_ANG_MAX = 220
S 7951   -56     3    35
B   0 795  120  -20
B  10 794  120  -20
B  21 739  120  -20
B  31 681  120  -20
B  41 667  120  -20
B  51 655  120  -18
B  61 635  120  -13
B  71 613  120   -6
B  81 603  120    3
B  91 608  120   11
B 101 623  120   19
B 111 637  120   29
B 121 643  120   38
B 132 644  120   49
B 142 641  120   60
B 152 641   87   72
B 162 647   51   84
B 172 667   30   96
B 182 695   30  109
B 192 733   30  122
B 202 751   30  135
B 212 760   30  147
B 222 765   30  158
pull out 162
B 232 768 -120  170
B 242 770 -120  180
B 252 757 -120  190
B 262 654 -120  199
B 272 637 -120  207
B 282 654 -120  215
B 292 679 -120  223
B 302 698 -120  227
B 312 691 -120  231
B 322 651 -120  231
B 332 612 -120  231
B 342 593 -120  227
B 352 589 -120  215
B 362 603 -120  201
B 372 630 -120  187
B 382 659 -120  171
B 392 681 -120  154
B 402 695 -120  137
B 412 702 -120  119
B 422 701 -120   99
B 432 701 -120   77
B 442 704 -120   54
B 452 710 -120   31
B 462 717 -120    8
push -13 -10
push out at target
B 472 724   80  -16
B 482 730   80  -37
B 492 726   80  -47
B 502 702   80  -60
B 512 653   80  -74
B 522 658   80  -86
B 532 679   80 -101
B 542 700   80 -116
B 552 714   80 -131
B 562 693   80 -143
B 572 651   80 -149
B 582 617   39 -150
B 592 602    0 -150
B 602 687   10 -148
B 612 736   10 -137
B 622 757   10 -129
B 632 768   10 -117
B 642 775   10 -106
B 652 778   10  -95
B 662 781   10  -85
B 672 782   10  -74
B 682 783   10  -64
pb end 
B 692 784   10  -54
B 702 785   10  -46
SSS v= 7856  t=  231
SSS  -60     3    35   -39
%P VOLT1   = 7801
%P VOLT2   = 7856
%P S2_SC   =  1.02
%P L_ANG_MAX = 231
S 7856   -60     3    35
B 713 785  122  -37
B 723 785  122  -31
B 733 786  122  -25
B 743 739  122  -21
B 753 713  122  -16
B 764 716  122  -12
B 774 728  122   -6
B 784 737  122   -2
B 794 733  122    1
B 804 703  122    5
B 814 668  122   12
B 825 639  122   22
B 835 619  122   33
B 846 615  122   47
B 857 626  122   57
B 867 643   98   69
B 877 655   61   81
B 887 677   30   92
B 897 689   30  105
B 907 724   30  119
B 917 745   30  131
B 927 755   30  144
B 937 761   30  155
B 947 765   30  167
pull out 172
B 957 767 -122  179
B 967 768 -122  189
B 977 690 -122  199
B 987 638 -122  207
B 997 643 -122  215
B 1007 665 -122  223
B 1017 688 -122  230
B 1027 693 -122  234
B 1037 661 -122  235
B 1047 621 -122  235
B 1057 595 -122  235
B 1067 586 -122  223
B 1077 593 -122  211
B 1087 617 -122  197
B 1097 645 -122  182
B 1107 670 -122  166
B 1117 688 -122  148
B 1127 697 -122  130
B 1137 698 -122  110
B 1147 698 -122   89
B 1157 700 -122   67
B 1167 705 -122   44
B 1177 712 -122   21
B 1187 719 -122   -3
push -12 -10
push out at target
B 1197 725   81  -27
B 1207 729   81  -42
B 1217 717   81  -54
B 1227 667   81  -68
B 1237 647   81  -81
B 1247 663   81  -93
B 1257 685   81 -109
B 1267 705   81 -124
B 1277 704   81 -138
B 1287 667   81 -147
B 1297 628   65 -150
B 1307 603   14 -150
B 1317 637   10 -150
B 1327 710   10 -143
B 1337 744   10 -132
B 1347 761   10 -123
B 1357 770   10 -111
B 1367 774   10  -99
B 1377 777   10  -89
B 1387 779   10  -77
B 1397 780   10  -66
pb end 
