messed up
SSS v= 8395  t=  220
SSS  -14   -80     0     3
%P VOLT1   = 8274
%P VOLT2   = 8395
%P S2_SC   =  0.95
%P L_ANG_MAX = 220
S 8395   -14   -80     0
B   0 839  114    3
B  10 839  114    3
B  20 749  114    3
B  30 710  114    3
B  40 713  114    3
B  50 717  114    3
B  61 698  114    3
B  72 658  114   11
B  82 628  114   21
B  94 620  114   33
B 104 637  114   44
B 114 662  114   54
B 124 681  103   64
B 134 687   77   75
B 144 683   40   87
B 154 674   28   99
B 164 715   28  112
B 174 745   28  126
B 184 779   28  139
B 194 797   28  151
B 204 807   28  163
pull out 163
B 214 811 -114  175
B 224 814 -114  186
B 234 741 -114  197
B 244 669 -114  207
B 254 669 -114  215
B 264 693 -114  224
B 274 719 -114  230
B 284 726 -114  235
B 294 689 -114  237
B 304 646 -114  237
B 314 618 -114  237
B 324 607 -114  224
B 334 613 -114  211
B 344 640 -114  196
B 354 674 -114  179
B 364 703 -114  163
B 374 725 -114  145
B 384 735 -114  126
B 394 736 -114  106
B 404 734 -114   84
B 414 735 -114   60
B 424 739 -114   37
B 434 747 -114   11
push -13 -10
push out at target
B 444 756   76  -13
B 454 760   76  -25
B 464 738   76  -37
B 474 682   76  -51
B 484 694   76  -63
B 494 718   76  -78
B 504 742   76  -93
B 514 755   76 -107
B 525 728   76 -121
B 535 683   76 -126
B 547 648   30 -127
B 557 675    0 -126
B 567 733    9 -121
B 577 775    9 -109
B 587 802    9  -97
B 597 816    9  -87
B 607 822    9  -75
B 617 825    9  -63
B 627 827    9  -51
B 637 828    9  -40
B 647 829    9  -28
B 657 830    9  -17
pb end 
B 667 830   10   -6
B 677 831   10    3
SSS v= 8307  t=  221
SSS  -18   -73     0     3
%P VOLT1   = 8274
%P VOLT2   = 8307
%P S2_SC   =  0.96
%P L_ANG_MAX = 221
S 8311   -18   -73     0
B 687 831  115   11
B 698 825  115   17
B 708 755  115   21
B 718 745  115   24
B 728 754  115   27
B 739 770  115   31
B 749 777  115   32
B 759 761  115   35
B 769 714  115   39
B 779 674  115   47
B 789 650  115   57
B 799 629   95   67
B 809 631   60   80
B 820 650   28   92
B 830 718   28  104
B 840 763   28  115
B 850 788   28  127
B 860 801   28  137
B 870 806   28  148
B 880 810   28  158
B 890 811   28  167
pull out 169
B 900 813 -115  177
B 910 814 -115  186
B 920 716 -115  194
B 930 668 -115  199
B 940 676 -115  206
B 950 700 -115  212
B 960 726 -115  216
B 970 740 -115  219
B 980 717 -115  219
B 990 667 -115  219
B 1000 629 -115  219
B 1010 611 -115  207
B 1020 616 -115  193
B 1030 641 -115  179
B 1040 674 -115  163
B 1050 703 -115  147
B 1060 723 -115  129
B 1070 731 -115  111
B 1080 731 -115   90
B 1090 729 -115   68
B 1100 730 -115   46
B 1110 735 -115   20
B 1120 744 -115   -4
push -11 -10
push out at target
B 1130 751   77  -18
B 1140 744   77  -30
B 1150 704   77  -43
B 1160 679   77  -57
B 1170 698   77  -69
B 1180 723   77  -85
