L: in lcd_mode_selection
L: t_push=   115
L: in lcd_bat_adj
L: t_push=    81
%Initializing ...
% batt1   = 7.98v
% batt2   = 8.26v
% mode    = 6   
% time    = 674239   
% Wheel_L =  -96   
% Wheel_R =   12   
% Bat     =    6   
% Intaker =    0   
% Gryo    = -198   
SSS vs= 0.99  t=  178
%P VOLT1   = 7978
%P VOLT2   = 8262
%P S2_SC   =  0.99
%P L_ANG_MAX = 178
B   0 809   69    0
B  10 8091   69    0
B  20 8090   69    0
B  30 7967   69    0
B  40 7944   69    0
B  50 7951   69    0
B  60 7939   69    0
B  71 7888   69    0
B  81 7544   69    8
B  91 7607   69   17
B 101 7622   69   26
B 111 7551   69   35
B 121 7469   69   45
B 133 7480   69   56
B 143 7474   29   67
B 154 7543   29   79
B 164 7579   29   91
B 175 7656   29  104
*** dtMore = 19 , A = 108
B 185 7733   29  117
B 196 7719   29  129
pull out 131
B 206 7727  -98  139
B 216 7944  -98  149
B 226 7767  -98  160
B 238 7679  -98  172
B 248 7719  -98  181
B 258 7818  -98  189
B 268 7379  -98  195
B 278 7287  -98  198
B 288 7346  -98  198
B 298 7396  -98  198
*** amax = 198  vhit = 90
B 308 7374  -89  189
B 318 7205  -89  173
B 328 6911  -89  157
B 338 6992  -89  140
B 348 7052  -89  124
B 358 7308  -89  105
B 368 7322  -89   85
B 378 7463  -89   64
B 388 7602  -89   39
B 398 7609  -89   17
B 409 7630  -89   -9
push -12 -10
push out at target
B 420 7639   79  -22
B 430 7600   79  -35
B 441 7545   79  -51
B 451 7553   79  -67
B 463 7511   79  -83
B 473 7567   79 -100
B 484 7437   79 -116
B 495 7475   79 -129
B 505 7369   79 -135
B 515 7468   39 -135
B 526 7393    9 -135
B 538 7241    9 -126
B 548 7321    9 -113
B 559 7324    9 -102
B 569 7944    9  -89
B 580 7954    9  -73
B 590 7995    9  -60
B 600 7999    9  -47
B 611 8001    9  -34
pb end 
SSS vs= 0.99  t=  178
%P VOLT1   = 7978
%P VOLT2   = 8251
%P S2_SC   =  0.99
%P L_ANG_MAX = 178
B   0 808   69    1
B  10 8087   69    1
B  20 8051   69    1
B  30 8087   69    1
B  40 7993   69    1
B  50 7905   69    1
B  60 7916   69    1
B  70 7920   69    1
B  80 7576   69    1
B  90 7644   69    4
B 100 7608   69   11
B 110 7590   69   21
B 120 7384   69   31
B 130 7404   69   41
B 140 7461   69   51
B 150 7475   69   61
B 160 7475   29   71
B 171 7546   29   83
B 182 7653   29   97
*** dtMore = 20 , A = 107
B 192 7684   29  111
B 203 7708   29  122
pull out 131
B 214 7720  -98  134
B 224 7940  -98  144
B 235 7890  -98  155
B 246 7677  -98  167
B 256 7681  -98  177
B 266 7739  -98  186
B 277 7231  -98  193
B 287 7233  -98  198
B 297 7110  -98  198
B 307 7348  -98  198
*** amax = 198  vhit = 90
B 317 7380  -89  194
B 327 7370  -89  180
B 337 7087  -89  165
B 348 7028  -89  147
B 359 7040  -89  127
B 369 7087  -89  109
B 379 7253  -89   89
B 390 7502  -89   66
B 400 7498  -89   43
