%Initializing ... 
%  batt 8.39v 8.19v 
% * pre-auton 
%    pre-initializer 
%P L_ANGM = 210
%P L_ANG1 = 60
%P L_ANG2 = 90
%P S_V    = 80
%P S_ANG1 = 40
%P S_ANG2 = 80
%P M_V    = 80
%P M_ANG1 = 50
%P M_ANG2 = 90
in loop, waiting for press
L: in lcd_mode_selection
L: t_push=   102
L: in lcd_bat_adj
L: t_push=   135
%Initializing ...
% batt1   = 8.33v
% batt2   = 8.19v
% mode    = 6   
% time    = 26923   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%Initializing ...
% batt1   = 8.33v
% batt2   = 8.19v
% mode    = 6   
% time    = 26923   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
% * usercontrol 
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
SSS vs= 1.00  t=  210
%P VOLT1   = 8392
%P VOLT2   = 8188
%P S2_SC   =  0.96
%P L_ANG_MAX = 210
B   0 831   67    0
B  10 8310   67    0
B  20 8310   67    0
B  30 8250   67    0
B  40 8173   67    0
B  50 8179   67    0
B  61 8202   67    0
B  72 7834   67    0
B  82 7840   67    0
B  92 8024   67    0
B 102 8000   67    1
B 112 7944   67    9
B 122 7889   67   18
B 132 7862   67   29
B 142 7894   67   39
B 152 7638   67   50
B 163 7662   66   61
B 173 7666   52   73
B 183 7837   38   84
B 194 7898   28   97
B 204 7926   28  109
B 215 7963   28  121
*** dt = 33 , A = 126 , rpm = 380 
B 225 7946   28  134
B 235 8062   28  145
B 246 8065   28  155
pull out 161
B 257 8213  -96  166
B 267 8213  -96  176
B 277 8214  -96  187
B 287 7979  -96  195
B 297 7929  -96  201
B 307 7971  -96  209
B 317 8034  -96  215
B 327 7555  -96  219
B 337 7531  -96  222
B 347 7590  -96  222
B 357 7708  -96  222
*** amax = 222  vhit = 94
B 367 7659  -90  216
B 377 7546  -90  202
B 387 7171  -90  187
B 397 7243  -90  169
B 407 7246  -90  151
B 417 7470  -90  133
B 427 7491  -90  114
B 437 7675  -90   93
B 447 7813  -90   69
B 458 7820  -90   42
B 468 7838  -90   17
B 479 7854  -90   -9
push -11 -10
push out at target
B 489 7864   77  -21
B 499 7829   77  -34
B 509 7824   77  -51
B 520 7761   77  -68
B 531 7831   77  -85
B 542 7683   77 -106
B 552 7409   77 -123
B 562 7398   77 -140
B 573 7654   77 -152
B 583 7720   77 -157
B 593 7691   30 -157
B 604 7614    9 -156
B 614 7586    9 -144
B 625 7663    9 -128
B 635 7630    9 -115
B 645 8139    9  -99
B 657 8218    9  -81
B 668 8225    9  -65
B 678 8227    9  -51
B 688 8228    9  -36
pb end 
SSS vs= 0.96  t=  178
%P VOLT1   = 8333
%P VOLT2   = 8185
%P S2_SC   =  0.97
%P L_ANG_MAX = 178
B   0 827   67    2
B  10 8275   67    2
B  22 8273   67    2
