continuous with long delay
%Initializing ... 
%  batt 8.21v 8.11v 
% * pre-auton 
%    pre-initializer 
%P L_ANGM = 210
%P L_ANG1 = 60
%P L_ANG2 = 90
%P S_V    = 80
%P S_ANG1 = 40
%P S_ANG2 = 80
%P M_V    = 80
%P M_ANG1 = 50
%P M_ANG2 = 90
in loop, waiting for press
L: in lcd_mode_selection
L: t_push=    97
L: in lcd_bat_adj
L: t_push=    63
%Initializing ...
% batt1   = 8.21v
% batt2   = 8.10v
% mode    = 6   
% time    = 11042   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%Initializing ...
% batt1   = 8.21v
% batt2   = 8.10v
% mode    = 6   
% time    = 11043   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
% * usercontrol 
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
SSS vs= 1.00  t=  186
%P VOLT1   = 8214
%P VOLT2   = 8104
%P S2_SC   =  0.98
%P L_ANG_MAX = 186
B   0 817   68    0
B  10 8170   68    0
B  20 8080   68    0
B  30 8030   68    0
B  40 8041   68    0
B  50 7817   68    0
B  60 7831   68    0
B  70 7732   68    0
B  80 7805   68    1
B  91 7751   68    9
B 101 7770   68   19
B 111 7613   68   29
B 121 7651   68   38
B 131 7572   68   47
B 141 7583   68   56
B 151 7577   36   66
B 162 7699   29   76
B 173 7804   29   89
*** dt = 44 , A = 98 , rpm = 346 
B 184 7793   29  100
B 194 7805   29  109
B 205 8057   29  118
B 215 8064   29  127
B 225 8065   29  135
pull out 135
B 235 8070  -97  143
B 245 8070  -97  152
B 255 7896  -97  160
B 265 7796  -97  164
B 276 7830  -97  170
B 287 7893  -97  175
B 297 7274  -97  179
B 307 7597  -97  181
B 317 7504  -97  181
B 327 7530  -97  181
*** amax = 181  vhit = 102
B 338 7569  -99  176
B 350 7420  -99  159
B 361 7469  -99  142
B 371 7156  -99  125
B 381 7150  -99  107
B 391 7195  -99   88
B 402 7463  -99   67
B 412 7606  -99   44
B 422 7602  -99   21
B 432 7679  -99   -3
push -11 -10
push out at target
B 443 7722   78  -18
B 455 7601   78  -33
B 465 7608   78  -45
B 476 7661   78  -55
B 486 7291   78  -69
B 497 7329   78  -81
B 507 7466   78  -93
B 517 7653   78  -98
B 527 7581   30  -99
B 537 7626    0  -99
B 548 7650    9  -95
B 559 7491    9  -81
B 570 7544    9  -69
B 580 7956    9  -57
B 590 8003    9  -42
B 601 8008    9  -28
B 611 8117    9  -13
B 622 8120    9    1
B 634 8120    9   16
pb end 
SSS vs= 0.98  t=  186
%P VOLT1   = 8214
%P VOLT2   = 8101
%P S2_SC   =  0.98
%P L_ANG_MAX = 186
B   0 816   68   -3
B  10 8168   68   -3
B  20 8167   68   -3
B  31 8092   68   -3
B  43 8027   68   -3
B  53 8042   68   -3
B  63 8068   68   -3
B  73 7801   68   -3
B  83 7793   68   -2
B  93 7806   68    4
B 103 7740   68   12
B 113 7706   68   21
B 123 7569   68   31
B 133 7462   68   39
B 143 7495   68   49
B 153 7547   68   59
B 163 7651   29   69
B 173 7660   29   79
B 183 7798   29   90
*** dt = 43 , A = 99 , rpm = 348 
B 193 7788   29  101
B 203 7802   29  111
B 213 7809   29  119
B 223 8060   29  129
B 233 8065   29  138
pull out 139
B 243 8029  -97  147
B 253 8067  -97  156
B 263 8010  -97  165
B 273 7810  -97  170
B 283 7796  -97  177
B 293 7844  -97  182
B 303 7909  -97  187
B 313 7460  -97  190
B 323 7435  -97  191
B 333 7485  -97  191
B 343 7603  -97  191
*** amax = 191  vhit = 98
B 353 7563  -95  182
B 363 7531  -95  168
B 373 7161  -95  151
B 383 7229  -95  135
B 393 7152  -95  118
B 403 7372  -95   98
B 413 7388  -95   79
B 423 7530  -95   57
B 433 7671  -95   34
B 443 7672  -95   11
push -10 -10
push out at target
B 453 7722   78  -12
B 463 7693   78  -23
B 473 7661   78  -35
B 483 7645   78  -50
B 493 7652   78  -65
B 503 7701   78  -78
B 513 7717   78  -94
B 523 7538   78 -109
B 533 7481   78 -123
B 543 7548   78 -131
B 553 7629   54 -133
B 563 7600    6 -133
B 573 7596    9 -133
B 583 7244    9 -122
B 593 7354    9 -109
B 603 7385    9  -95
B 613 7734    9  -83
B 623 7748    9  -69
B 633 8074    9  -55
B 643 8081    9  -40
B 653 8082    9  -27
pb end 
B 663 8084   10  -13
B 673 8119   10    0
B 683 8119   10   12
B 693 8122   10   21
B 703 8122   10   27
B 713 8120   10   32
B 723 8122   10   35
B 733 8122   10   37
B 743 8123   10   38
B 753 8122   10   39
B 763 8123   10   39
B 773 8123   10   41
B 783 8158   10   41
B 793 8123   10   41
B 803 8122   10   41
B 813 8122   10   41
B 823 8122   10   41
B 833 8122   10   41
B 843 8123   10   41
B 853 8123   10   41
B 863 8122   10   41
B 873 8122   10   41
B 883 8123   10   41
B 893 8123   10   41
B 903 8123   10   40
B 913 8125   10   39
B 923 8123   10   37
B 933 8123   10   36
B 943 8125   10   35
B 953 8123   10   35
B 963 8125   10   35
B 973 8123   10   35
B 983 8125   10   34
B 993 8123   10   34
B 1003 8125   10   34
B 1013 8125   10   34
B 1023 8125   10   34
B 1033 8123   10   34
B 1043 8125   10   34
B 1053 8125   10   34
B 1063 8161   10   34
B 1073 8158   10   34
B 1083 8126   10   34
B 1093 8126   10   34
B 1103 8125   10   34
B 1113 8125   10   34
B 1123 8127   10   34
B 1133 8123   10   34
B 1143 8125   10   34
B 1153 8125   10   34
B 1163 8125   10   34
B 1173 8126   10   34
B 1183 8161   10   34
B 1193 8160   10   34
B 1203 8125   10   34
B 1213 8126   10   34
B 1223 8126   10   34
B 1233 8126   10   34
B 1243 8125   10   34
B 1253 8125   10   34
B 1263 8126   10   34
B 1273 8125   10   34
B 1283 8125   10   34
B 1293 8126   10   34
B 1303 8125   10   34
B 1313 8125   10   34
B 1323 8126   10   34
B 1333 8127   10   34
B 1343 8125   10   34
B 1353 8125   10   34
B 1363 8127   10   34
B 1373 8126   10   34
B 1383 8126   10   34
B 1393 8126   10   34
B 1403 8126   10   34
B 1413 8126   10   34
B 1423 8126   10   34
B 1433 8126   10   34
B 1443 8126   10   34
B 1453 8126   10   34
B 1463 8125   10   34
B 1473 8125   10   34
B 1483 8126   10   34
B 1493 8126   10   34
B 1503 8127   10   34
B 1513 8126   10   34
B 1523 8126   10   34
B 1533 8126   10   34
B 1543 8125   10   34
B 1553 8126   10   34
B 1563 8126   10   34
B 1573 8125   10   34
B 1583 8126   10   34
B 1593 8126   10   34
B 1603 8126   10   34
B 1613 8127   10   34
B 1623 8126   10   34
B 1633 8126   10   34
B 1643 8126   10   34
B 1653 8126   10   34
B 1663 8126   10   34
SSS vs= 0.98  t=  192
%P VOLT1   = 8155
%P VOLT2   = 8083
%P S2_SC   =  0.98
%P L_ANG_MAX = 192
B 1673 8126   68   34
B 1683 8127   68   34
B 1693 8125   68   34
B 1704 8074   68   34
B 1714 7981   68   34
B 1724 7957   68   34
B 1734 7931   68   34
B 1744 7898   68   34
B 1754 7597   68   35
B 1765 7599   68   41
B 1775 7580   68   49
B 1785 7492   68   56
B 1795 7503   42   64
B 1805 7506   29   73
B 1815 7603   29   82
B 1825 7647   29   91
*** dt = 69 , A = 94 , rpm = 298 
B 1835 7781   29  101
B 1845 7761   29  110
B 1855 7768   29  118
B 1865 7986   29  126
B 1875 8060   29  133
B 1885 8061   29  142
B 1895 8027   29  149
pull out 150
B 1905 8029  -98  155
