SSS vs= 0.99  t=  186
%P VOLT1   = 8096
%P VOLT2   = 8041
%P S2_SC   =  0.99
%P L_ANG_MAX = 186
B   0 807   69    1
B  10 8074   69    1
B  20 8030   69    1
B  30 7935   69    1
B  42 7932   69    1
B  52 7935   69    1
B  62 7522   69    1
B  73 7589   69    6
B  84 7543   69   14
B  94 7603   69   24
B 104 7591   69   33
B 115 7622   69   43
B 125 7397   69   53
B 135 7475   63   62
B 145 7472   29   72
B 155 7577   29   83
B 165 7640   29   94
*** dt = 39 , A = 99 , rpm = 364 
B 175 7703   29  105
B 185 7730   29  117
B 195 7672   29  127
B 205 7679   29  136
pull out 139
B 215 7931  -99  146
B 225 7968  -99  155
B 235 7918  -99  165
B 245 7723  -99  173
B 255 7715  -99  181
B 265 7764  -99  188
B 276 7757  -99  194
B 286 7201  -99  199
B 297 7486  -99  200
B 307 7377  -99  200
*** amax = 200  vhit = 93
B 317 7434  -92  198
B 327 7234  -92  185
B 337 7259  -92  170
B 347 7113  -92  154
B 357 7047  -92  138
B 367 7111  -92  120
B 377 7251  -92  101
B 387 7512  -92   82
B 397 7512  -92   60
B 408 7582  -92   36
B 418 7587  -92   11
B 428 7592  -92   -8
push -10 -10
push out at target
B 438 7591   79  -19
B 448 7581   79  -32
B 458 7502   79  -46
B 468 7556   79  -60
B 478 7504   79  -75
B 488 7554   79  -89
B 498 7253   79 -104
B 508 7539   79 -117
B 518 7436   79 -123
B 528 7486   39 -124
B 538 7398    9 -124
B 548 7579    9 -121
B 558 7433    9 -109
B 568 7374    9  -97
B 578 7395    9  -86
B 588 7938    9  -73
B 598 7981    9  -60
B 608 7984    9  -47
B 618 7986    9  -35
B 628 8024    9  -23
pb end 
B 638 8023   10  -11
B 648 8026   10   -2
B 658 8026   10    6
B 668 8026   10   12
B 678 8029   10   16
B 688 8027   10   19
B 698 8027   10   22
B 708 8029   10   23
B 718 8029   10   25
B 728 8027   10   27
B 738 8029   10   27
B 748 8027   10   27
B 758 8029   10   27
B 768 8029   10   27
B 778 8029   10   27
B 788 8027   10   27
B 798 8026   10   27
B 808 8027   10   27
B 818 8027   10   27
B 828 8029   10   27
B 838 8029   10   27
B 848 8029   10   27
B 858 8027   10   27
B 868 8030   10   27
B 878 8030   10   27
B 888 8030   10   28
B 898 8030   10   28
B 908 8027   10   28
B 918 8030   10   28
B 928 8030   10   28
B 938 8030   10   28
B 948 8029   10   28
B 958 8031   10   28
B 968 8030   10   27
B 978 8029   10   27
B 988 8033   10   27
B 998 8030   10   27
B 1008 8030   10   27
B 1018 8030   10   27
B 1028 8029   10   27
B 1038 8029   10   27
B 1048 8030   10   27
B 1058 8030   10   27
B 1068 8031   10   27
B 1078 8030   10   27
B 1088 8030   10   27
B 1098 8030   10   27
B 1108 8030   10   27
B 1118 8030   10   27
B 1128 8030   10   27
SSS vs= 0.99  t=  192
%P VOLT1   = 8037
%P VOLT2   = 8020
%P S2_SC   =  1.00
%P L_ANG_MAX = 192
B 1139 8030   69   27
B 1149 8030   69   27
B 1159 8031   69   27
B 1169 8031   69   27
B 1179 7903   69   27
B 1189 7863   69   27
B 1199 7844   69   27
B 1209 7816   69   27
B 1219 7374   69   31
B 1229 7460   69   37
B 1240 7488   69   45
B 1250 7454   69   52
B 1260 7412   69   59
B 1270 7418   29   67
B 1280 7438   29   76
B 1290 7583   29   85
*** dt = 70 , A = 93 , rpm = 298 
B 1300 7610   29   94
B 1310 7661   29  103
B 1320 7917   29  109
B 1330 7924   29  117
B 1340 7927   29  124
B 1350 7929   29  131
B 1360 7931   29  138
pull out 144
B 1370 7930  -99  144
B 1380 7965  -99  150
B 1390 7856  -99  156
B 1400 7725  -99  161
B 1410 7742  -99  165
B 1420 7790  -99  169
B 1430 7844  -99  173
B 1440 7518  -99  175
B 1450 7473  -99  176
B 1460 7457  -99  176
B 1470 7546  -99  176
*** amax = 176  vhit = 108
B 1480 7507 -107  164
B 1490 7440 -107  149
