32 in a row in 31 seconds
SSS vs= 1.00  t=  194
%P VOLT1   = 7978
%P VOLT2   = 7989
%P S2_SC   =  1.00
%P L_ANG_MAX = 194
B   0 798   70   -1
B  11 7984   70   -1
B  21 7981   70   -1
B  31 7867   70   -1
B  42 7835   70   -1
B  52 7853   70   -1
B  62 7863   70   -1
B  72 7454   70   -1
B  83 7421   70    6
B  93 7599   70   14
B 103 7499   70   23
B 113 7499   70   31
B 123 7340   70   42
B 133 7321   70   51
B 143 7330   70   61
B 153 7371   42   71
B 163 7513   30   81
B 173 7561   30   92
B 183 7616   30  103
*** dt = 39 , A = 107 , rpm = 364 
B 193 7603   30  114
B 203 7612   30  123
B 213 7833   30  132
B 223 7871   30  141
pull out 144
B 233 7875 -100  151
B 243 7878 -100  159
B 253 7879 -100  169
B 263 7721 -100  177
B 273 7605 -100  182
B 283 7624 -100  187
B 293 7685 -100  194
B 303 7282 -100  197
B 313 7383 -100  200
B 323 7326 -100  201
B 333 7337 -100  201
B 343 7404 -100  201
*** amax = 201  vhit = 97
B 353 7373  -97  187
B 363 7280  -97  173
B 373 6987  -97  157
B 383 7058  -97  140
B 393 7048  -97  123
B 403 7226  -97  104
B 413 7240  -97   83
B 423 7387  -97   62
B 433 7563  -97   39
B 443 7566  -97   16
B 453 7539  -97   -7
push -10 -10
push out at target
B 463 7541   80  -17
B 473 7512   80  -29
B 483 7409   80  -43
B 493 7476   80  -57
B 503 7530   80  -69
B 513 7543   80  -83
B 523 7351   80  -97
B 533 7271   80 -109
B 543 7301   80 -114
B 553 7429   31 -114
B 563 7416   10 -114
B 573 7537   10 -109
B 583 7126   10  -95
B 593 7193   10  -81
B 603 7293   10  -69
B 613 7806   10  -54
B 623 7814   10  -40
B 633 7892   10  -25
B 643 7892   10  -10
B 653 7893   10    3
pb end 
B 663 7894    0   17
B 673 7933    0   27
B 683 7933    0   36
B 693 7935    0   42
B 703 7935    0   46
B 713 7937    0   48
B 723 7935    0   49
B 733 7937    0   50
B 743 7938    0   49
B 753 7938    0   49
B 763 7938    0   50
B 773 7940    0   50
B 783 7938    0   50
B 793 7940    0   50
B 803 7941    0   50
B 813 7938    0   50
B 823 7938    0   49
B 833 7940    0   47
B 843 7940    0   45
B 853 7940    0   42
B 863 7941    0   39
B 873 7941    0   35
B 883 7940    0   32
B 893 7941    0   29
B 903 7976    0   25
SSS vs= 1.00  t=  204
%P VOLT1   = 7978
%P VOLT2   = 7975
%P S2_SC   =  1.00
%P L_ANG_MAX = 204
B 913 7941   70   22
B 923 7940   70   19
B 933 7791   70   15
B 943 7770   70   13
B 953 7791   70   11
B 963 7791   70   11
B 973 7439   70   11
B 983 7407   70   12
B 993 7367   70   15
B 1003 7248   70   23
B 1013 7267   70   31
B 1023 7228   70   40
B 1033 7283   70   49
B 1043 7289   70   57
B 1053 7398   50   67
B 1063 7464   30   77
B 1073 7512   30   88
B 1083 7570   30   99
*** dt = 47 , A = 108 , rpm = 364 
B 1093 7596   30  110
B 1103 7607   30  119
B 1113 7612   30  128
B 1123 7831   30  137
B 1133 7834   30  146
pull out 151
B 1143 7837 -100  155
B 1153 7837 -100  165
B 1163 7701 -100  172
B 1173 7610 -100  177
B 1183 7630 -100  183
B 1193 7685 -100  189
B 1203 7742 -100  193
B 1213 7308 -100  195
B 1223 7255 -100  197
B 1233 7297 -100  196
*** amax = 197  vhit = 103
B 1243 7399 -103  195
B 1253 7369 -103  184
B 1263 7304 -103  169
B 1273 7010 -103  154
B 1283 7085 -103  137
B 1293 7045 -103  119
B 1303 7189 -103  101
B 1313 7205 -103   81
B 1323 7457 -103   60
B 1333 7522 -103   38
B 1343 7523 -103   14
B 1353 7532 -103   -8
push -10 -10
push out at target
B 1363 7496   80  -18
B 1373 7464   80  -30
B 1383 7441   80  -44
B 1393 7469   80  -57
B 1403 7522   80  -70
B 1413 7181   80  -85
B 1423 7310   80  -98
B 1433 7236   80 -110
B 1443 7413   80 -115
B 1453 7431   31 -116
B 1463 7413    0 -116
B 1473 7315   10 -110
B 1483 7192   10  -96
B 1493 7257   10  -81
B 1503 7573   10  -69
B 1513 7767   10  -54
B 1523 7774   10  -39
B 1533 7885   10  -24
B 1543 7888   10   -9
B 1553 7890   10    6
pb end 
B 1563 7890    0   19
B 1573 7893    0   30
B 1583 7893    0   39
B 1593 7930    0   44
B 1603 7931    0   48
B 1613 7931    0   51
B 1623 7934    0   52
B 1633 7933    0   53
B 1643 7934    0   53
B 1653 7934    0   54
B 1663 7934    0   55
B 1673 7935    0   55
B 1683 7935    0   55
B 1693 7935    0   55
B 1703 7935    0   55
B 1713 7937    0   55
B 1723 7935    0   55
B 1733 7935    0   55
B 1743 7935    0   53
B 1753 7935    0   50
B 1763 7937    0   47
B 1773 7937    0   43
B 1783 7937    0   39
B 1793 7938    0   36
B 1803 7935    0   32
SSS vs= 1.00  t=  209
%P VOLT1   = 7919
%P VOLT2   = 7965
%P S2_SC   =  1.01
%P L_ANG_MAX = 209
B 1813 7937   70   28
B 1823 7935   70   25
B 1833 7937   70   21
B 1843 7905   70   18
B 1854 7779   70   15
B 1864 7776   70   13
B 1874 7784   70   12
B 1884 7766   70   12
B 1894 7347   70   13
B 1904 7377   70   13
B 1914 7357   70   19
B 1924 7298   70   27
B 1934 7180   70   35
B 1944 7199   70   44
B 1954 7318   70   53
B 1964 7323   68   63
B 1974 7320   45   73
B 1984 7429   30   83
B 1994 7523   30   95
B 2004 7556   30  106
*** dt = 43 , A = 113 , rpm = 381 
B 2014 7515   30  116
B 2024 7566   30  127
B 2034 7576   30  135
B 2044 7793   30  145
pull out 154
B 2054 7831 -100  155
B 2064 7834 -100  164
B 2074 7834 -100  173
B 2084 7628 -100  181
B 2094 7564 -100  186
B 2104 7638 -100  192
B 2114 7696 -100  198
B 2124 7748 -100  202
B 2134 7262 -100  205
B 2144 7353 -100  206
B 2154 7230 -100  206
*** amax = 206  vhit = 101
B 2164 7348 -101  203
B 2174 7331 -101  190
B 2184 7357 -101  175
B 2194 7032 -101  159
B 2204 6961 -101  142
B 2214 7018 -101  123
B 2224 7186 -101  105
B 2234 7307 -101   85
B 2244 7308 -101   63
B 2254 7485 -101   40
B 2264 7527 -101   17
B 2274 7539 -101   -6
push -10 -10
push out at target
B 2284 7541   80  -17
B 2294 7509   80  -29
B 2304 7442   80  -43
B 2314 7420   80  -60
B 2324 7350   80  -76
B 2334 7404   80  -91
B 2344 7320   80 -108
B 2354 7284   80 -125
B 2364 7217   80 -140
B 2374 7265   80 -149
B 2384 7384   65 -151
B 2394 7358    6 -150
B 2404 7392   10 -149
B 2414 7150   10 -136
B 2424 7217   10 -122
B 2434 7213   10 -110
B 2444 7833   10  -96
B 2454 7841   10  -81
B 2464 7845   10  -67
B 2474 7883   10  -53
B 2484 7886   10  -41
pb end 
B 2494 7888    0  -27
B 2504 7888    0  -15
B 2514 7892    0   -5
B 2524 7892    0    3
B 2534 7893    0    9
B 2544 7893    0   14
B 2554 7930    0   17
B 2564 7930    0   20
B 2574 7930    0   23
B 2584 7930    0   23
B 2594 7933    0   27
B 2604 7931    0   27
B 2614 7931    0   27
B 2624 7931    0   27
B 2634 7931    0   27
B 2644 7933    0   27
B 2654 7933    0   27
B 2664 7933    0   27
B 2674 7933    0   27
B 2684 7968    0   27
B 2694 7970    0   27
B 2704 7934    0   27
B 2714 7934    0   27
B 2724 7934    0   27
B 2734 7934    0   27
SSS vs= 1.01  t=  209
%P VOLT1   = 7919
%P VOLT2   = 7961
%P S2_SC   =  1.01
%P L_ANG_MAX = 209
B 2744 7935   70   26
B 2754 7934   70   23
B 2764 7934   70   21
B 2774 7935   70   19
B 2784 7823   70   17
B 2794 7777   70   15
B 2804 7786   70   15
B 2814 7780   70   15
B 2824 7366   70   15
B 2834 7450   70   15
B 2844 7417   70   18
B 2854 7369   70   26
B 2864 7202   70   34
B 2874 7224   70   43
B 2884 7313   70   51
B 2894 7359   70   61
B 2904 7361   49   70
B 2914 7429   30   80
B 2924 7484   30   91
B 2934 7528   30  102
*** dt = 47 , A = 113 , rpm = 364 
B 2944 7491   30  113
B 2954 7555   30  124
B 2964 7567   30  135
B 2974 7752   30  143
B 2984 7825   30  153
pull out 159
B 2994 7830 -100  163
B 3004 7831 -100  172
B 3014 7764 -100  182
B 3024 7577 -100  187
B 3034 7596 -100  194
B 3044 7651 -100  200
B 3054 7708 -100  206
B 3064 7044 -100  209
B 3074 7416 -100  211
B 3084 7305 -100  211
B 3094 7312 -100  211
*** amax = 211  vhit = 99
B 3104 7266  -99  205
B 3114 7270  -99  191
B 3124 7135  -99  175
B 3134 6886  -99  159
B 3144 6948  -99  142
B 3154 6990  -99  123
B 3164 7298  -99  103
B 3174 7300  -99   84
B 3184 7406  -99   62
B 3194 7516  -99   39
B 3204 7526  -99   15
B 3214 7543  -99   -8
push -10 -10
push out at target
B 3224 7546   80  -19
B 3234 7428   80  -31
B 3244 7396   80  -45
B 3254 7478   80  -57
B 3264 7532   80  -69
B 3274 7149   80  -82
B 3284 7399   80  -94
B 3294 7301   80 -103
B 3305 7310   65 -105
B 3315 7377    5 -105
B 3326 7411   10 -105
B 3336 7511   10  -94
B 3346 7200   10  -83
B 3356 7468   10  -72
B 3366 7481   10  -59
B 3376 7842   10  -47
B 3386 7882   10  -34
B 3396 7883   10  -22
B 3406 7886   10  -10
pb end 
B 3416 7888    0    1
B 3426 7888    0   11
B 3436 7888    0   19
B 3446 7889    0   24
B 3456 7892    0   27
B 3466 7892    0   30
B 3476 7894    0   31
B 3486 7892    0   32
B 3496 7893    0   32
B 3506 7931    0   32
B 3516 7930    0   33
B 3526 7930    0   33
B 3536 7930    0   33
B 3546 7931    0   33
B 3556 7929    0   33
B 3566 7931    0   33
B 3576 7930    0   33
B 3586 7930    0   32
B 3596 7931    0   32
B 3606 7931    0   30
B 3616 7931    0   28
B 3626 7933    0   26
B 3636 7931    0   23
B 3646 7933    0   21
B 3656 7933    0   19
SSS vs= 1.01  t=  209
%P VOLT1   = 7919
%P VOLT2   = 7954
%P S2_SC   =  1.01
%P L_ANG_MAX = 209
B 3666 7933   70   17
B 3676 7933   70   15
B 3686 7795   70   13
B 3696 7772   70   11
B 3706 7793   70   11
B 3716 7565   70   11
B 3726 7549   70   11
B 3737 7481   70   11
B 3747 7433   70   14
B 3757 7424   70   23
B 3767 7268   70   32
B 3777 7263   70   41
B 3787 7289   70   50
B 3797 7332   70   59
B 3807 7434   52   69
B 3817 7429   30   79
B 3827 7485   30   90
B 3837 7509   30  101
*** dt = 47 , A = 113 , rpm = 364 
B 3847 7555   30  113
B 3857 7548   30  124
B 3867 7634   30  135
B 3877 7644   30  144
B 3887 7789   30  154
pull out 161
B 3897 7828 -100  164
B 3907 7830 -100  174
B 3917 7691 -100  183
B 3927 7568 -100  190
B 3937 7588 -100  197
B 3947 7641 -100  203
B 3957 7023 -100  208
B 3967 7042 -100  212
B 3977 7326 -100  213
B 3987 7346 -100  213
B 3997 7287 -100  213
*** amax = 213  vhit = 98
B 4007 7262  -98  202
B 4017 7099  -98  187
B 4027 7152  -98  172
B 4037 6904  -98  155
B 4047 6997  -98  137
B 4057 7035  -98  119
B 4067 7300  -98   99
B 4077 7407  -98   77
B 4087 7407  -98   57
B 4097 7518  -98   33
B 4107 7492  -98    9
B 4117 7512  -98  -11
push -11 -10
push out at target
B 4127 7503   80  -21
B 4137 7364   80  -34
B 4147 7373   80  -47
B 4157 7496   80  -58
B 4167 7266   80  -71
B 4177 7302   80  -85
B 4187 7382   80  -96
B 4197 7407   80 -103
B 4207 7335   48 -105
B 4217 7373    6 -105
B 4227 7423   10 -104
B 4237 7514   10  -93
B 4247 7200   10  -82
B 4257 7540   10  -71
B 4267 7550   10  -58
B 4277 7842   10  -46
B 4287 7880   10  -34
B 4297 7880   10  -22
B 4307 7883   10  -10
pb end 
B 4317 7880    0    2
B 4327 7885    0   11
B 4337 7888    0   19
B 4347 7888    0   25
B 4357 7892    0   29
B 4367 7890    0   31
B 4377 7890    0   33
B 4387 7892    0   33
B 4397 7927    0   33
B 4407 7927    0   33
B 4417 7929    0   33
B 4427 7930    0   33
B 4437 7927    0   33
B 4447 7930    0   33
B 4457 7929    0   33
B 4467 7929    0   33
B 4477 7930    0   33
B 4487 7929    0   32
B 4497 7930    0   31
B 4507 7930    0   28
B 4517 7929    0   27
B 4527 7930    0   24
B 4537 7930    0   23
B 4547 7930    0   21
B 4557 7930    0   19
SSS vs= 1.01  t=  209
%P VOLT1   = 7919
%P VOLT2   = 7951
%P S2_SC   =  1.01
%P L_ANG_MAX = 209
B 4567 7930   70   17
B 4577 7931   70   15
B 4587 7789   70   13
B 4597 7770   70   12
B 4607 7791   70   11
B 4617 7550   70   11
B 4627 7518   70   11
B 4637 7467   70   12
B 4647 7393   70   15
B 4657 7382   70   24
B 4667 7265   70   33
B 4677 7262   70   43
B 4687 7283   70   51
B 4697 7328   70   61
B 4707 7433   47   71
B 4717 7429   30   81
B 4727 7522   30   91
B 4737 7513   30  103
*** dt = 47 , A = 113 , rpm = 365 
B 4747 7555   30  115
B 4757 7549   30  126
B 4767 7633   30  136
B 4777 7639   30  146
B 4787 7787   30  155
