3 and 28 shots
after 15 shots or so, cannot pull farther eought
%Initializing ... 
%  batt 7.86v 8.03v 
% * pre-auton 
%    pre-initializer 
%P L_ANGM = 210
%P L_ANG1 = 60
%P L_ANG2 = 90
%P S_V    = 80
%P S_ANG1 = 40
%P S_ANG2 = 80
%P M_V    = 80
%P M_ANG1 = 50
%P M_ANG2 = 90
in loop, waiting for press
L: in lcd_mode_selection
L: t_push=   115
L: in lcd_bat_adj
L: t_push=   133
%Initializing ...
% batt1   = 7.86v
% batt2   = 8.03v
% mode    = 6   
% time    = 13269   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%Initializing ...
% batt1   = 7.86v
% batt2   = 8.03v
% mode    = 6   
% time    = 13269   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
% * usercontrol 
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
SSS vs= 1.00  t=  210
%P VOLT1   = 7860
%P VOLT2   = 8031
%P S2_SC   =  1.01
%P L_ANG_MAX = 210
B   0 792   70    0
B  11 7928   70    0
B  21 7928   70    0
B  31 7868   70    0
B  41 7788   70    0
B  51 7791   70    0
B  61 7815   70    0
B  71 7440   70    0
B  81 7429   70    1
B  91 7565   70    3
B 101 7590   70    9
B 111 7530   70   17
B 121 7512   70   26
B 131 7490   70   36
B 141 7282   70   47
B 152 7308   70   56
B 162 7254   60   67
B 173 7359   45   77
B 183 7350   25   87
B 193 7422   20   99
B 203 7557   20  110
B 213 7587   20  120
B 223 7567   20  129
B 233 7825   20  138
B 243 7828   20  147
B 253 7832   20  156
pull out 157
B 263 7835 -121  164
B 273 7835 -121  173
B 283 7751 -121  179
B 293 7624 -121  186
B 303 7627 -121  191
B 313 7676 -121  196
B 323 6997 -121  199
B 333 6944 -121  200
B 343 7069 -121  200
B 353 7257 -121  199
B 363 7236 -121  187
B 374 7044 -121  173
B 385 6937 -121  155
