adjusted threshold, kind of misaligned
SSS vs= 0.97  t=  210
%P VOLT1   = 8214
%P VOLT2   = 8321
%P S2_SC   =  0.97
%P L_ANG_MAX = 210
B   0 825   67   12
B  10 8256   67   12
B  20 8256   67   12
B  30 8129   67   12
B  40 8120   67   12
B  50 8139   67   12
B  60 7909   67   12
B  70 7833   67   12
B  80 7783   67   15
B  91 7791   67   23
B 101 7727   67   33
B 113 7603   67   44
B 124 7634   67   55
B 134 7622   63   64
B 144 7769   45   75
B 154 7767   29   85
B 164 7727   19   96
B 174 7878   19  108
B 184 7914   19  119
B 194 7900   19  130
B 204 8124   19  139
B 214 8125   19  149
pull out 153
B 224 8170 -116  159
B 234 8203 -116  167
B 244 8203 -116  176
B 254 8203 -116  184
B 264 7976 -116  191
B 275 7943 -116  198
B 285 7987 -116  203
B 295 7326 -116  207
B 305 7301 -116  209
B 315 7389 -116  209
B 325 7551 -116  209
B 335 7522 -116  201
B 345 7478 -116  187
B 355 7183 -116  171
B 365 7264 -116  154
B 375 7229 -116  137
B 385 7420 -116  117
B 395 7431 -116   98
B 405 7569 -116   77
B 415 7706 -116   53
B 425 7709 -116   30
B 435 7727 -116    5
push -10 -10
push out at target
B 445 7783   77  -13
B 455 7766   77  -24
B 465 7748   77  -38
B 475 7715   77  -54
B 485 7718   77  -69
B 495 7738   77  -85
B 505 7581   77 -102
B 515 7608   77 -118
B 526 7456   77 -133
B 536 7646   77 -141
B 547 7660   54 -142
B 557 7647    0 -142
B 567 7433    9 -138
B 577 7329    9 -126
B 587 7444    9 -112
B 597 7614    9 -101
B 607 7785    9  -85
B 617 7799    9  -71
B 627 8122    9  -57
B 637 8166    9  -43
B 647 8168    9  -30
pb end 
B 657 8204   10  -17
B 667 8172   10   -5
B 677 8172   10    6
B 687 8209   10   15
B 697 8209   10   21
SSS vs= 0.97  t=  216
%P VOLT1   = 8155
%P VOLT2   = 8293
%P S2_SC   =  0.97
%P L_ANG_MAX = 216
B 707 8210   68   26
B 717 8211   68   29
B 727 8178   68   31
B 737 8150   68   33
B 747 8147   68   37
B 757 8147   68   37
B 767 8112   68   38
B 777 7907   68   39
B 787 7843   68   43
B 797 7809   68   48
B 807 7786   68   55
B 818 7759   60   65
B 828 7784   46   74
B 838 7723   29   84
B 848 7682   19   94
B 858 7745   19  104
B 868 7705   19  114
B 878 7846   19  124
B 888 7860   19  133
B 898 8081   19  141
B 908 8158   19  149
B 918 8156   19  157
pull out 163
B 928 8196 -116  165
B 938 8163 -116  172
B 948 8162 -116  179
B 958 8127 -116  184
B 968 7913 -116  190
B 978 7904 -116  194
B 988 7951 -116  198
B 998 7296 -116  199
B 1008 7312 -116  201
B 1018 7585 -116  201
B 1028 7601 -116  201
B 1038 7542 -116  195
B 1048 7531 -116  181
B 1058 7431 -116  164
B 1068 7508 -116  147
B 1078 7283 -116  130
B 1088 7335 -116  110
B 1098 7361 -116   90
B 1108 7608 -116   69
B 1118 7676 -116   45
B 1128 7678 -116   23
B 1138 7760 -116   -2
push -10 -10
push out at target
B 1148 7807   77  -17
B 1158 7737   77  -29
