SSS v= 7986  t=   70 
SSS -1457  -2022  -528    -1
%P VOLT1   = 7801
%P VOLT2   = 7986
%P S2_SC   =  1.00
%P L_ANG_MAX = 70
S 7986  -1457  -2022  -528
B   0 798  120   -1
B  10 798  120   -1
B  20 764  120   -1
B  30 739  120   -1
B  40 741  120   -1
B  50 743  120   -1
B  60 732  120   -1
B  70 714  120    7
B  80 696  120   17
B  90 691  120   29
B 100 699  120   41
B 110 711  120   51
B 120 721   30   64
B 130 724   30   76
B 140 723   30   90
B 151 753   30  105
B 162 769   30  121
pull out 129 70
B 173 777 -120  136
B 184 741 -120  149
B 195 718 -120  163
B 205 726 -120  176
B 215 740 -120  187
B 226 731 -120  196
B 236 700 -120  199
B 247 682 -120  199
B 258 675 -120  196
B 268 673 -120  181
B 279 683 -120  165
B 290 704 -120  146
B 301 725 -120  127
B 311 739 -120  108
B 323 746 -120   84
B 334 746 -120   60
B 344 746 -120   37
B 355 748 -120   11
push -11 -10
push out at target
B 367 752   80  -16
B 378 740   80  -29
B 388 712   80  -41
B 398 721   80  -52
B 408 736   80  -64
B 419 751   80  -78
B 430 754   80  -91
B 440 731   80  -99
B 450 706   56 -101
B 461 693    6 -101
B 472 731   10 -101
B 482 760   10  -91
B 492 775   10  -79
B 502 781   10  -69
B 512 786   10  -56
B 523 788   10  -43
B 533 789   10  -31
B 544 790   10  -18
B 554 791   10   -5
pb end 
SSS v= 7979  t=   70 
SSS -1456  -1952  -556    -1
%P VOLT1   = 7801
%P VOLT2   = 7979
%P S2_SC   =  1.00
%P L_ANG_MAX = 70
S 7975  -1456  -1952  -556
B   0 797  120   -1
B  10 797  120   -1
B  20 773  120   -1
B  32 739  120   -1
B  42 743  120   -1
B  52 753  120   -1
B  62 752  120   -1
B  73 728  120    5
B  83 700  120   16
B  94 690  120   28
B 105 697  120   41
B 115 711  120   53
B 125 722   30   65
B 135 726   30   78
B 146 738   30   93
B 156 762   30  109
B 168 774   30  125
pull out 131 70
B 179 780 -120  138
B 189 782 -120  152
B 199 768 -120  165
B 209 718 -120  179
B 220 720 -120  191
B 230 733 -120  200
B 242 734 -120  210
B 253 705 -120  213
B 263 686 -120  213
B 273 677 -120  213
B 284 674 -120  201
B 294 679 -120  186
B 304 694 -120  170
B 315 715 -120  151
B 326 732 -120  132
B 336 742 -120  111
B 347 746 -120   89
B 358 746 -120   65
B 369 746 -120   40
B 379 750 -120   13
B 389 754 -120  -11
push -11 -10
push out at target
B 400 757   80  -25
B 410 748   80  -39
B 420 721   80  -55
B 431 724   80  -69
B 441 738   80  -84
B 452 752   80 -101
B 463 750   80 -117
B 473 723   80 -127
B 483 700   73 -131
B 493 688   23 -132
B 504 698    0 -131
B 514 747   10 -122
B 524 767   10 -110
B 534 778   10  -99
B 545 783   10  -85
B 555 786   10  -71
B 566 788   10  -58
B 576 789   10  -45
B 587 790   10  -32
B 597 790   10  -20
pb end 
SSS v= 7979  t=   60 
SSS -1462  -1952  -544     0
%P VOLT1   = 7801
%P VOLT2   = 7979
%P S2_SC   =  1.00
%P L_ANG_MAX = 60
S 7979  -1462  -1952  -544
B   0 797  120    0
B  10 797  120    0
B  20 747  120    0
B  30 739  120    0
B  40 746  120    0
B  50 745  120    0
B  60 725  120    3
B  70 704  120   12
B  80 692  120   23
B  90 695  120   34
B 100 708  120   47
B 110 718  120   58
B 120 723   30   71
B 131 723   30   86
B 141 740   30  100
B 151 762   30  115
pull out 130 60
B 162 773 -120  130
B 172 779 -120  143
B 182 781 -120  157
B 192 775 -120  170
B 203 721 -120  184
B 213 720 -120  197
B 223 733 -120  205
B 233 738 -120  215
B 245 707 -120  220
B 256 686 -120  220
B 267 676 -120  220
B 277 673 -120  209
B 288 678 -120  193
B 298 695 -120  177
B 308 714 -120  160
B 318 731 -120  140
B 328 741 -120  121
B 338 745 -120  101
B 350 745 -120   75
B 361 746 -120   49
B 371 748 -120   25
B 381 753 -120   -2
push -11 -10
push out at target
B 392 757   80  -20
B 402 753   80  -32
B 412 726   80  -45
B 422 723   80  -60
B 433 737   80  -74
B 443 751   80  -88
B 455 756   80 -105
B 466 728   80 -117
B 476 703   80 -122
B 486 690   31 -122
B 497 686   10 -122
B 508 736   10 -113
B 519 760   10  -99
B 530 775   10  -86
B 541 782   10  -71
B 551 786   10  -57
B 562 787   10  -43
B 572 788   10  -28
B 583 789   10  -14
pb end 
