%Initializing ... 
%  batt 7.80v 7.99v 
% * pre-auton 
%    pre-initializer 
%P L_ANGM = 180
%P L_ANG1 = 55
%P L_ANG2 = 90
%P S_V    = 80
%P S_ANG1 = 40
%P S_ANG2 = 80
%P M_V    = 80
%P M_ANG1 = 50
%P M_ANG2 = 90
in loop, waiting for press
L: in lcd_mode_selection
L: t_push=    59
L: in lcd_bat_adj
L: t_push=    74
%Initializing ...
% batt1   = 7.80v
% batt2   = 7.99v
% mode    = 6   
% time    = 12214   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%Initializing ...
% batt1   = 7.80v
% batt2   = 7.99v
% mode    = 6   
% time    = 12215   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
% * usercontrol 
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
SSS v= 7986  t=  180 
SSS    0     0     0     0
%P VOLT1   = 7801
%P VOLT2   = 7986
%P S2_SC   =  1.00
%P L_ANG_MAX = 180
S 7986     0     0     0
B   0 798  100    0
B  10 798  100    0
B  21 798  100    0
B  31 781  100    0
B  41 743  100    0
B  51 742  100    0
B  61 751  100    0
B  71 750  100    0
B  82 722  100    6
B  92 698  100   15
B 102 688  100   26
B 112 691  100   38
B 122 706  100   50
B 132 719   87   61
B 142 725   59   73
B 152 724   30   86
B 162 736   20  100
B 172 744   20  115
B 182 766   20  130
B 192 777   20  144
B 202 783   20  157
pull out 162
B 212 786 -120  169
B 222 788 -120  183
B 232 750 -120  195
B 242 723 -120  207
B 252 728 -120  217
B 262 739 -120  225
B 272 729 -120  232
B 282 698 -120  233
B 292 683 -120  233
B 302 675 -120  231
B 313 675 -120  217
B 323 685 -120  201
B 334 705 -120  184
B 345 724 -120  165
B 356 738 -120  144
B 366 744 -120  124
B 376 745 -120  101
B 386 746 -120   79
B 396 747 -120   56
B 406 752 -120   32
B 416 756 -120    5
push -10 -10
push out at target
B 426 760   80  -14
B 436 758   80  -26
B 446 735   80  -39
B 456 722   80  -54
B 466 732   80  -67
B 476 746   80  -82
B 486 756   80  -95
B 496 745   80 -109
B 506 718   80 -117
B 516 698   56 -120
B 526 687   14 -120
B 536 694   10 -119
B 546 715   10 -108
B 556 744   10  -93
B 566 765   10  -81
B 576 776   10  -69
B 586 783   10  -54
B 596 786   10  -39
B 607 788   10  -24
B 617 789   10   -9
pb end 
SSS v= 7975  t=  180 
SSS  -19   -70    60    -1
%P VOLT1   = 7801
%P VOLT2   = 7975
%P S2_SC   =  1.00
%P L_ANG_MAX = 180
S 7975   -19   -70    60
B   0 797  100   -1
B  10 797  100   -1
B  20 797  100   -1
B  30 780  100   -1
B  40 742  100   -1
B  50 741  100   -1
B  60 750  100   -1
B  70 751  100   -1
B  80 728  100    4
B  90 702  100   12
B 100 687  100   23
B 110 689  100   35
B 120 702  100   47
B 130 716   91   59
B 140 724   64   71
B 150 726   34   85
B 160 744   20   98
B 170 761   20  113
B 180 773   20  127
B 190 781   20  140
B 200 784   20  153
pull out 159
B 210 787 -120  166
B 220 788 -120  178
B 230 753 -120  191
B 240 721 -120  201
B 250 725 -120  212
B 260 736 -120  220
B 270 726 -120  226
B 281 697 -120  227
B 291 682 -120  227
B 302 675 -120  223
B 312 674 -120  210
B 323 684 -120  195
B 333 705 -120  177
B 345 727 -120  157
B 355 739 -120  137
B 366 744 -120  116
B 376 745 -120   93
B 387 744 -120   69
B 398 746 -120   44
B 409 752 -120   16
push -10 -10
push out at target
B 420 757   80  -11
B 430 759   80  -23
B 440 750   80  -36
B 450 720   80  -51
B 460 726   80  -65
B 470 739   80  -79
B 481 752   80  -95
B 491 751   80 -111
B 502 723   80 -121
B 512 698   65 -126
B 522 687   31 -126
B 533 691   10 -126
B 543 735   10 -116
B 554 759   10 -101
B 565 774   10  -89
B 576 781   10  -75
B 586 785   10  -60
B 597 787   10  -46
B 607 789   10  -31
B 617 789   10  -19
pb end 
SSS v= 7975  t=  170 
SSS  -11   -70    12    -1
%P VOLT1   = 7801
%P VOLT2   = 7975
%P S2_SC   =  1.00
%P L_ANG_MAX = 170
S 7975   -11   -70    12
B   0 797  100   -1
B  11 797  100   -1
B  21 797  100   -1
B  31 797  100   -1
B  41 750  100   -1
B  51 738  100   -1
B  61 745  100   -1
B  71 752  100   -1
B  81 741  100    2
B  91 717  100   10
B 101 694  100   21
B 111 687  100   33
B 121 695  100   44
B 131 711  100   57
B 141 723   63   69
B 151 726   31   81
B 162 734   20   97
B 172 751   20  112
B 182 764   20  126
B 192 776   20  141
B 203 782   20  155
pull out 157
B 213 786 -120  168
B 223 787 -120  182
B 233 775 -120  193
B 243 725 -120  205
B 253 724 -120  217
B 264 736 -120  226
B 275 731 -120  234
B 285 700 -120  236
B 297 682 -120  236
B 307 675 -120  233
B 317 674 -120  221
B 328 683 -120  205
B 338 703 -120  188
B 349 723 -120  169
B 359 737 -120  150
B 369 743 -120  129
B 380 745 -120  108
B 391 744 -120   83
B 402 746 -120   56
B 412 751 -120   30
B 422 755 -120    5
push -11 -10
push out at target
B 433 760   80  -16
B 443 757   80  -29
B 453 729   80  -42
B 463 722   80  -57
B 474 734   80  -71
B 484 748   80  -86
B 495 755   80 -101
B 507 731   80 -115
B 517 704   80 -120
B 527 690   31 -120
B 537 686   10 -120
B 547 730   10 -113
B 557 753   10 -101
B 567 771   10  -87
B 577 779   10  -77
B 587 784   10  -63
B 597 786   10  -48
B 607 788   10  -35
B 617 788   10  -21
B 627 789   10   -8
pb end 
SSS v= 7965  t=  160 
SSS  -10   -70     3    -1
%P VOLT1   = 7801
%P VOLT2   = 7965
%P S2_SC   =  1.00
%P L_ANG_MAX = 160
S 7965   -10   -70     3
B   0 796  100   -1
B  12 796  100   -1
B  22 796  100   -1
B  32 749  100   -1
B  42 738  100   -1
B  52 743  100   -1
B  62 742  100   -1
B  72 727  100    2
B  82 708  100   10
B  92 692  100   21
B 102 691  100   33
B 112 701  100   45
B 122 712  100   57
B 132 721   59   69
B 142 723   20   81
B 153 734   20   96
B 163 762   20  111
B 174 774   20  126
B 184 781   20  137
pull out 149
B 195 784 -120  153
B 206 785 -120  167
B 216 787 -120  180
B 226 759 -120  191
B 236 723 -120  202
B 246 724 -120  211
B 256 733 -120  219
B 266 719 -120  225
B 276 696 -120  225
B 286 681 -120  225
B 296 674 -120  221
B 306 674 -120  209
B 317 685 -120  193
B 327 705 -120  177
B 337 724 -120  159
B 347 736 -120  141
B 358 741 -120  121
B 368 742 -120   99
B 378 743 -120   77
B 389 745 -120   51
B 399 749 -120   25
B 409 754 -120    2
push -11 -10
push out at target
B 419 758   80  -17
B 429 755   80  -28
B 439 737   80  -43
B 449 718   80  -57
B 459 729   80  -72
B 469 741   80  -87
B 480 754   80 -103
B 491 741   80 -119
B 502 711   80 -128
B 512 694   57 -130
B 522 687    6 -130
B 533 716   10 -127
B 544 756   10 -113
B 555 772   10 -100
B 566 780   10  -85
B 577 783   10  -71
B 587 786   10  -57
B 597 787   10  -44
B 608 788   10  -31
B 618 789   10  -18
pb end 
SSS v= 7961  t=  140 
SSS  -11   -70     3     6
%P VOLT1   = 7801
%P VOLT2   = 7961
%P S2_SC   =  1.00
%P L_ANG_MAX = 140
S 7961   -11   -70     3
B   0 796  100    6
B  10 796  100    6
B  20 796  100    6
B  30 796  100    6
B  40 748  100    6
B  50 737  100    6
B  60 740  100    6
B  71 736  100    6
B  82 723  100    8
B  93 706  100   18
B 103 695  100   29
B 113 694  100   41
B 123 703  100   52
B 133 713   47   65
B 143 727   20   77
B 153 747   20   91
B 163 763   20  105
B 173 775   20  117
B 183 781   20  130
pull out 134
B 193 784 -120  141
B 203 786 -120  153
B 213 776 -120  165
B 223 727 -120  176
B 233 724 -120  185
B 243 735 -120  195
B 253 741 -120  201
B 263 718 -120  205
B 273 692 -120  205
B 283 680 -120  205
B 293 674 -120  197
B 304 677 -120  183
B 314 693 -120  166
B 325 713 -120  149
B 336 731 -120  129
B 346 739 -120  109
B 358 742 -120   85
B 369 742 -120   62
B 379 743 -120   38
B 390 747 -120   13
push -10 -10
push out at target
B 400 753   80  -11
B 410 753   80  -22
B 420 712   80  -35
B 430 719   80  -46
B 441 733   80  -57
B 451 748   80  -70
B 461 754   80  -82
B 472 735   80  -91
B 482 708   57  -95
B 493 692   23  -95
B 504 710   10  -95
B 515 746   10  -84
B 525 767   10  -71
B 536 777   10  -60
B 546 782   10  -47
B 556 785   10  -33
B 566 787   10  -19
B 577 788   10   -5
B 587 789   10    9
pb end 
SSS v= 7965  t=  140 
SSS  -14   -67    35     1
%P VOLT1   = 7742
%P VOLT2   = 7961
%P S2_SC   =  1.00
%P L_ANG_MAX = 140
S 7961   -14   -67    35
B   0 796  100    1
B  10 795  100    1
B  20 767  100    1
B  30 738  100    1
B  40 740  100    1
B  50 751  100    1
B  60 756  100    1
B  70 740  100    4
B  80 710  100   12
B  90 690  100   23
B 100 687  100   35
B 110 698  100   47
B 120 713   79   59
B 130 725   20   72
B 140 726   20   85
B 150 751   20   99
B 160 770   20  114
B 170 777   20  127
pull out 139
B 180 782 -120  139
B 190 784 -120  152
B 200 760 -120  165
B 211 726 -120  178
B 221 729 -120  189
B 232 738 -120  199
B 242 721 -120  205
B 252 691 -120  207
B 262 679 -120  207
B 272 674 -120  203
B 282 673 -120  191
B 293 683 -120  175
B 303 703 -120  157
B 314 721 -120  139
B 326 737 -120  117
B 337 743 -120   95
B 347 744 -120   73
B 357 744 -120   51
B 368 746 -120   24
B 379 750 -120   -1
push -11 -10
push out at target
B 389 754   80  -18
B 401 723   80  -32
B 411 717   80  -45
B 422 731   80  -56
B 432 746   80  -70
B 443 755   80  -83
B 453 744   80  -92
B 464 715   64  -99
B 475 695   42  -99
B 485 690   10  -99
B 495 723   10  -95
B 505 746   10  -81
B 515 767   10  -68
B 525 776   10  -59
B 535 782   10  -44
B 545 784   10  -30
B 556 786   10  -15
B 566 787   10   -1
pb end 
SSS v= 7954  t=  140
SSS  -14   -67     6     1
%P VOLT1   = 7742
%P VOLT2   = 7954
%P S2_SC   =  1.01
%P L_ANG_MAX = 140
S 7954   -14   -67     6
B   0 795  100    1
B  10 795  100    1
B  20 795  100    1
B  30 758  100    1
B  40 737  100    1
B  51 742  100    1
B  61 751  100    1
B  71 749  100    1
B  81 726  100    5
B  91 698  100   15
B 101 685  100   26
B 111 688  100   37
B 121 703  100   50
B 131 717   68   62
B 141 726   20   74
B 151 726   20   88
B 161 756   20  101
B 171 770   20  116
B 181 777   20  129
pull out 137
B 191 781   10  141
B 201 784   10  154
B 211 786   10  166
B 221 788   10  178
B 231 789   10  189
B 241 790   10  200
B 251 791   10  209
B 261 791   10  218
B 271 791   10  226
B 281 791   10  233
B 291 792   10  241
B 301 792   10  247
B 311 792   10  252
B 321 792   10  257
B 331 792   10  261
B 341 793   10  264
B 351 793   10  266
B 361 793   10  268
B 371 793   10  269
B 381 793   10  270
B 391 793   10  271
B 402 793   10  271
B 412 793   10  271
B 423 793   10  271
B 433 793   10  271
B 443 793   10  271
B 453 793   10  271
B 463 793   10  271
B 473 793   10  270
B 483 794   10  268
B 493 793   10  264
B 503 793   10  260
B 513 794   10  255
B 523 793   10  251
B 533 792   10  247
B 543 793   10  243
B 553 793   10  239
B 563 793   10  236
B 573 793   10  233
B 583 793   10  232
B 593 793   10  229
B 603 794   10  228
B 613 793   10  227
B 623 794   10  225
B 633 794   10  225
B 643 794   10  224
B 653 794   10  223
B 663 793   10  221
B 673 794   10  221
B 683 794   10  220
B 693 793   10  219
B 703 794   10  218
B 713 793   10  217
B 723 793   10  217
B 733 794   10  217
B 743 794   10  217
B 753 794   10  217
B 763 794   10  217
B 773 794   10  217
B 783 794   10  217
B 793 794   10  217
B 803 793   10  217
B 813 794   10  217
B 823 794   10  217
B 833 794   10  217
B 843 794   10  217
B 853 794   10  217
B 863 794   10  217
B 873 794   10  217
B 883 794   10  217
B 893 794   10  217
B 903 794   10  217
B 913 794   10  217
B 923 794   10  217
B 933 794   10  217
B 943 794   10  217
B 953 794   10  217
B 963 794   10  217
B 973 794   10  217
B 983 794   10  217
B 993 794   10  217
B 1003 794   10  217
B 1013 794   10  217
B 1023 794   10  217
B 1033 794   10  217
B 1043 794   10  217
B 1053 794   10  217
B 1063 794   10  217
B 1073 794   10  217
B 1083 794   10  217
B 1093 794   10  217
B 1103 794   10  217
B 1113 794   10  217
B 1123 794   10  217
B 1133 794   10  217
B 1143 794   10  217
B 1153 794   10  217
B 1163 794   10  217
B 1173 794   10  217
B 1183 794   10  217
B 1193 794   10  217
B 1203 794   10  217
B 1213 794   10  217
B 1223 794   10  217
B 1233 794   10  217
B 1243 794   10  217
B 1253 794   10  217
B 1263 794   10  217
B 1273 794   10  217
B 1283 793   10  217
B 1293 794   10  217
B 1303 794   10  217
B 1313 793   10  217
B 1323 794   10  217
B 1333 794   10  217
B 1343 794   10  217
B 1353 794   10  217
B 1363 794   10  217
B 1373 794   10  217
B 1383 794   10  217
B 1393 794 -120  217
B 1403 794 -120  217
B 1413 780 -120  217
B 1423 741 -120  216
B 1433 740 -120  215
B 1443 749 -120  214
B 1453 759 -120  213
B 1463 766 -120  207
B 1473 762 -120  203
B 1483 739 -120  196
B 1493 708 -120  185
B 1503 689 -120  172
B 1513 690 -120  155
B 1523 706 -120  138
B 1533 726 -120  119
B 1543 741 -120  101
B 1553 751 -120   80
B 1563 754 -120   58
B 1573 752 -120   36
B 1583 750 -120   13
B 1593 751 -120  -11
push -11 -10
push out at target
B 1603 750   80  -23
B 1613 741   80  -35
B 1623 723   80  -51
B 1633 709   80  -65
B 1643 713   80  -80
B 1653 730   80  -97
B 1663 744   80 -113
B 1673 745   80 -131
B 1683 721   80 -143
B 1693 697   80 -148
B 1703 687   31 -149
B 1713 684    0 -148
B 1723 722   10 -143
B 1733 756   10 -128
B 1743 771   10 -117
B 1753 778   10 -103
B 1763 782   10  -88
B 1773 785   10  -73
B 1783 786   10  -60
B 1793 787   10  -47
B 1803 788   10  -34
pb end 
B 1813 789   10  -23
B 1823 789   10  -13
B 1833 790   10   -5
SSS v= 7902  t=  151
SSS  -16   -67     9    -5
%P VOLT1   = 7683
%P VOLT2   = 7902
%P S2_SC   =  1.01
%P L_ANG_MAX = 151
S 7902   -16   -67     9
B 1843 790  101    1
B 1853 790  101    6
B 1863 783  101   11
B 1873 766  101   15
B 1883 765  101   18
B 1893 768  101   24
B 1903 759  101   26
B 1913 731  101   30
B 1923 701  101   36
B 1933 684  101   44
B 1943 679  101   54
B 1953 685   47   65
B 1963 699   20   77
B 1973 723   20   89
B 1983 744   20  102
B 1993 761   20  115
B 2003 772   20  128
pull out 134
B 2013 778   10  140
B 2023 782   10  150
B 2033 784   10  161
B 2043 786   10  173
B 2053 787   10  183
B 2063 788   10  193
B 2073 789   10  201
B 2083 789   10  209
B 2093 789   10  216
B 2103 790   10  223
B 2113 790   10  228
B 2123 790   10  233
B 2133 791   10  238
B 2143 790   10  242
B 2153 791   10  245
B 2163 791   10  248
B 2173 791   10  249
B 2183 791   10  251
B 2193 792   10  251
B 2203 791   10  252
B 2213 791   10  252
B 2223 792   10  252
B 2233 792   10  252
B 2243 791   10  252
B 2253 792   10  252
