SSS v= 7919  t=  160 
SSS  -17   -16     3     1
%P VOLT1   = 7742
%P VOLT2   = 7919
%P S2_SC   =  1.01
%P L_ANG_MAX = 160
S 7916   -17   -16     3
B   0 791   90    1
B  11 791   90    1
B  21 791   90    1
B  31 745   90    1
B  41 734   90    1
B  51 737   90    1
B  61 734   90    1
B  71 720   90    4
B  81 700   90   13
B  91 686   90   23
B 101 688   90   35
B 111 700   90   46
B 121 711   76   57
B 131 718   48   69
B 141 732   20   83
B 153 745   20   99
B 163 763   20  113
B 174 773   20  127
B 184 777   20  139
pull out 147
B 195 780 -121  151
B 205 765 -121  164
B 216 720 -121  177
B 226 720 -121  188
B 237 732 -121  197
B 248 730 -121  205
B 259 696 -121  207
B 269 681 -121  207
B 279 673 -121  207
B 289 670 -121  194
B 300 675 -121  179
B 310 695 -121  162
B 321 715 -121  143
B 333 732 -121  122
B 344 738 -121  102
B 354 740 -121   80
B 365 740 -121   56
B 376 741 -121   29
B 387 745 -121    3
push -12 -10
push out at target
B 397 750   80  -17
B 409 745   80  -29
B 419 731   80  -43
B 429 713   80  -57
B 439 723   80  -70
B 449 737   80  -85
B 459 748   80  -99
B 469 744   80 -114
B 479 716   80 -124
B 489 694   73 -128
B 499 691   23 -128
B 509 696   10 -128
B 519 737   10 -119
B 529 756   10 -107
B 539 769   10  -95
B 549 775   10  -85
B 559 779   10  -70
B 569 781   10  -58
B 579 783   10  -45
B 589 783   10  -32
pb end 
SSS v= 7919  t=  160 
SSS  -19   -16     0     0
%P VOLT1   = 7742
%P VOLT2   = 7919
%P S2_SC   =  1.01
%P L_ANG_MAX = 160
S 7919   -19   -16     0
B   0 791   90    0
B  11 791   90    0
B  21 791   90    0
B  31 740   90    0
B  42 734   90    0
B  52 742   90    0
B  62 745   90    0
B  72 727   90    4
B  82 702   90   13
B  92 687   90   23
B 102 687   90   35
B 112 699   90   47
B 122 711   69   59
B 132 720   41   72
B 142 721   20   85
B 152 734   20   99
B 162 751   20  113
B 172 764   20  129
B 182 773   20  142
pull out 153
B 193 779 -121  155
B 204 781 -121  170
B 214 782 -121  183
B 224 751 -121  195
B 234 716 -121  207
B 245 720 -121  218
B 256 732 -121  227
B 266 721 -121  233
B 278 690 -121  234
B 289 676 -121  234
B 299 671 -121  228
B 311 675 -121  211
B 322 689 -121  195
B 332 709 -121  178
B 343 726 -121  158
B 354 736 -121  137
B 364 740 -121  115
B 374 740 -121   95
B 384 740 -121   71
B 394 742 -121   47
B 405 747 -121   20
B 417 753 -121   -9
push -10 -10
push out at target
B 427 755   80  -22
B 438 743   80  -34
B 448 720   80  -49
B 459 705   80  -65
B 470 711   80  -81
B 480 728   80  -99
B 492 743   80 -118
B 503 735   80 -134
B 513 710   80 -145
B 523 690   80 -149
B 533 682   23 -149
B 543 680   10 -149
B 554 734   10 -138
B 564 759   10 -123
B 575 770   10 -111
B 585 776   10  -97
B 597 780   10  -80
B 607 781   10  -65
B 618 783   10  -52
B 628 783   10  -38
pb end 
SSS v= 7912  t=  160 
SSS  -22   -16     6     3
%P VOLT1   = 7683
%P VOLT2   = 7912
%P S2_SC   =  1.01
%P L_ANG_MAX = 160
S 7912   -22   -16     6
B   0 791   91    3
B  10 790   91    3
B  20 790   91    3
B  30 746   91    3
B  40 732   91    3
B  50 736   91    3
B  60 731   91    3
B  70 716   91    4
B  80 696   91   13
B  90 686   91   23
B 100 688   91   35
B 110 701   91   46
B 120 713   75   57
B 130 718   47   70
B 141 732   20   83
B 151 741   20   97
B 161 760   20  111
B 171 771   20  125
B 181 776   20  135
pull out 145
B 192 779 -121  149
B 202 781 -121  162
B 214 782 -121  175
B 225 752 -121  187
B 236 717 -121  199
B 247 723 -121  209
B 259 733 -121  217
B 269 720 -121  221
B 279 693 -121  221
B 290 678 -121  221
B 300 673 -121  215
B 310 672 -121  202
B 320 684 -121  187
B 330 704 -121  170
B 341 723 -121  152
B 352 734 -121  132
B 364 738 -121  108
B 374 738 -121   86
B 384 739 -121   64
B 394 741 -121   39
B 404 746 -121   15
B 414 751 -121   -8
push -11 -10
push out at target
B 425 753   80  -23
B 435 745   80  -37
B 445 716   80  -53
B 455 718   80  -66
B 465 730   80  -81
B 475 744   80  -97
B 486 747   80 -113
B 496 725   80 -123
