%Initializing ... 
%  batt 7.51v 7.84v 
% * pre-auton 
%    pre-initializer 
%P L_ANGM = 200
%P L_ANG1 = 60
%P L_ANG2 = 90
%P S_V    = 80
%P S_ANG1 = 40
%P S_ANG2 = 80
%P M_V    = 80
%P M_ANG1 = 50
%P M_ANG2 = 90
in loop, waiting for press
L: in lcd_mode_selection
L: t_push=    85
L: in lcd_bat_adj
L: t_push=    85
%Initializing ...
% batt1   = 7.51v
% batt2   = 7.84v
% mode    = 0   
% time    = 5333   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%Initializing ...
% batt1   = 7.51v
% batt2   = 7.83v
% mode    = 0   
% time    = 5333   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
% * usercontrol 
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
SSS v= 7835  t=  200 
SSS    0     0     0     0
%P VOLT1   = 7505
%P VOLT2   = 7832
%P S2_SC   =  1.02
%P L_ANG_MAX = 200
S 7832     0     0     0
B   0 783   71    0
B  10 783   71    0
B  20 783   71    0
B  30 754   71    0
B  40 745   71    0
B  50 749   71    0
B  60 754   71    0
B  71 750   71    0
B  82 734   71    5
B  92 719   71   12
B 102 710   71   21
B 112 712   71   30
B 123 722   71   40
B 133 730   71   50
B 143 733   71   59
B 153 733   56   69
B 164 731   39   81
B 175 741   20   93
B 187 752   20  107
B 198 763   20  118
B 208 770   20  129
B 218 773   20  137
B 229 775   20  148
pull out 151
B 240 775 -122  157
B 250 776 -122  166
B 262 743 -122  176
B 273 710 -122  184
B 284 716 -122  191
B 294 730 -122  195
B 304 739 -122  199
B 315 721 -122  200
B 325 689 -122  200
B 337 670 -122  196
B 348 666 -122  182
B 358 676 -122  167
B 368 695 -122  151
B 378 713 -122  133
B 389 727 -122  114
B 399 732 -122   95
B 410 733 -122   73
B 420 733 -122   49
B 430 734 -122   27
B 442 738 -122   -1
push -11 -10
push out at target
B 452 742   81  -19
B 462 737   81  -31
B 472 722   81  -43
B 482 703   81  -56
B 492 711   81  -71
B 502 726   81  -86
B 512 739   81 -101
B 522 736   81 -116
B 532 708   81 -127
B 542 687   81 -131
B 552 676   23 -132
B 562 672    0 -132
B 572 717   10 -125
B 582 741   10 -112
B 592 759   10  -98
B 602 766   10  -87
B 612 770   10  -72
B 622 773   10  -57
B 632 774   10  -44
B 642 775   10  -31
B 652 776   10  -17
B 662 777   10   -4
pb end 
SSS v= 7828  t=  200 
SSS    1     0   -16     1
%P VOLT1   = 7505
%P VOLT2   = 7828
%P S2_SC   =  1.02
%P L_ANG_MAX = 200
S 7832     1     0   -16
B   0 782   71    1
B  10 782   71    1
B  20 775   71    1
B  30 747   71    1
B  40 746   71    1
B  50 751   71    1
B  60 751   71    1
B  70 744   71    2
B  80 735   71    8
B  90 723   71   17
B 100 716   71   25
B 110 717   71   35
B 120 722   71   45
B 130 729   71   54
B 140 733   66   64
B 150 734   49   74
B 160 733   29   85
B 171 746   20   97
B 181 755   20  109
B 192 766   20  121
B 203 771   20  131
B 214 774   20  142
B 225 775   20  153
pull out 156
B 235 776 -122  162
B 245 776 -122  171
B 255 765 -122  179
B 265 713 -122  187
B 275 712 -122  193
B 285 724 -122  199
B 295 735 -122  202
B 305 729 -122  204
B 315 701 -122  204
B 325 675 -122  204
B 335 663 -122  197
B 345 665 -122  184
B 355 679 -122  169
B 365 697 -122  153
B 375 715 -122  136
B 385 727 -122  117
