L: t_push=    72
%Initializing ...
% batt1   = 7.51v
% batt2   = 7.80v
% mode    = 0   
% time    = 4950   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%Initializing ...
% batt1   = 7.51v
% batt2   = 7.80v
% mode    = 0   
% time    = 4951   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
% * usercontrol 
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
SSS v= 7800  t=  210 
SSS    0     0     0     0
%P VOLT1   = 7505
%P VOLT2   = 7800
%P S2_SC   =  1.03
%P L_ANG_MAX = 210
S 7804     0     0     0
B   0 780   76    0
B  10 780   76    0
B  20 780   76    0
B  30 780   76    0
B  40 742   76    0
B  50 737   76    0
B  60 743   76    0
B  71 748   76    0
B  81 744   76    2
B  91 727   76    9
B 103 707   76   19
B 114 700   76   30
B 124 707   76   40
B 134 717   76   50
B 145 725   65   61
B 155 726   41   72
B 165 733   20   82
B 175 737   20   95
B 186 754   20  107
B 196 763   20  119
B 208 769   20  130
B 219 771   20  140
B 229 772   20  150
pull out 152
B 239 773 -123  160
B 250 751 -123  170
B 261 710 -123  178
B 272 714 -123  186
B 283 727 -123  192
B 294 730 -123  197
B 304 700 -123  197
B 315 676 -123  197
B 326 665 -123  192
B 337 663 -123  178
B 347 677 -123  162
B 358 697 -123  146
B 368 713 -123  130
B 379 725 -123  110
B 389 729 -123   90
B 399 729 -123   68
B 410 730 -123   45
B 420 732 -123   19
B 431 736 -123   -6
push -10 -10
push out at target
B 442 738   82  -19
B 453 730   82  -32
B 464 711   82  -48
B 475 696   82  -63
B 486 710   82  -79
B 497 726   82  -97
B 508 735   82 -114
B 519 712   82 -128
B 529 687   82 -134
B 539 673   40 -135
B 549 665    0 -135
