32  row, add v1 
500 msec interval
SS vs= 1.01  t=  210
%P VOLT1   = 7683
%P VOLT2   = 8206
%P S2_SC   =  1.01
%P L_ANG_MAX = 210
B   0 789   71    0
B  10 7895   71    0
B  20 7819   71    0
B  30 7751   71    0
B  40 7755   71    0
B  50 7422   71    0
B  60 7448   71    0
B  70 7531   71    0
B  80 7627   71    1
B  91 7577   71    4
B 101 7466   71   13
B 111 7245   71   22
B 122 7251   71   32
B 132 7212   71   41
B 142 7346   71   49
B 154 7391   71   58
B 164 7384   62   68
B 174 7442   50   78
B 184 7428   35   87
B 194 7457   30   97
B 204 7431   30  107
B 214 7497   30  117
*** adj PULL_V2->52 
*** dt = 50 , A = 120 , rpm = 332 
B 224 7519   52  126
B 234 7741   52  135
B 244 7749   52  144
B 254 7739   52  152
B 264 7757   52  160
pull out 162
B 274 7753 -101  168
B 284 7748 -101  175
B 294 7554 -101  183
B 304 7507 -101  189
B 314 7546 -101  195
B 324 7212 -101  202
B 334 7186 -101  206
B 344 7198 -101  209
B 354 7436 -101  210
B 364 7384 -101  210
B 374 7318 -101  210
*** amax = 210  vhit = 100
B 384 7259 -101  198
B 394 7101 -101  184
B 404 7156 -101  167
B 414 6940 -101  150
B 424 7073 -101  132
B 434 7107 -101  113
B 444 7335 -101   93
B 454 7443 -101   71
B 464 7440 -101   48
B 474 7516 -101   24
B 484 7530 -101   -1
push -10 -10
push out at target
B 494 7543   81  -20
B 504 7536   81  -30
B 514 7525   81  -44
B 524 7453   81  -58
B 534 7432   81  -74
B 544 7407   81  -89
B 554 7460   81 -105
B 564 7145   81 -121
B 574 7347   81 -137
B 584 7244   81 -146
B 594 7351   65 -149
B 604 7320   14 -149
B 614 7393   10 -149
B 624 7162   10 -138
B 634 7205   10 -124
B 644 7240   10 -112
B 654 7788   10  -97
B 664 7798   10  -82
B 674 7801   10  -68
B 684 7840   10  -55
B 694 7840   10  -41
pb end 
B 704 7839    0  -28
B 714 7845    0  -16
B 724 7846    0   -4
B 734 7847    0    4
B 744 7847    0    9
B 754 7849    0   13
B 764 7850    0   15
B 774 7885    0   16
B 784 7887    0   16
B 794 7886    0   16
B 804 7886    0   17
B 814 7890    0   17
B 824 7886    0   17
B 834 7886    0   17
B 844 7886    0   17
B 854 7886    0   17
B 864 7887    0   16
B 874 7886    0   16
B 884 7886    0   16
B 894 7887    0   16
B 904 7886    0   15
B 914 7887    0   14
B 924 7887    0   12
B 934 7889    0   11
B 944 7887    0    9
B 954 7887    0    8
B 964 7886    0    7
B 974 7886    0    5
B 984 7889    0    4
B 994 7887    0    4
B 1004 7887    0    2
B 1014 7889    0    2
B 1024 7889    0    1
B 1034 7889    0    0
B 1044 7887    0    0
B 1054 7887    0    0
B 1064 7887    0    0
B 1074 7889    0    0
B 1084 7889    0    0
B 1094 7889    0    0
B 1104 7886    0    0
B 1114 7889    0    0
B 1124 7886    0    0
B 1134 7889    0    0
B 1144 7889    0    0
B 1154 7887    0    0
B 1164 7887    0    0
B 1174 7889    0    0
B 1184 7887    0    0
B 1194 7889    0    0
B 1204 7889    0    0
SSS vs= 1.01  t=  220
%P VOLT1   = 7683
%P VOLT2   = 8199
%P S2_SC   =  1.02
%P L_ANG_MAX = 220
B 1214 7887   71    0
B 1224 7887   71    0
B 1234 7889   71    0
B 1244 7816   71    0
B 1254 7746   71    0
B 1264 7749   71    0
B 1274 7770   71    0
B 1284 7439   71    0
B 1294 7524   71    0
B 1304 7509   71    0
B 1314 7535   71    6
B 1324 7363   71   15
B 1335 7319   71   24
B 1345 7173   71   34
B 1355 7198   71   42
B 1365 7220   71   50
B 1375 7305   71   58
B 1385 7414   62   68
B 1395 7402   50   76
B 1405 7419   37   86
B 1415 7471   30   96
B 1425 7510   30  106
B 1435 7505   30  115
*** adj PULL_V2->58 
*** dt = 66 , A = 119 , rpm = 315 
B 1445 7627   58  124
B 1455 7635   58  132
B 1465 7739   58  140
B 1475 7732   58  148
B 1485 7734   58  156
B 1495 7727   58  164
B 1505 7638   58  172
pull out 173
B 1515 7620 -101  182
B 1525 7612 -101  192
B 1535 7521 -101  202
B 1545 7495 -101  208
B 1555 7431 -101  217
B 1565 7487 -101  226
B 1575 7533 -101  232
B 1585 7272 -101  236
B 1595 7297 -101  238
B 1605 7199 -101  238
B 1615 7333 -101  238
*** amax = 238  vhit = 91
B 1625 7282  -92  225
B 1635 7296  -92  211
B 1645 6931  -92  195
B 1655 6933  -92  179
B 1665 6996  -92  160
B 1675 7104  -92  141
B 1685 7261  -92  121
B 1695 7262  -92  100
B 1705 7436  -92   77
B 1715 7473  -92   53
