SSS vs= 1.02  t=  210
%P VOLT1   = 7683
%P VOLT2   = 8143
%P S2_SC   =  1.02
%P L_ANG_MAX = 210
B   0 786   71    3
B  10 7868   71    3
B  20 7781   71    3
B  30 7724   71    3
B  40 7734   71    4
B  50 7757   71    4
B  60 7424   71    4
B  70 7504   71    4
B  80 7484   71    4
B  90 7528   71    9
B 100 7390   71   18
B 110 7355   71   27
B 120 7221   71   36
B 130 7258   71   45
B 140 7287   71   53
B 150 7270   70   61
B 160 7370   59   70
B 170 7347   46   79
B 180 7395   35   88
B 190 7453   30   98
B 200 7489   30  107
B 210 7485   30  116
*** adj PULL_V2->64 
*** dt = 64 , A = 117 , rpm = 298 
B 220 7641   65  124
B 230 7647   65  132
B 240 7665   65  139
B 250 7686   65  147
B 260 7685   65  154
B 270 7669   65  162
pull out 167
B 280 7466 -101  171
B 290 7377 -101  181
B 300 7402 -101  190
B 310 7443 -101  198
B 320 7495 -101  207
B 330 7050 -101  213
B 340 7265 -101  219
B 350 7160 -101  221
B 360 7296 -101  221
B 370 7312 -101  221
*** amax = 221  vhit = 95
B 380 7292  -96  210
B 390 7095  -96  195
B 400 6907  -96  179
B 410 6980  -96  163
B 420 6936  -96  145
B 430 7083  -96  126
B 440 7098  -96  105
B 450 7348  -96   84
B 460 7414  -96   61
B 470 7416  -96   37
B 480 7464  -96   13
B 490 7480  -96  -10
push -10 -10
push out at target
B 500 7484   81  -21
B 510 7449   81  -33
B 520 7420   81  -47
B 530 7371   81  -62
B 540 7448   81  -75
B 550 7391   81  -93
B 560 7437   81 -108
B 570 7212   81 -123
B 580 7249   81 -134
B 590 7164   81 -139
B 600 7300   32 -140
B 610 7276    0 -140
B 620 7428   10 -133
B 630 7129   10 -119
B 640 7157   10 -105
B 650 7185   10  -93
B 660 7659   10  -78
B 670 7773   10  -63
B 680 7777   10  -49
B 690 7814   10  -35
B 700 7815   10  -21
B 710 7818   10   -7
pb end 
B 720 7818    0    5
B 730 7818    0   15
B 740 7819    0   22
B 750 7822    0   27
B 760 7822    0   29
B 770 7823    0   31
B 780 7823    0   31
B 790 7823    0   31
B 800 7825    0   31
B 810 7859    0   31
B 820 7823    0   31
B 830 7825    0   30
B 840 7823    0   30
B 850 7825    0   28
B 860 7825    0   27
B 870 7823    0   25
B 880 7825    0   23
B 890 7825    0   21
B 900 7825    0   19
B 910 7862    0   18
B 920 7862    0   16
B 930 7825    0   15
B 940 7826    0   13
B 950 7823    0   11
B 960 7825    0   10
B 970 7826    0    9
B 980 7826    0    8
B 990 7825    0    7
B 1000 7862    0    6
B 1010 7862    0    6
B 1020 7826    0    5
B 1030 7862    0    5
B 1040 7862    0    5
B 1050 7862    0    5
B 1060 7825    0    5
B 1070 7826    0    5
B 1080 7828    0    5
B 1090 7861    0    5
B 1100 7862    0    5
B 1110 7865    0    5
B 1120 7862    0    5
B 1130 7862    0    5
B 1140 7864    0    5
B 1150 7861    0    5
B 1160 7862    0    5
B 1170 7828    0    5
B 1180 7864    0    5
B 1190 7862    0    5
B 1200 7862    0    5
B 1210 7864    0    5
SSS vs= 1.02  t=  220
%P VOLT1   = 7683
%P VOLT2   = 8132
%P S2_SC   =  1.02
%P L_ANG_MAX = 220
B 1220 7862   71    5
B 1230 7862   71    5
B 1240 7844   71    5
B 1250 7732   71    5
B 1260 7721   71    5
B 1270 7706   71    5
B 1280 7730   71    5
B 1290 7430   71    5
B 1300 7577   71    5
B 1310 7552   71    7
B 1320 7483   71   15
B 1330 7241   71   24
B 1340 7213   71   33
B 1350 7230   71   42
B 1360 7228   71   50
B 1370 7250   71   59
B 1380 7326   62   67
B 1390 7387   51   75
B 1400 7372   39   84
B 1410 7408   30   93
B 1420 7396   30  103
B 1430 7448   30  112
*** adj PULL_V2->58 
*** dt = 66 , A = 119 , rpm = 315 
B 1440 7436   59  121
B 1450 7561   59  130
B 1460 7540   59  138
B 1470 7662   59  146
B 1480 7697   59  154
B 1490 7694   59  162
B 1500 7540   59  170
pull out 173
B 1510 7596 -101  179
B 1520 7586 -101  189
B 1530 7538 -101  199
B 1540 7350 -101  208
B 1550 7374 -101  215
B 1560 7431 -101  224
B 1570 7093 -101  231
B 1580 7115 -101  237
B 1590 7229 -101  240
B 1600 7325 -101  240
B 1610 7252 -101  240
*** amax = 240  vhit = 90
B 1620 7300  -91  233
B 1630 6984  -91  219
B 1640 7028  -91  204
B 1650 6881  -91  187
B 1660 6944  -91  171
B 1670 6996  -91  151
B 1680 7162  -91  131
B 1690 7381  -91  111
B 1700 7377  -91   87
B 1710 7449  -91   64
B 1720 7459  -91   40
B 1730 7475  -91   15
B 1740 7489  -91   -9
push -10 -10
push out at target
B 1750 7529   81  -21
B 1760 7496   81  -33
B 1770 7419   81  -47
B 1780 7433   81  -61
B 1790 7479   81  -75
B 1800 7456   81  -90
B 1810 7272   81 -105
B 1820 7211   81 -117
B 1830 7247   81 -125
B 1840 7325   57 -125
B 1850 7292   10 -125
B 1860 7303   10 -122
B 1870 7012   10 -109
B 1880 7136   10  -95
B 1890 7158   10  -82
B 1900 7467   10  -69
B 1910 7480   10  -53
B 1920 7770   10  -38
B 1930 7774   10  -24
pb end 
B 1940 7776    0   -9
B 1950 7814    0    5
B 1960 7812    0   17
B 1970 7814    0   27
B 1980 7818    0   34
B 1990 7817    0   38
B 2000 7819    0   40
B 2010 7819    0   41
B 2020 7819    0   41
B 2030 7821    0   41
B 2040 7821    0   41
B 2050 7821    0   41
B 2060 7821    0   41
B 2070 7823    0   39
B 2080 7821    0   35
B 2090 7821    0   31
B 2100 7821    0   28
B 2110 7822    0   25
B 2120 7821    0   23
B 2130 7821    0   20
B 2140 7822    0   19
B 2150 7821    0   16
B 2160 7821    0   14
B 2170 7822    0   12
B 2180 7821    0   10
B 2190 7822    0    7
B 2200 7823    0    4
B 2210 7823    0    3
B 2220 7822    0    2
B 2230 7822    0    1
B 2240 7821    0    1
B 2250 7822    0    1
B 2260 7822    0    1
B 2270 7822    0    1
B 2280 7822    0    0
B 2290 7822    0    0
B 2300 7823    0    0
B 2310 7822    0    0
B 2320 7822    0    0
B 2330 7823    0    0
B 2340 7822    0    0
B 2350 7823    0    0
B 2360 7823    0    0
B 2370 7823    0    0
B 2380 7822    0    0
B 2390 7823    0    0
B 2400 7823    0    0
B 2410 7823    0    0
B 2420 7823    0    0
B 2430 7823    0    0
SSS vs= 1.02  t=  215
%P VOLT1   = 7623
%P VOLT2   = 8122
%P S2_SC   =  1.02
%P L_ANG_MAX = 215
B 2441 7822   71    0
B 2451 7822   71    0
B 2462 7823   71    0
B 2472 7701   71    0
B 2484 7682   71    0
B 2494 7703   71    1
B 2504 7375   71    1
B 2514 7498   71    1
B 2525 7504   71    1
B 2535 7587   71    4
B 2545 7482   71   11
B 2555 7413   71   21
B 2565 7248   71   30
B 2575 7193   71   39
B 2585 7225   71   48
B 2595 7216   71   56
B 2606 7294   65   65
B 2618 7356   49   75
B 2628 7356   32   85
B 2638 7433   30   95
B 2648 7437   30  103
B 2658 7473   30  113
*** adj PULL_V2->64 
*** dt = 74 , A = 113 , rpm = 298 
B 2668 7596   65  121
B 2678 7711   65  128
B 2688 7655   65  136
B 2698 7642   65  143
B 2708 7642   65  151
B 2718 7627   65  159
B 2728 7426   65  167
pull out 171
B 2738 7515 -102  177
B 2748 7513 -102  187
B 2758 7371 -102  198
B 2768 7230 -102  206
B 2778 7276 -102  215
B 2788 7370 -102  224
B 2798 7207 -102  231
B 2808 7207 -102  237
B 2818 7290 -102  238
*** amax = 239  vhit = 88
B 2828 7324  -90  238
B 2838 7281  -90  238
B 2848 7193  -90  226
B 2858 6810  -90  211
B 2868 6869  -90  195
B 2878 6869  -90  178
B 2888 7006  -90  159
B 2898 7051  -90  140
B 2908 7206  -90  120
B 2918 7420  -90   98
B 2928 7414  -90   75
B 2938 7450  -90   51
B 2948 7464  -90   27
B 2958 7478  -90    1
push -10 -10
push out at target
B 2968 7489   81  -16
B 2978 7514   81  -29
B 2988 7444   81  -42
B 2998 7411   81  -58
B 3008 7413   81  -71
B 3018 7460   81  -87
B 3028 7257   81 -103
B 3038 7326   81 -117
B 3048 7230   81 -129
B 3058 7239   81 -133
B 3068 7265   23 -134
B 3078 7305    0 -134
B 3088 7284   10 -129
B 3098 7116   10 -116
B 3108 7164   10 -105
B 3118 7360   10  -93
B 3128 7764   10  -80
B 3138 7768   10  -67
B 3148 7771   10  -54
B 3158 7774   10  -42
B 3168 7774   10  -30
pb end 
B 3178 7776    0  -17
B 3188 7811    0   -6
B 3198 7814    0    3
B 3208 7815    0   11
B 3218 7814    0   17
B 3228 7817    0   20
B 3238 7817    0   23
B 3248 7818    0   23
B 3258 7818    0   23
B 3268 7818    0   23
B 3278 7818    0   23
B 3288 7822    0   23
B 3298 7818    0   23
B 3308 7818    0   23
B 3318 7819    0   23
B 3328 7818    0   23
B 3338 7819    0   20
B 3348 7819    0   19
B 3358 7818    0   17
B 3368 7819    0   16
B 3378 7819    0   15
B 3388 7819    0   14
B 3398 7819    0   13
B 3408 7819    0   12
B 3418 7819    0   11
B 3428 7821    0   11
B 3438 7821    0   10
B 3448 7818    0   10
B 3458 7821    0    9
B 3468 7821    0    9
B 3478 7819    0    9
B 3488 7821    0    9
B 3498 7819    0    9
B 3508 7819    0    9
B 3518 7821    0    9
B 3528 7819    0    9
B 3538 7821    0    9
B 3548 7821    0    9
B 3558 7821    0    9
B 3568 7821    0    9
B 3578 7821    0    9
B 3588 7819    0    9
B 3598 7822    0    9
B 3608 7821    0    9
B 3618 7821    0    9
B 3628 7822    0    9
B 3638 7821    0    9
B 3648 7821    0    9
B 3658 7822    0    9
B 3668 7821    0    9
SSS vs= 1.02  t=  210
%P VOLT1   = 7623
%P VOLT2   = 8118
%P S2_SC   =  1.02
%P L_ANG_MAX = 210
B 3678 7821   71    9
B 3688 7821   71    9
B 3698 7821   71    9
B 3708 7771   71    9
B 3718 7682   71    9
B 3728 7684   71    9
B 3738 7707   71    9
B 3748 7517   71    9
B 3758 7522   71    9
B 3768 7499   71    9
B 3778 7474   71   11
B 3788 7301   71   19
B 3798 7276   71   28
B 3808 7217   71   37
B 3819 7147   71   46
B 3830 7178   71   55
B 3840 7287   67   63
B 3850 7346   49   71
B 3860 7329   33   79
B 3870 7392   30   89
B 3880 7435   30   98
B 3890 7466   30  107
*** adj PULL_V2->64 
*** dt = 75 , A = 107 , rpm = 298 
B 3900 7449   65  115
B 3910 7651   65  122
B 3920 7634   65  129
B 3930 7641   65  136
B 3940 7421   65  143
B 3951 7401   65  152
B 3961 7446   65  162
pull out 167
B 3971 7474 -102  173
B 3981 7380 -102  183
B 3991 7338 -102  191
B 4001 7307 -102  201
B 4011 7366 -102  210
B 4021 7385 -102  217
B 4031 7318 -102  223
B 4041 7213 -102  224
B 4051 7218 -102  224
*** amax = 225  vhit = 93
B 4061 7275  -95  224
B 4071 7257  -95  212
B 4081 7135  -95  198
B 4091 6803  -95  182
B 4101 6875  -95  164
B 4111 6931  -95  147
B 4121 7148  -95  128
B 4131 7164  -95  108
B 4141 7271  -95   87
B 4151 7443  -95   64
B 4161 7445  -95   40
B 4171 7459  -95   16
B 4181 7474  -95   -8
push -11 -10
push out at target
B 4191 7478   81  -20
B 4201 7449   81  -32
B 4211 7423   81  -46
B 4221 7370   81  -62
B 4231 7439   81  -75
B 4241 7349   81  -92
