6-8 miss
23-25 miss
4th set short
SSS vs= 1.03  t=  218
%P VOLT1   = 7623
%P VOLT2   = 8003
%P S2_SC   =  1.03
%P L_ANG_MAX = 218
B   0 777   72    0
B  10 7775   72    0
B  20 7773   72    0
B  30 7656   72    0
B  40 7622   72    0
B  50 7639   72    0
B  60 7664   72    0
B  70 7274   72    0
B  80 7227   72    2
B  90 7289   72   11
B 100 7207   72   20
B 111 7216   72   29
B 121 7045   72   39
B 131 7084   72   48
B 142 7099   72   57
B 153 7200   64   68
B 163 7256   51   79
B 174 7284   40   91
B 184 7309   30  103
B 194 7357   30  114
B 204 7485   30  125
*** adj PULL_V2->42 
*** dt = 28 , A = 132 , rpm = 364 
B 214 7509   43  136
B 224 7478   43  147
B 234 7614   43  156
pull out 161
B 244 7614 -102  167
B 254 7649 -102  176
B 264 7479 -102  185
B 274 7403 -102  192
B 284 7439 -102  200
B 294 6896 -102  206
B 304 6949 -102  212
B 314 6997 -102  216
B 324 7250 -102  216
B 334 7124 -102  216
B 344 7131 -102  216
*** amax = 216  vhit = 101
B 354 7039 -103  205
B 364 7055 -103  191
B 374 6897 -103  175
B 384 6752 -103  159
B 394 6810 -103  141
B 404 6914 -103  122
B 414 7176 -103  104
B 424 7174 -103   84
B 434 7277 -103   61
B 444 7350 -103   38
B 454 7362 -103   15
B 464 7349 -103   -9
push -13 -10
push out at target
B 474 7390   82  -23
B 484 7364   82  -33
B 494 7285   82  -46
B 504 7316   82  -61
B 514 7360   82  -74
B 524 7341   82  -88
B 534 6997   82 -102
B 544 6984   82 -116
B 554 7116   82 -126
B 564 7213   75 -129
B 574 7169   14 -129
B 584 7199   10 -129
B 594 6838   10 -120
B 604 6952   10 -105
B 614 6973   10  -90
B 624 7136   10  -77
B 634 7162   10  -62
B 644 7388   10  -47
B 654 7679   10  -32
B 664 7681   10  -16
pb end 
B 674 7686    0   -2
B 684 7687    0   12
B 694 7690    0   23
B 704 7689    0   32
B 714 7727    0   38
B 724 7728    0   42
B 734 7728    0   44
B 744 7730    0   46
B 754 7730    0   46
B 764 7730    0   46
B 774 7732    0   48
B 784 7734    0   48
B 794 7730    0   48
B 804 7731    0   48
B 814 7730    0   48
B 824 7731    0   48
B 834 7732    0   48
B 844 7728    0   48
B 854 7731    0   48
B 864 7731    0   47
B 874 7732    0   45
B 884 7732    0   43
B 894 7736    0   41
B 904 7731    0   38
B 914 7732    0   36
B 924 7731    0   33
SSS vs= 1.03  t=  224
%P VOLT1   = 7564
%P VOLT2   = 7979
%P S2_SC   =  1.04
%P L_ANG_MAX = 224
B 934 7731   72   30
B 944 7731   72   27
B 954 7732   72   24
B 964 7632   72   20
B 974 7564   72   18
B 984 7574   72   16
B 994 7604   72   14
B 1004 7400   72   14
B 1014 7278   72   15
B 1024 7206   72   15
B 1034 7146   72   18
B 1044 6956   72   27
B 1054 6984   72   35
B 1064 7019   72   44
B 1074 7078   72   52
B 1084 7080   71   62
B 1094 7217   60   72
B 1104 7216   50   83
B 1114 7234   36   94
B 1124 7269   31  105
B 1134 7368   31  118
B 1144 7389   31  128
*** adj PULL_V2->36 
*** dt = 28 , A = 134 , rpm = 381 
B 1154 7400   37  139
B 1164 7620   37  149
B 1174 7625   37  159
pull out 162
B 1184 7621 -103  169
B 1194 7604 -103  180
B 1204 7389 -103  187
B 1214 7403 -103  195
B 1224 7418 -103  202
B 1234 7474 -103  208
B 1244 7056 -103  212
B 1254 7174 -103  216
B 1264 7060 -103  216
B 1274 7183 -103  216
*** amax = 216  vhit = 104
B 1284 7106 -107  208
B 1294 7099 -107  196
B 1304 6785 -107  182
B 1314 6747 -107  166
B 1324 6814 -107  148
B 1334 6936 -107  130
B 1344 7101 -107  112
B 1354 7105 -107   92
B 1364 7274 -107   69
B 1374 7308 -107   48
B 1384 7315 -107   24
B 1394 7333 -107    0
push -12 -10
push out at target
B 1404 7347   82  -20
B 1414 7243   82  -31
B 1424 7208   82  -43
B 1434 7287   82  -52
B 1444 7343   82  -64
B 1454 6897   82  -76
B 1464 7138   82  -88
B 1474 7072   82  -97
B 1484 7211   66 -101
B 1494 7220   23 -101
B 1504 7310   10 -101
B 1514 7153   10  -96
B 1524 7044   10  -84
B 1534 7080   10  -74
B 1544 7594   10  -62
B 1554 7638   10  -50
B 1564 7643   10  -37
B 1574 7680   10  -24
B 1584 7681   10  -12
pb end 
B 1594 7684    0    0
B 1604 7684    0   12
B 1614 7687    0   21
B 1624 7689    0   29
B 1634 7724    0   35
B 1644 7725    0   38
B 1654 7725    0   40
B 1664 7725    0   41
B 1674 7727    0   41
B 1684 7730    0   41
B 1694 7727    0   41
B 1704 7727    0   41
B 1714 7727    0   41
B 1724 7728    0   41
B 1734 7728    0   41
B 1744 7728    0   40
B 1754 7728    0   36
B 1764 7728    0   34
B 1774 7730    0   32
B 1784 7725    0   29
B 1794 7728    0   27
B 1804 7728    0   25
B 1814 7728    0   23
B 1824 7728    0   20
B 1834 7728    0   18
SSS vs= 1.04  t=  224
%P VOLT1   = 7564
%P VOLT2   = 7975
%P S2_SC   =  1.04
%P L_ANG_MAX = 224
B 1845 7730   72   16
B 1855 7730   72   14
B 1865 7608   72   12
B 1875 7559   72   11
B 1886 7576   72   10
B 1896 7591   72   10
B 1906 7184   72   10
B 1916 7276   72   11
B 1927 7219   72   11
B 1937 7165   72   20
B 1947 7112   72   28
B 1959 7050   72   39
B 1970 7080   72   48
B 1980 7121   72   58
B 1990 7220   64   69
B 2000 7212   52   80
B 2011 7228   40   91
B 2021 7242   31  103
B 2031 7304   31  115
B 2041 7369   31  127
*** adj PULL_V2->30 
*** dt = 26 , A = 133 , rpm = 398 
B 2051 7390   31  138
B 2061 7402   31  149
B 2071 7584   31  159
pull out 160
B 2081 7621 -103  169
B 2091 7625 -103  180
B 2101 7422 -103  188
B 2111 7397 -103  196
B 2121 7431 -103  203
B 2131 7453 -103  211
B 2141 7041 -103  215
B 2151 7040 -103  219
B 2161 7092 -103  220
B 2171 7194 -103  220
*** amax = 220  vhit = 102
B 2181 7145 -105  215
B 2191 7095 -105  203
B 2201 6733 -105  189
B 2211 6797 -105  174
B 2221 6764 -105  156
B 2231 6960 -105  138
B 2241 6990 -105  120
B 2251 7105 -105  100
B 2261 7277 -105   80
B 2271 7271 -105   56
B 2281 7309 -105   34
B 2291 7325 -105   10
push -12 -10
push out at target
B 2301 7342   82  -14
B 2311 7349   82  -24
B 2321 7355   82  -36
B 2331 7261   82  -50
B 2341 7277   82  -65
B 2351 7252   82  -79
B 2361 7304   82  -93
B 2371 6988   82 -108
B 2381 7211   82 -121
B 2391 7098   82 -132
B 2402 7122   82 -134
B 2412 7118    5 -134
B 2422 7246   10 -134
B 2432 7205   10 -123
B 2442 7017   10 -111
B 2452 7045   10 -100
B 2462 7451   10  -88
B 2472 7636   10  -74
B 2482 7639   10  -62
B 2492 7677   10  -50
B 2502 7680   10  -38
pb end 
B 2512 7681    0  -27
B 2522 7681    0  -16
B 2532 7683    0   -8
B 2542 7684    0   -1
B 2552 7686    0    4
B 2562 7722    0    8
B 2572 7722    0   11
B 2582 7722    0   13
B 2592 7724    0   14
B 2602 7724    0   15
B 2612 7724    0   16
B 2622 7724    0   18
B 2632 7725    0   18
B 2642 7724    0   18
B 2652 7725    0   18
B 2662 7724    0   18
B 2672 7725    0   18
B 2682 7725    0   18
B 2692 7725    0   18
B 2702 7725    0   18
B 2712 7725    0   18
B 2722 7725    0   18
B 2732 7725    0   18
B 2742 7725    0   18
B 2752 7725    0   18
SSS vs= 1.04  t=  224
%P VOLT1   = 7564
%P VOLT2   = 7968
%P S2_SC   =  1.04
%P L_ANG_MAX = 224
B 2763 7725   72   17
B 2773 7725   72   17
B 2784 7602   72   16
B 2794 7568   72   15
B 2804 7578   72   15
B 2815 7233   72   15
B 2825 7207   72   15
B 2835 7239   72   16
B 2845 7197   72   17
B 2855 7182   72   26
B 2865 7016   72   34
B 2875 7039   72   43
B 2886 7060   72   52
B 2897 7069   70   63
B 2907 7210   60   72
