1x8 miss 1
2x8 first 3 too far
3x8 miss 1 and 3
4x8
SSS vs= 1.00  t=  210
%P VOLT1   = 7860
%P VOLT2   = 8136
%P S2_SC   =  1.00
%P L_ANG_MAX = 210
B   0 797   70    2
B  10 7970   70    2
B  20 7918   70    2
B  30 7832   70    2
B  40 7827   70    2
B  50 7832   70    2
B  60 7816   70    2
B  70 7431   70    3
B  80 7576   70   10
B  90 7549   70   18
B 100 7480   70   27
B 110 7323   70   37
B 120 7350   70   46
B 130 7400   70   55
B 140 7474   64   66
B 150 7479   49   76
B 160 7514   34   88
B 170 7597   30   99
B 180 7625   30  111
B 190 7659   30  123
*** adj PULL_V2->30 
*** dt = 21 , A = 125 , rpm = 398 
B 200 7815   30  135
B 210 7823   30  144
pull out 147
B 220 7790 -100  155
B 230 7867 -100  165
B 240 7691 -100  175
B 250 7637 -100  184
B 260 7663 -100  193
B 270 7719 -100  200
B 280 7452 -100  206
B 290 7409 -100  210
B 300 7300 -100  211
B 310 7311 -100  211
*** amax = 211  vhit = 100
B 320 7337 -100  210
B 330 7326 -100  197
B 340 7178 -100  183
B 350 6921 -100  167
B 360 6990 -100  150
B 370 7081 -100  133
B 380 7287 -100  114
B 390 7298 -100   94
B 400 7404 -100   73
B 410 7542 -100   51
B 420 7551 -100   27
B 430 7561 -100    3
push -11 -10
push out at target
B 440 7578   80  -16
B 450 7564   80  -25
B 460 7439   80  -37
B 470 7538   80  -47
B 480 7588   80  -58
B 490 7600   80  -70
B 500 7382   80  -81
B 510 7350   80  -92
B 520 7412   80  -98
B 530 7447   39  -99
B 540 7426    0  -99
B 550 7600   10  -98
B 560 7324   10  -86
B 570 7395   10  -73
B 580 7319   10  -63
B 590 7760   10  -50
B 600 7767   10  -37
B 610 7913   10  -23
B 620 7916   10   -9
B 630 7918   10    3
pb end 
B 640 7954    0   15
B 650 7919    0   27
B 660 7922    0   37
B 670 7922    0   45
B 680 7960    0   51
B 690 7960    0   55
B 700 7960    0   58
B 710 7962    0   60
B 720 7962    0   61
B 730 7962    0   62
B 740 7962    0   62
B 750 7962    0   62
B 760 7963    0   63
B 770 7962    0   63
B 780 7963    0   63
B 790 7964    0   63
B 800 7963    0   63
B 810 7963    0   63
B 820 7964    0   63
B 830 7963    0   63
B 840 7964    0   60
B 850 7964    0   58
B 860 7963    0   55
B 870 7964    0   52
B 880 7963    0   49
B 890 7964    0   45
B 900 7964    0   42
B 910 7966    0   39
B 920 7966    0   35
B 930 7966    0   31
B 940 7966    0   27
B 950 7968    0   23
B 960 7966    0   20
B 970 7964    0   16
B 980 7966    0   13
B 990 7966    0    9
B 1000 7966    0    7
B 1010 7966    0    4
B 1020 7966    0    3
B 1030 7966    0    1
SSS vs= 1.00  t=  221
%P VOLT1   = 7860
%P VOLT2   = 8125
%P S2_SC   =  1.00
%P L_ANG_MAX = 221
B 1041 7966   70   -1
B 1051 7966   70   -1
B 1061 7964   70   -1
B 1071 7838   70   -1
B 1081 7812   70   -1
B 1091 7801   70   -1
B 1101 7350   70   -1
