SSS v= 7944  t=  270 
SSS    0     0     0     0
%P VOLT1   = 7801
%P VOLT2   = 7944
%P S2_SC   =  1.01
%P L_ANG_MAX = 270
S 7944     0     0     0
B   0 794  120    0
B  10 794  120    0
B  21 778  120    0
B  31 690  120    0
B  41 671  120    0
B  51 666  120    0
B  61 647  120    0
B  71 618  120    0
B  81 595  120    9
B  91 593  120   15
B 101 599  120   15
B 111 594  120   15
B 121 578  120   15
B 132 570  120   15
B 142 565  120   15
B 153 563  120   15
B 163 561  120   15
B 173 561  120   15
B 183 560  120   15
B 193 559  120   15
B 203 559  120   15
B 213 559  120   15
B 223 558  120   15
B 233 558  120   15
B 243 558  120   15
B 253 558  120   15
B 263 557  120   15
B 273 557  120   15
B 283 557  120   15
B 293 557  120   15
B 303 556  120   15
B 313 556  120   15
B 323 556  120   15
B 333 556  120   15
B 343 556  120   15
B 353 556  120   15
B 363 555  120   15
B 373 556  120   15
B 383 555  120   15
B 393 556  120   15
B 403 555  120   15
B 413 555  120   15
B 423 555  120   15
B 433 555  120   15
B 443 555  120   15
B 453 555  120   15
B 464 555  120   15
B 474 555  120   15
B 484 554  120   15
B 494 555  120   15
pull bail out
B 504 554 -120   15
B 514 554 -120   15
B 524 559 -120   15
B 534 589 -120   15
B 544 633 -120   15
B 554 668 -120   15
B 564 693 -120   15
B 574 713 -120   15
B 584 726 -120   15
B 594 724 -120   15
B 604 690 -120   12
B 614 640 -120    5
B 624 604 -120   -6
push -10 -10
push out at target
B 634 587   80  -18
B 644 596   80  -31
B 654 598   80  -44
B 664 591   80  -56
B 674 617   80  -71
B 684 650   80  -85
B 694 677   80  -99
B 704 684   80 -112
B 714 648   80 -121
B 724 612   64 -124
B 734 595   14 -124
B 744 637   10 -124
B 754 705   10 -115
B 764 740   10 -103
B 774 758   10  -92
B 784 766   10  -81
B 794 771   10  -69
B 804 774   10  -58
B 814 776   10  -47
B 824 777   10  -36
B 834 778   10  -27
pb end 
SSS v= 7870  t=  270 
SSS    0     0     0   -27
%P VOLT1   = 7623
%P VOLT2   = 7870
%P S2_SC   =  1.02
%P L_ANG_MAX = 270
S 7870     0     0     0
B   0 787  121    9
B  10 784  121    9
B  20 690  121   10
B  30 665  121   11
B  41 655  121   12
B  51 632  121   13
B  62 599  121   13
B  72 583  121   13
B  82 574  121   13
B  92 569  121   13
B 102 566  121   13
B 112 564  121   13
B 122 563  121   13
B 132 562  121   13
B 142 561  121   13
B 152 561  121   13
B 162 561  121   13
B 172 560  121   13
B 182 560  121   13
B 192 559  121   13
B 202 559  121   13
B 212 559  121   13
B 222 558  121   13
B 233 559  121   13
B 243 558  121   13
B 253 558  121   13
B 263 558  121   13
B 274 558  121   13
B 284 558  121   13
B 295 557  121   13
B 305 557  121   13
B 315 557  121   13
B 325 557  121   13
B 335 557  121   13
B 345 557  121   13
B 356 557  121   13
B 366 556  121   13
B 377 556  121   13
B 387 556  121   13
B 398 556  121   13
B 409 556  121   13
B 420 556  121   13
B 430 556  121   13
B 440 556  121   13
B 450 556  121   13
B 461 555  121   13
B 471 555  121   13
B 483 556  121   13
B 493 556  121   13
pull bail out
B 503 555 -121   13
B 513 555 -121   13
B 523 555 -121   13
B 533 567 -121   13
B 543 595 -121   13
B 553 640 -121   13
B 563 673 -121   13
B 573 698 -121   13
B 583 716 -121   13
B 593 726 -121   13
B 603 722 -121   13
B 613 686 -121   12
B 623 638 -121    4
B 633 601 -121   -7
push -11 -10
push out at target
B 643 586   81  -19
B 653 596   81  -32
B 663 591   81  -46
B 673 589   81  -58
B 683 616   81  -73
B 693 648   81  -87
B 703 674   81 -101
B 713 675   81 -114
B 724 636   81 -123
B 735 603   58 -125
B 745 587    5 -125
B 755 659   10 -124
B 765 718   10 -112
B 775 744   10 -101
B 785 757   10  -91
B 795 765   10  -79
B 805 768   10  -67
B 815 771   10  -56
B 825 773   10  -46
B 835 774   10  -36
pb end 
SSS v= 7842  t=  270 
SSS    0     0     0   -36
%P VOLT1   = 7623
%P VOLT2   = 7846
%P S2_SC   =  1.02
%P L_ANG_MAX = 270
S 7846     0     0     0
B   0 784  122   10
B  10 784  122   10
B  21 784  122   10
B  31 724  122   10
B  41 667  122   11
B  51 655  122   11
B  61 642  122   12
B  71 617  122   12
B  81 590  122   12
B  91 575  122   13
B 101 568  122   13
