the first one is a good single,
the rests are auto-a of same target
SSS v= 7891  t=  270 
SSS   -4     0     0    -3
%P VOLT1   = 7623
%P VOLT2   = 7891
%P S2_SC   =  1.01
%P L_ANG_MAX = 270
S 7895    -4     0     0
B   0 788  121   -3
B  10 789  121   -3
B  20 782  121   -3
B  30 688  121   -3
B  40 673  121   -3
B  50 683  121   -3
B  60 701  121   -3
B  70 717  121   -3
B  80 717  121   -3
B  90 683  121   -3
B 100 640  121    5
B 110 605  121   15
B 120 591  121   26
B 130 599  121   36
B 140 619  121   46
B 151 638  121   56
B 162 647  110   66
B 172 643   85   77
B 183 631   60   88
B 193 625   35   99
B 204 658   30  111
B 215 715   30  124
B 225 738   30  136
B 235 749   30  144
B 245 756   30  155
B 256 760   30  165
B 267 763   30  176
B 277 765   30  184
B 288 766   30  194
B 298 767   30  201
pull out 206
B 308 767 -121  208
B 318 767 -121  215
B 328 749 -121  221
B 338 662 -121  226
B 348 655 -121  229
B 358 671 -121  233
B 368 692 -121  237
B 378 710 -121  240
B 388 710 -121  241
B 398 677 -121  241
B 408 630 -121  240
B 418 600 -121  233
B 428 587 -121  221
B 438 598 -121  207
B 448 626 -121  192
B 458 654 -121  176
B 468 678 -121  157
B 478 691 -121  140
B 489 698 -121  118
B 499 698 -121   98
B 509 698 -121   77
B 519 701 -121   53
B 529 706 -121   30
B 539 712 -121    5
push -10 -10
push out at target
B 549 719   81  -17
B 560 719   81  -29
B 571 695   81  -44
B 582 653   81  -59
B 592 634   81  -75
B 604 657   81  -91
B 614 682   81 -108
B 624 699   81 -123
B 635 679   81 -139
B 645 637   81 -146
B 655 603   48 -147
B 665 587    0 -147
B 675 660   10 -147
B 685 718   10 -135
B 695 747   10 -124
B 706 761   10 -112
B 716 768   10  -99
B 727 772   10  -87
B 738 775   10  -73
B 748 777   10  -62
B 759 777   10  -51
pb end 
%Initializing ... 
%  batt 7.68v 7.92v 
% * pre-auton 
%    pre-initializer 
%P L_ANGM = 240
%P L_ANG1 = 60
%P L_ANG2 = 100
%P S_V    = 80
%P S_ANG1 = 40
%P S_ANG2 = 80
%P M_V    = 80
%P M_ANG1 = 50
%P M_ANG2 = 90
in loop, waiting for press
L: in lcd_mode_selection
L: t_push=    25
L: in lcd_bat_adj
L: t_push=    86
%Initializing ...
% batt1   = 7.68v
% batt2   = 7.92v
% mode    = 0   
% time    = 20765   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%Initializing ...
% batt1   = 7.68v
% batt2   = 7.92v
% mode    = 0   
% time    = 20766   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
% * usercontrol 
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
SSS v= 7916  t=  260 
SSS    0     0     0     0
%P VOLT1   = 7683
%P VOLT2   = 7916
%P S2_SC   =  1.01
%P L_ANG_MAX = 260
S 7916     0     0     0
B   0 791  121    0
B  10 791  121    0
B  20 696  121    0
B  30 675  121    0
B  40 683  121    0
B  50 697  121    0
B  60 698  121    0
B  70 668  121    1
B  80 623  121    9
B  90 594  121   18
B 100 589  121   29
B 110 605  121   39
B 120 626  121   47
B 130 643  121   56
B 140 648  110   65
B 150 641   90   75
B 160 631   65   85
B 170 625   37   97
B 180 670   30  107
B 190 710   30  118
B 200 736   30  129
B 210 750   30  139
B 220 757   30  148
B 230 761   30  157
B 240 764   30  165
B 250 766   30  176
B 261 768   30  185
B 271 768   30  192
B 282 769   30  199
pull out 201
B 293 768 -121  206
B 303 720 -121  213
B 313 660 -121  217
B 323 659 -121  221
B 333 676 -121  225
B 344 698 -121  229
B 354 715 -121  230
B 365 704 -121  231
B 376 656 -121  231
B 386 617 -121  229
B 397 594 -121  217
B 407 598 -121  201
B 417 618 -121  188
B 428 648 -121  170
B 438 674 -121  152
B 448 691 -121  134
B 458 699 -121  117
B 470 700 -121   91
B 481 700 -121   68
B 492 703 -121   43
B 502 708 -121   18
B 512 715 -121   -5
push -13 -10
push out at target
B 522 721   80  -23
B 533 713   80  -35
B 545 681   80  -51
B 555 644   80  -65
B 565 632   80  -80
B 575 652   80  -96
B 586 677   80 -115
B 597 699   80 -133
B 607 680   80 -147
B 617 638   80 -155
B 628 603   56 -157
B 638 588    5 -156
B 648 665   10 -155
B 658 721   10 -144
B 669 751   10 -133
B 680 765   10 -121
B 690 771   10 -109
B 701 775   10  -97
B 711 777   10  -85
B 722 779   10  -75
B 732 780   10  -64
pb end 
SSS v= 7898  t=  280 
SSS   -1     0     3    -2
%P VOLT1   = 7683
%P VOLT2   = 7902
%P S2_SC   =  1.01
%P L_ANG_MAX = 280
S 7902    -1     0     3
B   0 790  121   -2
B  11 790  121   -2
B  21 790  121   -2
B  31 724  121   -2
B  42 675  121   -2
B  52 673  121   -2
B  62 669  121   -2
B  72 648  121   -1
B  82 614  121    6
B  92 594  121   14
B 102 593  121   24
B 113 606  121   33
B 123 623  121   41
B 133 635  121   50
B 143 636  121   59
B 153 630  107   68
B 163 623   91   77
B 173 620   74   87
B 184 622   54   98
B 194 648   32  109
B 204 668   30  120
B 215 707   30  131
B 226 731   30  143
B 236 746   30  154
B 247 755   30  165
B 258 760   30  176
B 269 763   30  185
B 279 765   30  195
B 289 766   30  203
B 300 767   30  211
pull out 215
B 311 767 -121  218
B 321 767 -121  225
B 331 766 -121  231
B 341 673 -121  237
B 352 654 -121  240
B 362 668 -121  245
B 373 689 -121  249
B 383 709 -121  251
B 393 710 -121  252
B 403 679 -121  252
B 414 633 -121  252
B 425 599 -121  243
B 435 588 -121  229
B 446 605 -121  213
B 457 636 -121  197
B 467 664 -121  180
B 477 686 -121  161
B 487 697 -121  142
B 498 700 -121  122
B 509 700 -121   99
B 521 701 -121   72
B 531 705 -121   47
B 541 711 -121   25
B 551 718 -121    0
push -11 -10
push out at target
B 561 727   80  -21
B 571 722   80  -31
B 581 698   80  -44
B 591 648   80  -59
B 601 646   80  -72
B 611 667   80  -87
B 621 689   80 -103
B 631 704   80 -118
B 641 689   80 -131
B 651 646   80 -140
B 661 609   65 -142
B 671 591    6 -142
B 681 661   10 -141
