fixed lcd adjustment error
waittime reduce to 100 msec
%Initializing ... 
%  batt 7.56v 7.82v 
% * pre-auton 
%    pre-initializer 
%P L_ANGM = 240
%P L_ANG1 = 60
%P L_ANG2 = 100
%P S_V    = 80
%P S_ANG1 = 40
%P S_ANG2 = 80
%P M_V    = 80
%P M_ANG1 = 50
%P M_ANG2 = 90
in loop, waiting for press
L: in lcd_mode_selection
L: t_push=    90
L: in lcd_bat_adj
L: t_push=    90
%Initializing ...
% batt1   = 7.56v
% batt2   = 7.81v
% mode    = 6   
% time    = 9428   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%Initializing ...
% batt1   = 7.56v
% batt2   = 7.82v
% mode    = 6   
% time    = 9428   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
% * usercontrol 
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
SSS v= 7825  t=  280 
SSS    0     0     0     0
%P VOLT1   = 7623
%P VOLT2   = 7821
%P S2_SC   =  1.02
%P L_ANG_MAX = 280
S 7821     0     0     0
B   0 781  122    0
B  11 782  122    0
B  21 716  122    0
B  31 669  122    0
B  41 671  122    1
B  51 685  122    1
B  61 694  122    1
B  71 685  122    1
B  81 659  122    2
B  91 625  122   10
B 101 594  122   19
B 112 585  122   30
B 123 599  122   41
B 134 623  122   51
B 146 639  122   62
B 156 639  107   70
B 166 629   93   80
B 176 618   76   90
B 187 625   60  102
B 197 641   41  114
B 208 684   30  125
B 218 712   30  136
B 229 736   30  148
B 239 746   30  158
B 249 752   30  169
B 260 754   30  178
B 270 756   30  188
B 282 758   30  198
B 292 759   30  206
B 303 759   30  213
pull out 218
B 314 759 -122  220
B 324 759 -122  226
B 334 758 -122  233
B 345 700 -122  238
B 356 648 -122  242
B 366 654 -122  246
B 377 675 -122  250
B 387 696 -122  252
B 398 707 -122  253
B 408 688 -122  253
B 419 643 -122  253
B 429 603 -122  247
B 440 584 -122  234
B 450 594 -122  218
B 461 622 -122  203
B 472 653 -122  186
B 482 677 -122  166
B 492 690 -122  150
B 503 695 -122  128
B 514 694 -122  106
B 524 694 -122   82
B 536 698 -122   55
B 547 703 -122   30
B 557 711 -122    1
push -10 -10
push out at target
B 568 719   81  -19
B 578 664   81  -30
B 589 617   81  -43
B 599 634   81  -52
B 611 664   81  -64
B 621 688   81  -78
B 632 701   81  -89
B 643 670   74  -98
B 653 627   58 -101
B 663 597   14 -101
B 673 676   10 -100
B 683 722   10  -92
B 693 745   10  -82
B 703 758   10  -73
B 713 764   10  -62
B 723 767   10  -51
B 733 769   10  -39
B 743 770   10  -27
B 753 771   10  -17
B 763 772   10   -6
pb end 
SSS v= 7814  t=  280 
SSS  -29    22    38     2
%P VOLT1   = 7564
%P VOLT2   = 7811
%P S2_SC   =  1.02
%P L_ANG_MAX = 280
S 7811   -29    22    38
B   0 781  122    2
B  10 781  122    2
B  20 781  122    2
B  31 707  122    2
B  42 666  122    2
B  52 672  122    2
B  62 686  122    2
B  72 695  122    2
B  82 697  122    2
B  92 683  122    3
B 103 633  122   12
B 115 595  122   24
B 125 593  122   34
B 135 608  122   44
B 145 627  122   54
B 155 639  119   63
B 165 639  104   72
B 175 631   89   82
B 185 621   73   93
B 195 618   57  104
B 205 622   40  115
B 215 655   30  127
B 225 682   30  139
B 235 720   30  151
B 245 738   30  163
B 255 746   30  174
B 265 752   30  185
B 275 754   30  194
B 285 756   30  204
B 295 758   30  213
pull out 220
B 305 759 -122  222
B 315 759 -122  230
B 325 760 -122  238
B 335 704 -122  245
B 345 640 -122  250
B 355 640 -122  254
B 365 659 -122  259
B 375 683 -122  264
B 385 700 -122  266
B 396 697 -122  268
B 406 660 -122  268
B 416 616 -122  268
B 426 587 -122  261
B 436 578 -122  249
B 446 593 -122  234
B 456 620 -122  220
B 466 646 -122  204
B 476 668 -122  188
B 486 683 -122  170
B 496 688 -122  150
B 506 689 -122  130
B 516 690 -122  108
B 526 694 -122   86
B 536 700 -122   62
B 546 707 -122   38
B 556 713 -122   14
push -10 -10
push out at target
B 566 720   81  -11
B 576 722   81  -24
B 586 704   81  -35
B 596 667   81  -48
B 606 632   81  -61
B 616 630   81  -75
B 626 652   81  -91
B 636 675   81 -107
B 646 692   81 -122
B 657 674   81 -136
B 667 631   81 -143
B 677 597   49 -144
B 688 581    0 -144
B 699 665   10 -140
B 709 718   10 -129
B 719 742   10 -120
B 729 754   10 -107
B 739 761   10  -95
B 749 765   10  -83
B 759 767   10  -71
B 769 769   10  -60
B 779 770   10  -50
pb end 
SSS v= 7657  t=  280 
SSS  -31    19    12   -10
%P VOLT1   = 7446
%P VOLT2   = 7657
%P S2_SC   =  1.04
%P L_ANG_MAX = 280
S 7660   -31    19    12
B   0 766  125   11
B  10 766  125   11
B  20 689  125   11
B  30 649  125   11
B  40 638  125   12
B  50 622  125   12
B  60 600  125   14
B  70 583  125   20
B  80 577  125   27
B  90 586  125   34
B 100 600  125   40
B 110 611  125   47
B 120 613  125   54
B 130 609  122   62
B 140 603  111   69
B 150 600   97   78
B 160 602   85   86
B 170 606   72   94
B 180 613   57  105
B 190 616   41  114
B 200 663   31  124
B 210 694   31  135
B 220 721   31  146
B 230 734   31  156
B 240 743   31  165
B 250 747   31  174
B 260 750   31  182
B 270 752   31  192
B 280 753   31  200
B 290 754   31  207
B 300 754   31  214
pull out 218
B 310 754 -125  220
B 320 742 -125  226
B 330 655 -125  231
B 340 644 -125  234
B 350 659 -125  238
B 360 679 -125  242
B 370 698 -125  245
B 380 703 -125  246
B 390 677 -125  246
B 400 631 -125  245
B 410 596 -125  239
B 420 581 -125  226
B 430 589 -125  213
B 440 616 -125  198
B 450 644 -125  182
B 460 667 -125  165
B 470 684 -125  147
B 480 690 -125  128
B 490 691 -125  108
B 500 690 -125   86
B 510 692 -125   64
B 520 697 -125   40
B 530 703 -125   17
B 540 710 -125   -7
push -11 -10
push out at target
B 550 716   83  -23
B 560 704   83  -34
B 570 673   83  -47
B 580 627   83  -60
B 590 634   83  -73
B 600 657   83  -88
B 610 680   83 -103
B 620 691   83 -118
B 630 662   83 -130
B 640 617   83 -136
B 650 583   41 -137
B 660 569    0 -136
B 670 661   10 -134
B 680 716   10 -123
B 690 740   10 -115
B 700 752   10 -104
B 710 759   10  -94
B 720 762   10  -83
B 730 765   10  -72
B 740 766   10  -62
B 750 767   10  -53
pb end 
SSS v= 7748  t=  280 
SSS  -34    16     9   -14
%P VOLT1   = 7387
%P VOLT2   = 7748
%P S2_SC   =  1.03
%P L_ANG_MAX = 280
S 7748   -34    16     9
B   0 774  123   10
B  10 775  123   10
B  20 775  123   10
B  30 698  123   10
B  40 654  123   10
B  50 641  123   10
B  60 627  123   10
B  70 605  123   12
B  80 587  123   18
B  90 579  123   26
B 100 587  123   33
B 110 599  123   40
B 120 611  123   48
B 130 614  123   54
B 140 611  120   62
B 150 606  108   70
B 160 603   94   79
B 170 604   82   88
B 180 609   68   97
B 190 621   52  106
B 200 634   37  117
B 210 662   30  127
B 220 684   30  138
B 230 715   30  149
B 240 733   30  160
B 250 742   30  170
B 260 747   30  179
B 270 750   30  188
B 280 752   30  197
B 290 753   30  205
B 300 755   30  213
B 310 755   30  220
pull out 220
B 320 755 -123  226
B 330 751 -123  233
B 340 656 -123  238
B 350 640 -123  241
B 360 654 -123  245
B 370 674 -123  249
B 380 694 -123  252
B 390 703 -123  253
B 400 682 -123  253
B 410 639 -123  253
B 420 601 -123  249
B 430 580 -123  236
B 440 586 -123  222
B 450 610 -123  208
B 460 639 -123  192
B 470 664 -123  174
B 480 682 -123  157
B 490 689 -123  138
B 500 691 -123  118
B 510 690 -123   97
B 520 691 -123   74
B 530 695 -123   50
B 540 702 -123   27
B 550 709 -123    2
push -10 -10
push out at target
B 560 716   82  -19
B 570 713   82  -31
B 580 692   82  -44
B 590 633   82  -58
B 600 631   82  -71
B 610 652   82  -86
B 620 676   82 -102
B 630 691   82 -116
B 640 672   82 -130
B 650 628   82 -137
B 660 591   49 -138
B 670 574    0 -138
B 680 658   10 -138
B 690 713   10 -128
B 700 738   10 -118
B 710 751   10 -109
B 720 758   10  -98
B 730 762   10  -88
B 740 765   10  -78
B 750 766   10  -68
B 760 767   10  -59
pb end 
SSS v= 7646  t=  280 
SSS  -37    16     6   -14
%P VOLT1   = 7564
%P VOLT2   = 7646
%P S2_SC   =  1.05
%P L_ANG_MAX = 280
S 7643   -37    16     6
B   0 763  125    9
B  10 762  125    9
B  20 699  125    9
B  30 647  125    9
B  40 636  125    9
B  50 625  125    9
B  60 606  125   10
B  70 586  125   17
B  80 575  125   24
B  90 581  125   31
B 100 594  125   38
B 110 606  125   46
B 120 611  125   53
B 130 610  125   61
B 140 605  113   68
B 150 601   99   77
B 160 602   85   86
B 170 606   72   94
B 180 617   57  104
B 190 632   41  114
B 200 657   31  124
B 210 683   31  134
B 220 710   31  145
B 230 727   31  156
B 240 738   31  166
B 250 744   31  176
B 260 746   31  185
B 270 749   31  193
B 280 750   31  201
B 290 751   31  209
B 300 752   31  216
pull out 218
B 310 752 -125  222
B 320 752 -125  229
B 330 751 -125  234
B 340 741 -125  241
B 350 654 -125  245
B 360 642 -125  248
