%Initializing ... 
%  batt 7.45v 7.92v 
% * pre-auton 
%    pre-initializer 
%P L_ANGM = 210
%P L_ANG1 = 60
%P L_ANG2 = 90
%P S_V    = 45
%P S_ANG1 = 10
%P S_ANG2 = 30
%P M_V    = 60
%P M_ANG1 = 40
%P M_ANG2 = 90
in loop, waiting for press
L: in lcd_mode_selection
L: t_push=    80
L: in lcd_bat_adj
L: t_push=    82
%Initializing ...
% batt1   = 7.45v
% batt2   = 7.92v
% mode    = 0   
% time    = 5868   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%Initializing ...
% batt1   = 7.45v
% batt2   = 7.92v
% mode    = 0   
% time    = 5868   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
% * usercontrol 
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
SSS vs= 1.00  t=  210
%P VOLT1   = 7446
%P VOLT2   = 7923
%P S2_SC   =  1.05
%P L_ANG_MAX = 210
B   0 763   73    0
B  10 7636   73    0
B  21 7538   73    0
B  31 7478   73    0
B  41 7491   73    0
B  52 7498   73    0
B  62 7439   73    0
B  73 7195   73    2
B  83 7168   73   10
B  94 7152   73   19
B 105 6972   73   29
B 115 6902   73   37
B 125 6907   56   46
B 135 7017   47   56
B 146 7124   38   65
B 157 7180   54   76
B 167 7214   38   86
B 178 7271   28   96
B 188 7283   36  105
B 198 7432   36  113
B 208 7436   46  121
B 218 7433   46  128
B 228 7497   52  135
*** dt = 79 , A = 141 , rpm = 116 
B 238 7455   23  142
B 250 7443   23  152
B 261 7433   23  160
B 271 7446   23  169
B 282 7478   23  177
B 292 7488   23  185
B 302 7458   23  192
B 313 7570   23  198
pull out 199
B 323 7570 -104  204
B 333 7573 -104  209
B 343 7461 -104  215
B 353 7331 -104  217
