goto reselect
L: in lcd_mode_selection
L: t_push=  4918
in loop, waiting for press
L: in lcd_mode_selection
L: t_push=    97
L: in lcd_bat_adj
L: t_push=   117
%Initializing ...
% batt1   = 8.39v
% batt2   = 8.52v
% mode    = 6   
% time    = 52037   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    3   
% Intaker =    0   
% Gryo    =   -1   
SSS vs= 0.94  t=  167
%P VOLT1   = 8392
%P VOLT2   = 8513
%P S2_SC   =  0.95
%P L_ANG_MAX = 167
B   0 844    0    0
B  10 8442   56    0
B  20 8442   56    0
B  30 8358   56    1
B  40 8332   56    1
B  50 8345   56    1
B  60 8111   56    1
B  70 8122   56    1
B  80 8166   56    1
B  90 8241   56    1
B 100 8229   56    2
B 110 8233   56    9
B 120 8079   56   16
B 130 8058   56   25
B 140 7990   56   34
B 150 8005   56   42
B 160 8021   56   49
B 170 7992   56   57
B 180 8091   56   64
B 190 8085   56   71
B 200 8080   56   78
B 210 8077   56   86
B 220 8076   56   94
B 230 8046   53  102
B 240 8014   36  110
B 250 8014   18  118
*** dt = 30 , A = 119 , rpm = 132 
B 260 8077   16  126
B 270 8130   16  135
B 280 8154   16  144
pull out 146
B 290 8165  -94  150
B 300 8348  -94  158
B 310 8353  -94  165
B 320 8167  -94  172
B 330 8131  -94  177
B 340 8173  -94  182
B 350 8119  -94  186
B 360 7675  -94  188
*** amax = 189  vhit = 100
B 370 7601  -94  188
B 380 7817  -94  188
B 390 7818  -94  182
B 400 7798  -94  169
B 410 7514  -94  153
B 420 7413  -94  136
B 430 7492  -94  118
B 440 7444  -94   99
B 450 7648  -94   79
B 460 7651  -94   58
B 470 7894  -94   35
B 480 7966  -94   11
push -10 -10
push out at target
B 490 7975   75  -13
B 500 7976   75  -24
B 510 7907   75  -36
B 520 7830   75  -51
B 530 7981   75  -63
B 540 7966   75  -78
B 550 8011   75  -92
B 560 7740   75 -106
B 570 7869   75 -118
B 580 7764   75 -124
B 590 7890   37 -124
B 600 7872    9 -124
B 610 7875    9 -119
B 620 7605    9 -106
B 630 7649    9  -91
B 640 7719    9  -79
B 650 7750    9  -66
B 660 8228    9  -50
B 670 8239    9  -35
B 680 8347    9  -21
B 690 8351    9   -6
pb end 
B 700 8353   10    7
B 710 8389   10   19
B 720 8391   10   29
B 730 8391   10   36
B 740 8391   10   40
B 750 8392   10   42
B 760 8392   10   43
B 770 8392   10   43
B 780 8394   10   43
B 790 8394   10   43
SSS vs= 0.95  t=  181
%P VOLT1   = 8333
%P VOLT2   = 8482
%P S2_SC   =  0.95
%P L_ANG_MAX = 181
B 800 8394   57   43
B 810 8395   57   42
B 820 8336   57   40
B 830 8282   57   36
B 840 8238   57   34
B 850 8207   57   33
B 860 8020   57   34
B 870 8015   57   34
B 880 8008   57   34
B 890 7971   57   38
B 900 7943   57   44
B 910 7962   57   50
B 920 7984   57   57
B 930 7959   57   62
B 940 7960   57   68
B 950 7990   57   74
B 960 7950   57   80
B 970 7948   57   87
B 980 7950   57   94
B 990 7953   57  100
B 1000 7956   57  107
B 1010 7959   57  115
B 1020 7994   32  123
B 1030 8000   19  131
*** dt = 19 , A = 134 , rpm = 132 
B 1040 8047   19  140
B 1050 8075   19  150
pull out 152
B 1060 8106  -95  158
B 1070 8153  -95  166
B 1080 8265  -95  173
B 1090 8113  -95  180
B 1100 8074  -95  186
B 1110 8092  -95  193
B 1120 8153  -95  198
B 1130 7563  -95  201
B 1140 7699  -95  202
B 1150 7584  -95  202
B 1160 7785  -95  202
*** amax = 202  vhit = 100
B 1170 7767  -95  194
B 1180 7764  -95  180
B 1190 7530  -95  164
B 1200 7394  -95  146
B 1210 7467  -95  128
B 1220 7448  -95  109
B 1230 7610  -95   89
B 1240 7609  -95   67
B 1250 7853  -95   44
B 1260 7928  -95   19
B 1270 7943  -95   -6
push -11 -10
push out at target
B 1280 7989   76  -20
B 1290 7928   76  -32
B 1300 7857   76  -46
B 1310 7878   76  -62
B 1320 7922   76  -75
B 1330 7976   76  -92
B 1340 7850   76 -109
B 1350 7645   76 -125
B 1360 7552   76 -138
B 1370 7809   76 -144
B 1380 7834   37 -146
B 1390 7815    6 -145
B 1400 7816    9 -140
B 1410 7657    9 -128
B 1420 7738    9 -114
B 1430 7672    9 -103
B 1440 8185    9  -89
B 1450 8194    9  -75
B 1460 8340    9  -62
B 1470 8346    9  -47
B 1480 8347    9  -34
pb end 
B 1490 8347   10  -20
B 1500 8347   10   -8
B 1510 8351   10    4
B 1520 8387   10   13
B 1530 8385   10   19
B 1540 8385   10   24
B 1550 8385   10   26
B 1560 8384   10   27
B 1570 8388   10   27
B 1580 8389   10   27
SSS vs= 0.95  t=  181
%P VOLT1   = 8333
%P VOLT2   = 8475
%P S2_SC   =  0.95
%P L_ANG_MAX = 181
B 1590 8389   57   27
B 1600 8388   57   27
B 1610 8389   57   27
B 1620 8388   57   27
B 1630 8322   57   26
B 1640 8252   57   26
B 1650 8217   57   26
B 1660 8197   57   26
B 1670 7972   57   26
B 1680 7933   57   26
B 1690 7934   57   26
B 1700 7941   57   29
B 1710 7996   57   34
B 1720 8011   57   39
B 1730 7916   57   45
B 1740 7952   57   50
B 1750 7942   57   55
B 1760 7969   57   60
B 1770 7970   57   66
B 1780 7972   57   70
B 1790 7976   57   76
B 1800 7943   57   82
B 1810 7945   57   88
B 1820 7946   57   94
B 1830 7912   57  101
B 1840 7913   57  108
B 1850 7952   49  115
B 1860 7957   39  122
B 1870 7962   26  131
*** dt = 18 , A = 135 , rpm = 132 
B 1880 7990   19  139
B 1890 8037   19  148
pull out 150
B 1900 8062  -95  158
B 1910 8076  -95  166
B 1920 8077  -95  172
B 1930 8007  -95  179
B 1940 8106  -95  186
B 1950 8162  -95  192
B 1960 8207  -95  195
B 1970 7703  -95  197
B 1980 7755  -95  197
B 1990 7661  -95  197
*** amax = 197  vhit = 100
B 2000 7766  -95  186
B 2010 7628  -95  170
B 2020 7687  -95  154
B 2030 7373  -95  137
B 2040 7371  -95  118
B 2050 7414  -95   98
B 2060 7640  -95   78
B 2070 7815  -95   56
B 2080 7809  -95   33
B 2090 7920  -95    9
push -12 -10
push out at target
B 2100 7935   76  -15
B 2110 7939   76  -26
B 2120 7899   76  -39
B 2130 7868   76  -54
B 2140 7833   76  -70
B 2150 7888   76  -84
B 2160 7873   76 -102
B 2170 7919   76 -118
B 2180 7696   76 -134
B 2190 7778   76 -146
B 2200 7696   76 -152
B 2210 7796   37 -152
B 2220 7822    9 -151
B 2230 7973    9 -144
B 2240 7675    9 -130
B 2250 7673    9 -116
B 2260 7705    9 -103
B 2270 8148    9  -89
B 2280 8226    9  -74
B 2290 8232    9  -60
B 2300 8340    9  -46
pb end 
B 2310 8343   10  -32
B 2320 8343   10  -18
B 2330 8344   10   -5
B 2340 8346   10    6
B 2350 8346   10   14
B 2360 8347   10   20
B 2370 8347   10   24
B 2380 8348   10   26
B 2390 8384   10   26
B 2400 8385   10   27
SSS vs= 0.95  t=  183
%P VOLT1   = 8333
%P VOLT2   = 8468
%P S2_SC   =  0.95
%P L_ANG_MAX = 183
B 2410 8387   57   28
B 2420 8385   57   28
B 2430 8385   57   28
B 2440 8332   57   28
B 2450 8275   57   27
B 2460 8233   57   27
B 2470 8201   57   27
B 2480 8042   57   27
B 2490 7962   57   27
B 2500 7960   57   28
B 2510 7929   57   34
B 2520 7941   57   40
B 2530 7955   57   46
B 2540 7904   57   51
B 2550 7913   57   56
B 2560 7911   57   61
B 2570 7905   57   66
B 2580 7935   57   72
B 2590 7932   57   78
B 2600 7934   57   84
B 2610 7904   57   90
B 2620 7908   57   96
B 2630 7943   57  103
B 2640 7948   57  110
