27 seconds shot 30
%Initializing ... 
%  batt 7.92v 8.14v 
% * pre-auton 
%    pre-initializer 
%P L_ANGM = 210
%P L_ANG1 = 50
%P L_ANG2 = 100
%P S_V    = 45
%P S_ANG1 = 10
%P S_ANG2 = 30
%P M_V    = 60
%P M_ANG1 = 40
%P M_ANG2 = 90
in loop, waiting for press
L: in lcd_mode_selection
L: t_push=    64
L: in lcd_bat_adj
L: t_push=    82
%Initializing ...
% batt1   = 7.92v
% batt2   = 8.14v
% mode    = 6   
% time    = 5607   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%Initializing ...
% batt1   = 7.92v
% batt2   = 8.14v
% mode    = 6   
% time    = 5607   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
% * usercontrol 
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
SSS vs= 1.00  t=  210
%P VOLT1   = 7919
%P VOLT2   = 8136
%P S2_SC   =  1.00
%P L_ANG_MAX = 210
B   0 800   69    0
B  10 8005   69    0
B  20 8004   69    0
B  31 7899   69    0
B  42 7860   69    0
B  52 7875   69    0
B  62 7899   69    0
B  72 7563   69    1
B  82 7567   69    5
B  92 7675   69   11
B 102 7574   69   19
B 114 7271   69   30
B 125 7267   69   40
B 136 7290   69   49
B 147 7343   52   59
B 157 7382   52   68
B 167 7508   45   77
B 178 7553   45   87
B 190 7641   45   98
B 200 7661   33  107
B 210 7670   27  116
B 221 7676   22  125
B 231 7701   21  134
B 241 7784   19  142
B 252 7833   19  151
B 262 7837   19  158
*** dt = 25 , A = 161 , rpm = 125 
B 272 7909   18  164
B 283 7912   18  171
pull out 177
B 295 7913  -99  178
B 305 7915  -99  183
B 316 7816  -99  189
B 327 7707  -99  191
B 339 7731  -99  195
B 350 7788  -99  198
B 361 7265  -99  199
B 371 7448  -99  199
*** amax = 199  vhit = 100
B 382 7356  -99  198
B 392 7436  -99  198
B 402 7407  -99  185
B 412 7389  -99  171
B 422 7195  -99  155
B 433 7144  -99  135
B 444 7147  -99  114
B 454 7188  -99   95
B 465 7280  -99   71
B 476 7450  -99   47
B 486 7443  -99   23
B 496 7520  -99    1
push -10 -10
push out at target
B 507 7520   79  -17
B 519 7421   79  -31
B 529 7429   79  -43
B 540 7523   79  -55
B 550 7152   79  -69
B 561 7190   79  -81
B 571 7359   79  -92
B 582 7352   79  -98
B 592 7280    0  -99
B 602 7423    0  -98
B 613 7465    9  -94
B 625 7139    9  -79
B 635 7188    9  -66
B 645 7424    9  -55
B 656 7861    9  -41
B 666 7870    9  -26
B 677 7871    9  -12
B 687 7911    9    2
B 697 7913    9   15
pb end 
SSS vs= 1.00  t=  210
%P VOLT1   = 7919
%P VOLT2   = 8125
%P S2_SC   =  1.00
%P L_ANG_MAX = 210
B   0 800   69    6
B  10 8001   69    6
B  20 8007   69    6
B  30 7888   69    6
B  40 7860   69    6
B  50 7877   69    6
B  60 7509   69    6
B  70 7519   69    6
B  80 7603   69    6
B  90 7665   69    8
B 100 7609   69   17
B 110 7535   69   26
B 120 7321   69   35
B 130 7352   69   44
B 140 7310   45   53
B 150 7326   45   63
B 160 7322   37   71
B 170 7491   45   82
B 180 7540   37   91
B 190 7563   24  102
B 201 7611   19  112
B 211 7808   19  120
B 221 7820   26  129
B 231 7795   20  136
B 241 7868   22  144
B 251 7866   24  151
B 261 7904   19  158
*** dt = 27 , A = 163 , rpm = 116 
B 271 7901   19  164
B 281 7907   19  170
B 291 7905   19  175
pull out 178
B 301 7908  -99  181
B 311 7901  -99  186
B 321 7702  -99  189
B 331 7722  -99  191
B 341 7764  -99  195
B 351 7774  -99  197
B 361 7416  -99  198
B 371 7396  -99  198
*** amax = 198  vhit = 100
B 381 7434  -99  197
B 391 7456  -99  197
B 401 7401  -99  185
B 411 7363  -99  169
B 421 7064  -99  153
B 431 7139  -99  135
B 441 7101  -99  117
B 451 7218  -99   97
B 461 7237  -99   77
B 471 7341  -99   55
B 481 7514  -99   31
B 491 7513  -99    7
push -10 -10
push out at target
B 501 7523   79  -11
B 511 7544   79  -22
B 521 7492   79  -35
B 531 7418   79  -50
B 541 7421   79  -65
B 551 7474   79  -79
B 561 7459   79  -96
B 571 7283   79 -111
B 581 7231   79 -126
B 591 7297   79 -135
B 601 7406   64 -137
B 611 7378    6 -137
B 621 7452    9 -137
B 631 7137    9 -126
B 641 7200    9 -113
B 651 7198    9 -102
B 661 7816    9  -89
B 671 7826    9  -77
B 681 7868    9  -63
B 691 7905    9  -50
B 701 7908    9  -39
pb end 
B 711 7909    0  -26
B 721 7913    0  -15
B 731 7915    0   -5
B 741 7916    0    3
B 751 7916    0    9
B 761 7919    0   13
