%Initializing ... 
%  batt 7.86v 8.09v 
% * pre-auton 
%    pre-initializer 
%P L_ANGM = 210
%P L_ANG1 = 50
%P L_ANG2 = 100
%P S_V    = 45
%P S_ANG1 = 10
%P S_ANG2 = 30
%P M_V    = 60
%P M_ANG1 = 40
%P M_ANG2 = 90
in loop, waiting for press
L: in lcd_mode_selection
L: t_push=   112
L: in lcd_bat_adj
L: t_push=   113
%Initializing ...
% batt1   = 7.86v
% batt2   = 8.10v
% mode    = 6   
% time    = 6061   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%Initializing ...
% batt1   = 7.86v
% batt2   = 8.10v
% mode    = 6   
% time    = 6062   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
% * usercontrol 
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
SSS vs= 1.00  t=  210
%P VOLT1   = 7860
%P VOLT2   = 8097
%P S2_SC   =  1.01
%P L_ANG_MAX = 210
B   0 795   70    0
B  10 7954   70    0
B  20 7914   70    0
B  30 7815   70    0
B  40 7815   70    0
B  51 7841   70    0
B  62 7471   70    0
B  73 7574   70    0
B  84 7523   70    3
B  94 7567   70    9
B 105 7555   70   18
B 115 7543   70   28
B 126 7422   70   40
B 137 7323   22   51
B 148 7279   22   62
B 158 7286   29   72
B 168 7369   29   81
B 179 7564   38   93
B 190 7561   25  104
B 200 7571   20  113
B 211 7808   20  122
B 221 7815   25  129
B 231 7749   35  138
B 241 7854   22  145
B 251 7854   20  152
B 261 7857   25  160
*** dt = 24 , A = 162 , rpm = 124 
B 271 7858   20  166
B 281 7861   20  172
pull out 176
B 291 7861 -100  177
B 301 7863 -100  182
B 311 7728 -100  187
B 321 7645 -100  189
B 331 7661 -100  192
B 343 7716 -100  196
B 354 7754 -100  197
B 365 7364 -100  198
*** amax = 198  vhit = 100
B 376 7404 -100  197
B 388 7410 -100  197
B 399 7360 -100  183
B 409 7332 -100  167
B 419 7040 -100  150
B 430 7110 -100  132
B 440 7033 -100  113
B 450 7177 -100   94
B 460 7188 -100   72
B 471 7291 -100   50
B 482 7465 -100   23
B 493 7469 -100   -1
push -10 -10
push out at target
B 503 7472   80  -16
B 513 7448   80  -26
B 524 7411   80  -42
B 535 7376   80  -58
B 545 7427   80  -72
B 556 7411   80  -88
B 566 7453   80 -104
B 577 7229   80 -118
B 587 7258   80 -127
B 598 7360   64 -129
B 609 7326    5 -129
B 619 7310   10 -125
B 629 6935   10 -113
B 640 7082   10  -97
B 650 7153   10  -85
B 661 7365   10  -70
B 671 7378   10  -55
B 681 7740   10  -40
B 692 7819   10  -25
B 704 7822   10   -7
pb end 
SSS vs= 1.01  t=  210
%P VOLT1   = 7801
%P VOLT2   = 8094
%P S2_SC   =  1.01
%P L_ANG_MAX = 210
B   0 791    0    4
B  10 7916   91    4
B  20 7913   91    4
B  30 7725   91    4
B  40 7695   91    4
B  50 7723   91    4
B  60 7665   91    4
B  70 7609   91    8
B  80 7237   91   16
B  90 7208   91   26
B 100 7197   91   38
B 110 6952   91   50
B 120 6898   26   61
B 130 6964   26   73
B 140 7103   26   85
B 150 7261   26   98
B 160 7285   26  110
B 171 7652   26  121
B 181 7766   26  132
B 191 7768   26  143
B 201 7773   26  153
B 211 7809   26  163
*** dt = 6 , A = 164 , rpm = 166 
pull out 169
B 221 7812 -101  172
B 231 7815 -101  180
B 241 7690 -101  188
B 251 7543 -101  196
B 261 7556 -101  203
B 271 7612 -101  208
B 281 7667 -101  212
B 291 7110 -101  215
B 301 7238 -101  216
B 311 7126 -101  216
*** amax = 216  vhit = 100
B 321 7284 -101  212
B 331 7233 -101  200
B 341 7259 -101  186
B 351 6935 -101  170
B 361 6862 -101  153
B 371 6917 -101  134
B 381 7050 -101  116
B 391 7236 -101   96
B 401 7235 -101   74
B 411 7413 -101   52
B 421 7418 -101   27
B 431 7436 -101    4
push -10 -10
push out at target
B 441 7486   80  -13
B 451 7468   80  -24
B 461 7406   80  -37
B 471 7390   80  -53
B 481 7384   80  -69
