L: in lcd_mode_selection
L: t_push=    98
L: in lcd_bat_adj
L: t_push=    81
%Initializing ...
% batt1   = 8.27v
% batt2   = 8.25v
% mode    = 6   
% time    = 22146   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%Initializing ...
% batt1   = 8.27v
% batt2   = 8.26v
% mode    = 6   
% time    = 22146   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
% * usercontrol 
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
SSS vs= 1.00  t=  210
%P VOLT1   = 8274
%P VOLT2   = 8248
%P S2_SC   =  0.97
%P L_ANG_MAX = 210
B   0 826   67    1
B  10 8263   67    1
B  20 8260   67    1
B  32 8157   67    1
B  43 8123   67    1
B  53 8140   67    1
B  65 7812   67    1
B  76 7820   67    1
B  87 7926   67    1
B  98 7947   67    5
B 110 7916   67   14
B 120 7893   67   23
B 130 7804   67   33
B 141 7731   67   45
B 151 7765   21   55
B 161 7641   21   64
B 171 7662   36   75
B 182 7727   29   87
B 193 7899   19   98
B 203 7981   19  108
B 215 8167   19  118
B 226 8169   19  127
B 237 8172   23  137
B 248 8167   19  145
B 258 8159   19  153
B 269 8169   19  160
*** dt = 29 , A = 161 , rpm = 118 
B 279 8173   19  167
B 290 8141   19  173
pull out 178
B 301 8141  -96  178
B 312 8210  -96  185
B 322 7974  -96  189
B 332 7939  -96  190
B 342 7978  -96  192
B 353 7616  -96  194
B 365 7702  -96  195
B 376 7689  -96  195
*** amax = 195  vhit = 100
B 387 7672  -96  194
B 397 7695  -96  190
B 407 7645  -96  177
B 418 7631  -96  161
B 428 7349  -96  143
B 438 7426  -96  125
B 448 7382  -96  106
B 458 7528  -96   85
B 470 7644  -96   61
B 480 7631  -96   38
B 490 7776  -96   15
B 500 7780  -96   -9
push -11 -10
push out at target
