chage initial rpm target to 150
%Initializing ... 
%  batt 8.27v 8.31v 
% * pre-auton 
%    pre-initializer 
%P L_ANGM = 210
%P L_ANG1 = 50
%P L_ANG2 = 100
%P S_V    = 45
%P S_ANG1 = 10
%P S_ANG2 = 30
%P M_V    = 60
%P M_ANG1 = 40
%P M_ANG2 = 90
in loop, waiting for press
L: in lcd_mode_selection
L: t_push=    66
L: in lcd_bat_adj
L: t_push=    81
%Initializing ...
% batt1   = 8.21v
% batt2   = 8.31v
% mode    = 0   
% time    = 53346   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%Initializing ...
% batt1   = 8.21v
% batt2   = 8.31v
% mode    = 0   
% time    = 53346   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
% * usercontrol 
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
SSS vs= 1.00  t=  210
%P VOLT1   = 8214
%P VOLT2   = 8307
%P S2_SC   =  0.97
%P L_ANG_MAX = 210
B   0 825   67    0
B  10 8251   67    0
B  20 8213   67    0
B  31 8118   67    0
B  41 8121   67    0
B  51 8142   67    0
B  61 8156   67    0
B  71 7888   67    0
B  81 7927   67    1
B  91 7897   67    7
B 101 7779   67   15
B 111 7628   67   23
B 122 7599   67   32
B 132 7483   67   41
B 142 7529   67   49
B 152 7545   43   57
B 162 7696   43   66
B 172 7801   43   75
B 182 7825   43   84
B 192 7801   43   93
B 202 7811   38  102
B 212 7818   38  110
B 223 7964   38  118
B 233 7966   38  127
B 243 7974   38  135
B 254 8012   38  143
B 265 8049   38  151
B 275 8049   38  160
*** dt = 40 , A = 161 , rpm = 134 
B 285 8050   19  168
B 296 8089   19  176
B 307 8058   19  184
pull out 191
B 318 8074  -96  192
B 328 8118  -96  199
B 338 8121  -96  205
B 348 7978  -96  210
B 359 7953  -96  214
B 369 7944  -96  219
B 380 8002  -96  223
B 391 8040  -96  224
B 402 7583  -96  225
B 413 7625  -96  225
*** amax = 225  vhit = 93
B 425 7657  -90  219
B 435 7632  -90  206
B 445 7552  -90  191
B 455 7189  -90  175
B 465 7266  -90  155
B 475 7251  -90  136
B 486 7470  -90  115
B 497 7475  -90   90
B 507 7612  -90   68
B 517 7757  -90   42
B 528 7767  -90   16
push -13 -10
push out at target
B 539 7783   77  -13
B 550 7788   77  -27
B 560 7810   77  -40
B 570 7712   77  -55
B 580 7784   77  -67
B 590 7803   77  -81
B 600 7848   77  -96
B 610 7509   77 -110
B 621 7602   77 -122
B 631 7498   77 -127
B 641 7661   30 -127
B 651 7649    9 -127
B 661 7796    9 -120
B 671 7485    9 -106
B 681 7431    9  -93
B 691 7457    9  -81
B 701 8002    9  -67
B 711 8114    9  -52
B 721 8119    9  -38
B 731 8155    9  -23
B 741 8159    9   -9
pb end 
SSS vs= 0.97  t=  194
%P VOLT1   = 8155
%P VOLT2   = 8297
%P S2_SC   =  0.97
%P L_ANG_MAX = 194
B   0 821   68   -2
B  11 8248   68   -2
B  21 8247   68   -2
B  31 8103   68   -2
B  41 8069   68   -2
B  51 8083   68   -1
B  61 8142   68   -1
B  72 7773   68   -1
B  82 7781   68   -1
B  92 7950   68    1
B 102 7867   68    9
B 112 7806   68   17
B 122 7564   68   27
B 132 7483   68   35
B 142 7494   68   45
B 152 7546   43   54
B 162 7661   43   63
B 172 7694   43   72
B 182 7776   43   83
B 192 7830   43   92
B 202 7841   38  102
B 212 7991   38  111
B 222 7963   38  120
B 232 7973   38  129
B 242 8011   38  137
*** dt = 38 , A = 145 , rpm = 140 
B 252 8014   19  146
B 263 8014   19  155
B 273 8050   19  163
B 284 8101   19  171
pull out 176
B 294 8077  -97  180
B 305 8083  -97  188
B 316 8001  -97  195
B 326 7910  -97  199
B 337 7930  -97  205
B 348 7983  -97  210
B 359 7431  -97  213
B 371 7612  -97  214
B 381 7482  -97  214
B 392 7626  -97  214
*** amax = 214  vhit = 90
B 402 7582  -87  201
B 413 7601  -87  184
B 423 7315  -87  167
B 434 7215  -87  149
B 444 7278  -87  130
B 454 7316  -87  111
B 464 7464  -87   88
B 476 7671  -87   63
B 486 7671  -87   39
B 496 7752  -87   15
push -10 -10
push out at target
B 506 7770   77  -11
B 516 7779   77  -26
B 527 7746   77  -39
B 538 7675   77  -55
B 548 7709   77  -69
B 559 7833   77  -84
B 570 7351   77 -101
B 581 7495   77 -117
B 591 7398   77 -127
B 601 7594   71 -132
B 611 7652   30 -132
B 621 7697    9 -132
B 631 7575    9 -123
B 641 7413    9 -109
B 651 7465    9  -97
B 661 7914    9  -83
B 671 7998    9  -69
B 681 8008    9  -54
B 691 8117    9  -41
B 701 8118    9  -25
pb end 
SSS vs= 0.97  t=  186
%P VOLT1   = 8155
%P VOLT2   = 8290
%P S2_SC   =  0.97
%P L_ANG_MAX = 186
B   0 820   68   -1
B  10 8209   68   -1
B  20 8209   68   -1
B  30 8134   68   -1
B  40 8067   68   -1
B  50 8073   68    0
B  60 8097   68    0
B  70 7763   68    0
B  80 7777   68    0
B  90 7922   68    1
B 100 7857   68    8
B 110 7808   68   16
B 120 7619   68   25
B 130 7523   68   34
B 142 7488   68   44
B 152 7498   43   53
B 162 7610   43   63
B 172 7669   43   71
B 182 7728   43   82
B 192 7786   43   91
B 202 7763   43  101
B 212 7774   38  110
B 222 7959   38  119
B 232 7966   38  127
B 242 7973   38  136
*** dt = 38 , A = 137 , rpm = 140 
B 252 8009   19  144
B 262 8053   19  153
B 272 8070   19  162
pull out 169
B 282 8074  -97  170
B 292 8078  -97  177
B 302 8081  -97  183
B 313 8154  -97  191
B 323 7946  -97  195
B 333 7904  -97  200
B 344 7946  -97  205
B 354 7607  -97  208
B 364 7648  -97  210
B 374 7649  -97  210
B 384 7663  -97  210
B 394 7562  -97  210
*** amax = 210  vhit = 88
B 404 7592  -85  197
B 414 7437  -85  182
B 424 7496  -85  166
B 434 7210  -85  149
B 445 7240  -85  128
B 455 7281  -85  108
B 465 7542  -85   87
B 475 7649  -85   66
B 485 7651  -85   42
B 496 7766  -85   15
push -13 -10
push out at target
B 507 7776   77  -13
B 517 7781   77  -25
B 527 7752   77  -37
B 537 7692   77  -51
B 547 7732   77  -66
B 557 7778   77  -80
B 568 7762   77  -97
B 578 7578   77 -110
B 588 7522   77 -123
B 598 7559   77 -131
B 608 7668   54 -133
B 618 7637    6 -133
B 628 7611    9 -129
B 638 7280    9 -115
B 648 7399    9 -101
B 658 7455    9  -90
B 668 7769    9  -74
B 679 7785    9  -57
B 689 8074    9  -43
B 699 8113    9  -29
B 709 8117    9  -13
pb end 
SSS vs= 0.97  t=  186
%P VOLT1   = 8214
%P VOLT2   = 8293
%P S2_SC   =  0.97
%P L_ANG_MAX = 186
B   0 824   67   -3
B  11 8209   67   -3
B  21 8210   67   -3
