goto reselect
L: in lcd_mode_selection
L: t_push=  3554
in loop, waiting for press
L: in lcd_mode_selection
L: t_push=    50
L: in lcd_bat_adj
L: t_push=    85
%Initializing ...
% batt1   = 7.92v
% batt2   = 8.25v
% mode    = 6   
% time    = 165925   
% Wheel_L =    0   
% Wheel_R =   -6   
% Bat     =    0   
% Intaker =    0   
% Gryo    =   -1   
SSS vs= 0.99  t=  186
%P VOLT1   = 7919
%P VOLT2   = 8258
%P S2_SC   =  0.99
%P L_ANG_MAX = 186
B   0 805    0    0
B  11 8054   59    0
B  21 8054   59    0
B  31 8036   59    0
B  41 7947   59    0
B  51 7945   59    0
B  61 7959   59    0
B  71 7688   59    0
B  81 7680   59    0
B  91 7725   59    4
B 101 7696   59   10
B 111 7676   59   18
B 121 7597   59   25
B 131 7530   59   33
B 141 7540   59   41
B 151 7584   59   49
B 161 7659   57   57
B 171 7662   57   66
B 181 7665   49   74
B 191 7704   49   84
B 201 7725   40   93
B 211 7701   32  102
B 221 7707   28  112
B 231 7721   19  121
B 241 7815   19  131
*** dt = 8 , A = 140 , rpm = 157 
B 251 7833   19  140
pull out 147
B 261 7845  -99  149
B 271 7887  -99  157
B 281 7965  -99  164
B 291 7746  -99  171
B 301 7748  -99  178
B 311 7785  -99  184
B 321 7840  -99  190
B 331 7201  -99  193
B 341 7466  -99  195
B 351 7331  -99  195
B 361 7391  -99  195
*** amax = 195  vhit = 100
B 371 7353  -99  186
B 381 7361  -99  171
B 391 7244  -99  156
B 401 6998  -99  139
B 411 7064  -99  121
B 421 7107  -99  103
B 431 7405  -99   83
B 441 7403  -99   61
B 451 7505  -99   38
B 461 7580  -99   16
B 471 7593  -99   -8
push -11 -10
push out at target
B 481 7606   79  -25
B 491 7593   79  -36
B 501 7523   79  -50
B 511 7512   79  -64
B 521 7561   79  -77
B 531 7614   79  -92
B 541 7549   79 -108
B 551 7502   79 -122
B 561 7399   79 -132
B 571 7421   72 -136
B 581 7481   22 -136
B 591 7524    9 -136
B 601 7542    9 -127
B 611 7270    9 -113
B 621 7315    9 -102
B 631 7302    9  -88
B 641 7917    9  -73
B 651 7920    9  -60
B 661 7960    9  -45
B 671 7964    9  -32
pb end 
B 681 7964   10  -18
B 691 8002   10   -5
B 701 8004   10    6
B 711 8006   10   15
B 721 8004   10   20
B 731 8005   10   25
B 741 8004   10   28
B 751 8006   10   30
B 761 8006   10   31
B 771 8006   10   31
SSS vs= 0.99  t=  205
%P VOLT1   = 7860
%P VOLT2   = 8227
%P S2_SC   =  1.00
%P L_ANG_MAX = 205
B 781 8006   59   34
B 791 8008   59   34
B 801 8004   59   34
B 811 7945   59   34
B 821 7885   59   34
B 831 7841   59   34
B 841 7815   59   34
B 851 7692   59   34
B 861 7682   59   36
B 871 7651   59   41
B 881 7626   59   46
B 891 7638   59   52
B 901 7583   59   59
B 911 7597   59   66
B 921 7608   59   73
B 931 7543   59   80
B 941 7577   59   88
B 951 7576   59   96
B 961 7608   55  105
B 971 7617   39  114
B 981 7628   20  124
B 991 7694   19  134
B 1001 7719   19  144
B 1011 7749   19  154
*** dt = 8 , A = 157 , rpm = 166 
pull out 164
B 1021 7765    9  164
B 1031 7914    9  172
B 1041 7917    9  180
B 1051 7958    9  188
B 1061 7965    9  196
B 1071 7967    9  203
B 1081 8004    9  208
B 1091 8005    9  214
B 1101 8005    9  218
B 1111 8004    9  222
B 1121 8006    9  226
B 1131 8008    9  228
B 1141 8006    9  230
B 1151 8006    9  232
B 1161 8008    9  232
B 1171 8008    9  233
B 1181 8008    9  234
B 1191 8009  -99  234
B 1201 8043  -99  234
B 1211 8010  -99  234
B 1221 7940  -99  234
B 1231 7831  -99  234
B 1241 7798  -99  234
B 1251 7834  -99  234
*** amax = 234  vhit = 100
B 1261 7913  -99  230
B 1271 7555  -99  224
B 1281 7569  -99  218
B 1291 7676  -99  210
B 1301 7673  -99  199
B 1311 7576  -99  185
B 1321 7539  -99  168
B 1331 7356  -99  149
B 1341 7417  -99  129
B 1351 7371  -99  109
B 1361 7388  -99   88
B 1371 7411  -99   66
B 1381 7489  -99   42
B 1391 7629  -99   18
B 1401 7625  -99   -6
push -12 -10
push out at target
B 1411 7659   79  -23
B 1421 7588   79  -33
B 1431 7536   79  -44
B 1441 7584   79  -52
B 1451 7429   79  -64
B 1461 7474   79  -76
B 1471 7286   79  -86
B 1481 7538   79  -94
B 1491 7434   55  -98
B 1501 7474   22  -98
B 1511 7521    9  -98
B 1521 7641    9  -90
B 1531 7532    9  -77
B 1541 7499    9  -67
B 1551 7515    9  -53
B 1561 7881    9  -40
B 1571 7955    9  -26
B 1581 7958    9  -12
B 1591 7960    9    2
B 1601 7998    9   14
pb end 
B 1611 7999   10   24
B 1621 8002   10   34
B 1631 8001   10   40
B 1641 8004   10   45
B 1651 8002   10   48
B 1661 8004   10   50
B 1671 8004   10   51
B 1681 8004   10   51
B 1691 8004   10   51
SSS vs= 1.00  t=  205
%P VOLT1   = 7860
%P VOLT2   = 8223
%P S2_SC   =  1.00
%P L_ANG_MAX = 205
B 1701 8004   10   51
B 1711 8004   59   51
B 1721 8005   59   51
B 1731 7921   59   51
B 1741 7875   59   51
B 1751 7851   59   51
B 1761 7820   59   51
B 1771 7609   59   51
B 1781 7633   59   51
B 1791 7635   59   51
B 1801 7642   59   52
B 1811 7581   59   59
B 1821 7605   59   66
B 1831 7592   59   73
B 1841 7536   59   80
B 1851 7543   59   88
B 1861 7543   59   96
B 1871 7611   55  105
B 1881 7611   38  114
B 1891 7620   20  124
B 1901 7663   19  134
B 1911 7712   19  144
B 1921 7705   19  154
*** dt = 8 , A = 157 , rpm = 166 
B 1931 7760   18  164
pull out 166
B 1941 7767  -99  172
B 1951 7914  -99  180
B 1961 7813  -99  189
B 1971 7697  -99  196
B 1981 7713  -99  204
B 1991 7695  -99  210
B 2001 7746  -99  214
B 2011 7268  -99  216
B 2021 7475  -99  216
B 2031 7372  -99  216
*** amax = 216  vhit = 100
B 2041 7433  -99  209
B 2051 7140  -99  196
B 2061 7184  -99  181
B 2071 7044  -99  164
B 2081 7042  -99  147
B 2091 7089  -99  129
B 2101 7219  -99  109
B 2111 7471  -99   88
B 2121 7464  -99   66
B 2131 7569  -99   44
B 2141 7582  -99   20
B 2151 7601  -99   -5
push -12 -10
push out at target
B 2161 7618   79  -24
B 2171 7639   79  -35
B 2181 7512   79  -48
B 2191 7526   79  -60
B 2201 7578   79  -72
B 2211 7630   79  -85
B 2221 7201   79  -98
B 2231 7481   79 -110
B 2241 7375   79 -118
B 2251 7408   55 -120
B 2261 7450    6 -120
B 2271 7525    9 -120
B 2281 7410    9 -108
B 2291 7248    9  -93
B 2301 7299    9  -80
B 2311 7642    9  -68
B 2321 7906    9  -53
B 2331 7912    9  -38
B 2341 7950    9  -24
B 2351 7955    9   -9
pb end 
B 2361 7955   10    4
B 2371 7957   10   17
B 2381 7960   10   28
B 2391 7960   10   35
B 2401 7996   10   40
B 2411 7998   10   44
B 2421 7998   10   46
B 2431 7999   10   47
B 2441 7999   10   48
B 2451 7999   10   48
SSS vs= 1.00  t=  205
%P VOLT1   = 7860
%P VOLT2   = 8209
%P S2_SC   =  1.00
%P L_ANG_MAX = 205
B 2461 7999   60   48
B 2471 7999   60   48
B 2481 7973   60   48
B 2491 7903   60   48
B 2501 7872   60   48
B 2511 7846   60   48
B 2521 7670   60   48
B 2531 7613   60   48
B 2541 7601   60   49
B 2551 7567   60   55
B 2561 7583   60   61
B 2571 7597   60   68
B 2581 7510   60   75
B 2591 7559   60   83
B 2601 7565   60   91
B 2611 7529   58   99
B 2621 7565   54  108
B 2631 7573   36  117
B 2641 7658   20  127
B 2651 7678   20  137
B 2661 7705   20  147
B 2671 7755   20  156
*** dt = 10 , A = 157 , rpm = 157 
B 2681 7905   19  164
pull out 164
B 2691 7909 -100  172
B 2701 7949 -100  181
B 2711 7950 -100  188
B 2721 7735 -100  195
B 2731 7690 -100  202
B 2741 7730 -100  207
B 2751 7781 -100  211
B 2761 7325 -100  214
B 2771 7466 -100  214
B 2781 7343 -100  214
B 2791 7429 -100  214
*** amax = 214  vhit = 100
B 2801 7319 -100  201
B 2811 7330 -100  187
B 2821 7034 -100  171
B 2831 7001 -100  154
B 2841 7061 -100  136
B 2851 7246 -100  117
B 2861 7405 -100   96
B 2871 7405 -100   75
B 2881 7541 -100   52
B 2891 7543 -100   28
B 2901 7556 -100    4
push -10 -10
push out at target
B 2911 7607   80  -19
B 2921 7610   80  -30
B 2931 7538   80  -42
B 2941 7504   80  -56
B 2951 7619   80  -66
B 2961 7673   80  -80
B 2971 7183   80  -94
B 2981 7404   80 -108
B 2991 7308   80 -118
B 3001 7456   73 -122
B 3011 7437   23 -122
B 3021 7485   10 -122
B 3031 7354   10 -116
B 3041 7259   10 -102
B 3051 7302   10  -92
B 3061 7822   10  -80
B 3071 7867   10  -66
B 3081 7873   10  -53
B 3091 7913   10  -40
B 3101 7950   10  -26
pb end 
B 3111 7953   10  -12
B 3121 7954   10    0
B 3131 7957   10   11
B 3141 7957   10   20
B 3151 7958   10   26
B 3161 7995   10   31
B 3171 7995   10   34
B 3181 7994   10   36
B 3191 7998   10   37
B 3201 7995   10   38
SSS vs= 1.00  t=  200
%P VOLT1   = 7860
%P VOLT2   = 8202
%P S2_SC   =  1.00
%P L_ANG_MAX = 200
B 3211 7995   60   38
B 3221 7996   60   39
B 3231 7996   60   39
B 3241 7939   60   39
B 3251 7889   60   39
B 3261 7862   60   39
B 3271 7826   60   39
B 3281 7654   60   39
