started at 146 ended on 224

%Initializing ... 
%  batt 8.39v 8.33v 
% * pre-auton 
%    pre-initializer 
%P L_ANGM = 210
%P L_ANG1 = 50
%P L_ANG2 = 100
%P S_V    = 45
%P S_ANG1 = 10
%P S_ANG2 = 30
%P M_V    = 60
%P M_ANG1 = 40
%P M_ANG2 = 90
in loop, waiting for press
L: in lcd_mode_selection
L: t_push=    89
L: in lcd_bat_adj
L: t_push=    70
%Initializing ...
% batt1   = 8.39v
% batt2   = 8.33v
% mode    = 0   
% time    = 11020   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%Initializing ...
% batt1   = 8.39v
% batt2   = 8.33v
% mode    = 0   
% time    = 11021   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
% * usercontrol 
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
SSS vs= 1.00  t=  114
%P VOLT1   = 8392
%P VOLT2   = 8328
%P S2_SC   =  0.96
%P L_ANG_MAX = 114
B   0 836   57    0
B  11 8365   57    0
B  21 8366   57    0
B  31 8290   57    0
B  42 8256   57    0
B  53 8270   57    0
B  64 8286   57    0
B  74 8045   57    0
B  86 8161   57    0
B  96 8155   57    1
B 107 8082   57    9
B 117 7856   57   17
B 128 7841   57   25
B 138 7874   57   31
B 148 7847   57   39
B 160 7927   57   47
B 170 7927   57   54
B 181 8032   57   61
B 192 7998   57   69
B 202 8001   57   77
B 213 8001   57   85
B 223 7933   57   94
B 233 7933   53  101
*** dt = 0 , A = 101 , rpm = 132 
pull out 102
B 244 7959  -95  110
B 255 8009  -95  120
B 265 7888  -95  129
B 275 7830  -95  134
B 286 8045  -95  143
B 297 7472  -95  150
B 308 7509  -95  156
B 319 7648  -95  159
B 329 7819  -95  159
B 341 7776  -95  159
*** amax = 159  vhit = 100
B 352 7751  -95  145
B 362 7392  -95  129
B 373 7263  -95  111
B 383 7337  -95   94
B 393 7401  -95   74
B 403 7570  -95   55
B 413 7577  -95   33
B 424 7823  -95    9
push -13 -10
push out at target
B 434 7891   76  -14
B 445 7895   76  -31
B 455 7867   76  -41
B 465 7783   76  -55
B 475 7855   76  -68
B 486 7915   76  -82
B 496 7861   76  -97
B 507 7880   76 -112
B 518 7796   76 -124
B 528 7752   76 -129
B 538 7842   30 -129
B 548 7848    9 -129
B 558 7908    9 -124
B 569 7643    9 -111
B 580 7669    9  -96
B 590 7688    9  -85
B 600 8160    9  -72
B 610 8310    9  -57
B 621 8313    9  -43
B 631 8314    9  -29
pb end 
SSS vs= 0.96  t=  122
%P VOLT1   = 8392
%P VOLT2   = 8321
%P S2_SC   =  0.96
%P L_ANG_MAX = 122
B   0 836   57    0
B  11 8366   57    0
B  21 8272   57    0
B  31 8260   57    0
B  41 8272   57    1
B  51 8000   57    1
B  61 8012   57    1
B  71 8087   57    1
B  81 8161   57    1
B  91 8144   57    1
B 101 8065   57    8
B 111 7920   57   16
B 122 7905   57   24
B 132 7875   57   32
B 142 7852   57   39
B 152 7861   57   45
B 163 7935   57   53
B 174 8003   57   61
B 185 7999   57   69
B 196 7999   57   77
B 207 7999   57   87
B 217 7929   52   94
*** dt = 0 , A = 102 , rpm = 133 
pull out 102
B 227 7931  -95  102
B 238 7982  -95  111
B 249 7895  -95  121
B 259 7802  -95  129
B 269 7830  -95  135
B 279 7929  -95  144
B 289 7597  -95  151
B 299 7616  -95  156
B 309 7704  -95  159
*** amax = 159  vhit = 100
B 319 7812  -95  158
B 329 7746  -95  158
B 339 7717  -95  147
B 351 7351  -95  130
B 361 7417  -95  114
B 371 7285  -95   97
B 382 7392  -95   76
B 392 7430  -95   56
B 402 7615  -95   33
B 412 7862  -95   11
B 424 7893  -95  -15
push -15 -10
push out at target
B 434 7892   76  -30
B 444 7867   76  -41
B 455 7784   76  -55
B 465 7831   76  -68
B 476 7925   76  -83
B 487 7582   76  -98
B 497 7589   76 -112
B 507 7782   76 -123
B 517 7755   76 -127
B 527 7842   22 -127
B 537 7893    9 -127
B 548 7872    9 -120
B 559 7605    9 -105
B 570 7641    9  -94
B 580 7906    9  -80
B 591 8269    9  -67
B 601 8274    9  -52
B 612 8313    9  -39
B 622 8313    9  -24
pb end 
SSS vs= 0.96  t=  130
%P VOLT1   = 8392
%P VOLT2   = 8321
%P S2_SC   =  0.96
%P L_ANG_MAX = 130
B   0 836   57    1
B  11 8363   57    1
B  22 8362   57    1
B  33 8271   57    1
B  43 8257   57    1
B  55 8272   57    1
B  65 8284   57    1
B  75 8080   57    1
B  85 8124   57    2
B  95 8120   57    2
B 105 8100   57    3
B 115 8023   57   10
B 125 7985   57   19
B 135 7827   57   27
B 146 7872   57   35
B 156 7888   57   43
B 166 7866   57   50
B 176 7978   57   57
B 186 7975   57   65
B 196 8009   57   73
B 206 8006   55   81
B 217 8008   55   90
B 227 7976   54   99
*** dt = 0 , A = 101 , rpm = 142 
pull out 101
B 237 7947  -95  108
B 247 7795  -95  117
B 257 7800  -95  123
B 267 7849  -95  131
B 277 7916  -95  139
B 287 7434  -95  145
B 297 7661  -95  150
B 307 7533  -95  151
B 317 7733  -95  151
*** amax = 151  vhit = 100
B 327 7723  -95  149
B 337 7704  -95  137
B 347 7482  -95  121
B 357 7172  -95  105
B 367 7254  -95   88
B 377 7358  -95   69
B 387 7644  -95   50
B 397 7651  -95   27
B 408 7783  -95    5
push -12 -10
push out at target
B 419 7882   76  -21
B 430 7841   76  -34
B 441 7788   76  -47
B 452 7789   76  -61
B 462 7840   76  -72
B 472 7902   76  -88
B 483 7589   76 -103
B 493 7781   76 -116
B 503 7687   76 -125
B 513 7809   61 -128
B 524 7835   13 -128
B 535 7665    9 -128
B 545 7775    9 -117
B 555 7692    9 -104
B 566 8214    9  -92
B 576 8227    9  -79
B 587 8269    9  -66
B 597 8273    9  -52
B 608 8276    9  -39
B 618 8308    9  -26
pb end 
SSS vs= 0.96  t=  146
%P VOLT1   = 8392
%P VOLT2   = 8314
%P S2_SC   =  0.96
%P L_ANG_MAX = 146
B   0 836   57    2
B  10 8362   57    2
B  20 8295   57    2
B  31 8219   57    2
B  41 8264   57    2
B  52 7993   57    2
B  62 8005   57    2
B  73 8089   57    3
B  83 8164   57    3
B  93 8147   57    3
B 103 8027   57   10
B 114 7879   57   19
B 125 7866   57   27
B 135 7838   57   35
B 145 7818   57   42
B 155 7829   57   50
B 165 7935   57   57
B 176 8006   57   65
B 188 8003   57   75
B 198 8003   57   83
B 209 7970   52   92
B 219 7944   54  101
*** dt = 11 , A = 102 , rpm = 142 
B 229 7955   28  109
pull out 112
B 240 7988  -95  119
B 251 7913  -95  129
B 263 7786  -95  139
B 273 7820  -95  147
B 283 7914  -95  155
B 294 7557  -95  163
B 305 7566  -95  169
B 316 7615  -95  169
*** amax = 170  vhit = 100
B 327 7769  -95  169
B 337 7723  -95  168
B 347 7712  -95  153
B 357 7238  -95  138
B 367 7199  -95  122
B 377 7287  -95  105
B 387 7389  -95   86
B 398 7610  -95   65
B 408 7617  -95   44
B 418 7824  -95   21
B 428 7891  -95   -3
push -11 -10
push out at target
B 438 7896   76  -24
B 448 7843   76  -35
B 458 7736   76  -47
B 468 7776   76  -57
B 478 7902   76  -67
B 488 7461   76  -81
B 498 7490   76  -92
B 508 7803   76 -103
B 518 7804   76 -108
B 529 7724   30 -109
B 539 7878    0 -108
B 549 7929    9 -104
B 559 8001    9  -93
B 569 7674    9  -84
B 579 8186    9  -71
B 589 8195    9  -60
B 600 8272    9  -47
B 610 8274    9  -34
B 622 8310    9  -20
B 632 8313    9   -8
pb end 
goto reselect
L: in lcd_mode_selection
L: t_push=  2852
in loop, waiting for press
L: in lcd_mode_selection
L: t_push=   117
L: in lcd_bat_adj
L: t_push=    98
%Initializing ...
% batt1   = 8.33v
% batt2   = 8.31v
% mode    = 6   
% time    = 76150   
% Wheel_L =    0   
% Wheel_R =   -9   
% Bat     =    1   
% Intaker =    0   
% Gryo    =  -18   
SSS vs= 0.96  t=  146
%P VOLT1   = 8333
%P VOLT2   = 8307
%P S2_SC   =  0.96
%P L_ANG_MAX = 146
B   0 832   57    0
B  10 8327   57    0
B  20 8325   57    0
B  30 8324   57    0
B  40 8230   57    0
B  50 8220   57    0
B  60 8233   57    0
B  70 8244   57    0
B  80 8255   57    1
B  90 8118   57    1
B 100 8120   57    1
B 110 8095   57    1
B 120 8005   57    8
B 130 7895   57   16
B 140 7893   57   24
B 150 7804   57   32
B 160 7856   57   40
B 170 7866   57   48
B 180 7938   55   55
B 190 7968   57   62
B 200 7962   57   69
B 210 7995   57   77
B 220 7961   57   84
B 230 7965   57   92
B 240 7931   57  100
*** dt = 25 , A = 102 , rpm = 132 
B 250 7897    9  108
B 260 7900    9  118
pull out 124
B 270 8018  -96  127
B 280 8064  -96  136
B 290 8083  -96  145
B 300 8095  -96  152
B 310 8066  -96  160
B 320 8031  -96  168
B 330 8107  -96  175
B 340 7557  -96  180
B 350 7556  -96  184
B 360 7664  -96  184
B 370 7787  -96  184
*** amax = 184  vhit = 100
B 380 7735  -96  179
B 390 7612  -96  166
B 400 7218  -96  150
B 410 7295  -96  134
B 420 7231  -96  116
B 430 7504  -96   98
B 440 7538  -96   78
B 450 7685  -96   57
B 460 7862  -96   34
B 470 7858  -96   11
push -10 -10
push out at target
B 480 7866   76  -14
B 490 7876   76  -29
B 500 7848   76  -41
B 510 7746   76  -54
B 520 7859   76  -66
B 530 7914   76  -79
B 540 7890   76  -93
B 550 7772   76 -106
B 560 7701   76 -117
B 570 7740   76 -124
B 580 7822   46 -124
B 590 7810    9 -124
B 600 7822    9 -121
B 610 7554    9 -109
B 620 7632    9  -95
B 630 7600    9  -84
B 640 7972    9  -69
B 650 7981    9  -56
B 660 8269    9  -41
B 670 8273    9  -26
pb end 
B 680 8273   10  -12
B 690 8274   10    1
B 700 8310   10   12
B 710 8313   10   22
B 720 8276   10   28
B 730 8278   10   32
B 740 8277   10   35
B 750 8278   10   35
B 760 8280   10   35
B 770 8278   10   35
SSS vs= 0.96  t=  165
%P VOLT1   = 8274
%P VOLT2   = 8293
%P S2_SC   =  0.97
%P L_ANG_MAX = 165
B 780 8281   57   35
B 790 8314   57   35
B 800 8317   57   35
B 810 8261   57   32
B 820 8209   57   28
B 830 8187   57   26
B 840 8156   57   24
B 850 7914   57   25
B 860 7902   57   25
B 870 7895   57   25
B 880 7859   57   28
B 890 7864   57   35
B 900 7817   57   42
B 910 7874   57   49
B 920 7890   57   56
B 930 7826   57   63
B 940 7927   57   69
B 950 7920   57   76
B 960 7915   57   84
B 970 7954   57   91
B 980 7954   57   99
B 990 7924   44  108
B 1000 7926   19  116
*** dt = 17 , A = 117 , rpm = 140 
B 1010 7933   17  125
pull out 132
B 1020 7970  -96  134
B 1030 7998  -96  144
B 1040 7994  -96  154
B 1050 7841  -96  161
B 1060 7943  -96  170
B 1070 7990  -96  179
B 1080 7482  -96  185
B 1090 7669  -96  190
B 1100 7568  -96  192
B 1110 7723  -96  192
B 1120 7700  -96  192
*** amax = 192  vhit = 100
B 1130 7679  -96  179
B 1140 7385  -96  164
B 1150 7206  -96  147
B 1160 7281  -96  130
B 1170 7344  -96  112
B 1180 7488  -96   92
B 1190 7497  -96   71
B 1200 7779  -96   48
B 1210 7885  -96   24
B 1220 7893  -96    1
push -11 -10
push out at target
B 1230 7906   77  -22
B 1240 7874   77  -34
B 1250 7837   77  -46
B 1260 7822   77  -61
B 1270 7825   77  -76
B 1280 7878   77  -90
B 1290 7757   77 -106
B 1300 7544   77 -121
B 1310 7498   77 -136
B 1320 7738   77 -145
B 1330 7736   62 -148
B 1340 7702   14 -148
B 1350 7668    9 -148
B 1360 7441    9 -136
B 1370 7570    9 -123
B 1380 7552    9 -109
B 1390 7842    9  -97
B 1400 7859    9  -82
B 1410 8222    9  -68
B 1420 8227    9  -54
B 1430 8230    9  -40
pb end 
B 1440 8267   10  -25
B 1450 8270   10  -12
B 1460 8270   10    0
B 1470 8272   10   10
B 1480 8272   10   17
B 1490 8273   10   22
B 1500 8273   10   24
B 1510 8274   10   26
B 1520 8274   10   26
B 1530 8274   10   26
SSS vs= 0.97  t=  170
%P VOLT1   = 8274
%P VOLT2   = 8276
%P S2_SC   =  0.97
%P L_ANG_MAX = 170
B 1540 8274   58   26
B 1550 8274   58   26
B 1560 8274   58   26
B 1570 8199   58   26
B 1580 8154   58   25
B 1590 8112   58   24
B 1600 8009   58   24
B 1610 7996   58   24
B 1620 7918   58   25
B 1630 7846   58   25
B 1640 7847   58   31
B 1650 7833   58   38
B 1660 7786   58   44
B 1670 7807   58   51
B 1680 7847   58   57
B 1690 7878   58   64
B 1700 7874   58   70
B 1710 7871   58   77
B 1720 7905   58   84
B 1730 7909   58   92
B 1740 7878   58  100
B 1750 7880   46  108
B 1760 7889   20  116
*** dt = 18 , A = 124 , rpm = 132 
B 1770 7951   19  126
B 1780 7943   19  135
pull out 141
B 1790 7981  -96  145
B 1800 8103  -96  154
B 1810 8111  -96  162
B 1820 7921  -96  169
B 1830 7958  -96  177
B 1840 7994  -96  184
B 1850 8048  -96  190
B 1860 7529  -96  194
B 1870 7665  -96  196
B 1880 7521  -96  196
B 1890 7719  -96  196
*** amax = 196  vhit = 100
B 1900 7646  -96  187
B 1910 7656  -96  172
B 1920 7289  -96  156
B 1930 7223  -96  139
B 1940 7288  -96  121
B 1950 7443  -96  102
B 1960 7604  -96   81
B 1970 7606  -96   60
B 1980 7817  -96   36
B 1990 7855  -96   12
push -12 -10
push out at target
