SSS vs= 1.00  t=  170
%P VOLT1   = 8155
%P VOLT2   = 8409
%P S2_SC   =  0.97
%P L_ANG_MAX = 170
B   0 825   58    0
B  10 8256   58    0
B  21 8199   58    0
B  31 8150   58    0
B  41 8153   58    0
B  51 8151   58    0
B  61 8147   58    0
B  71 7905   58    0
B  82 7935   58    6
B  93 7932   58   14
B 103 7850   58   21
B 114 7773   58   30
B 126 7813   58   39
B 137 7816   58   47
B 147 7780   58   53
B 158 7853   58   61
B 168 7854   58   68
B 178 7854   58   75
B 189 7850   58   83
B 201 7849   58   92
B 211 7847   58   99
B 221 7812   56  106
B 231 7850   40  113
*** dt = 28 , A = 122 , rpm = 116 
B 241 7852   19  122
B 251 7866   19  131
B 261 7934   19  141
pull out 147
B 271 7961  -96  149
B 281 7976  -96  157
B 291 8058  -96  163
B 302 7922  -96  172
B 312 7974  -96  179
B 322 8030  -96  185
B 332 8070  -96  189
B 342 7604  -96  191
B 352 7622  -96  191
B 363 7521  -96  191
*** amax = 191  vhit = 100
B 373 7589  -96  180
B 384 7451  -96  165
B 394 7517  -96  148
B 404 7204  -96  130
B 415 7204  -96  111
B 427 7533  -96   87
B 438 7537  -96   65
B 449 7677  -96   40
B 460 7784  -96   14
B 471 7795  -96  -13
push -13 -10
push out at target
B 481 7799   77  -25
B 491 7771   77  -37
B 501 7737   77  -53
B 511 7689   77  -69
B 521 7726   77  -83
B 531 7641   77 -101
B 542 7697   77 -119
B 553 7554   77 -137
B 563 7630   77 -151
B 573 7548   77 -156
B 583 7682   30 -156
B 594 7635    9 -156
B 604 7824    9 -147
B 615 7523    9 -133
B 625 7526    9 -121
B 637 8114    9 -105
B 647 8123    9  -91
B 658 8166    9  -77
B 668 8200    9  -64
B 678 8204    9  -51
pb end 
SSS vs= 0.97  t=  170
%P VOLT1   = 8155
%P VOLT2   = 8402
%P S2_SC   =  0.97
%P L_ANG_MAX = 170
B   0 825   58    0
B  11 8255   58    0
B  21 8210   58    0
B  31 8150   58    0
B  41 8150   58    0
B  52 8165   58    0
B  63 7892   58    1
B  73 7985   58    0
B  83 7960   58    3
B  93 7948   58    9
B 104 7770   58   17
B 114 7762   58   25
B 125 7783   58   33
B 135 7771   58   41
B 147 7807   58   50
B 157 7808   58   57
B 167 7880   58   64
B 177 7849   58   71
B 187 7849   58   78
B 197 7849   58   85
B 207 7846   58   93
B 218 7847   58  101
B 229 7779   40  109
B 239 7819   27  118
*** dt = 20 , A = 121 , rpm = 134 
B 251 7856   17  128
B 261 7919   17  137
pull out 140
B 271 7944  -96  147
B 281 7756  -96  153
B 291 7745  -96  161
B 302 7967  -96  169
B 313 7494  -96  176
B 324 7490  -96  181
B 335 7533  -96  181
B 346 7674  -96  181
*** amax = 181  vhit = 100
B 356 7629  -96  176
B 366 7613  -96  163
B 376 7193  -96  147
B 386 7123  -96  130
B 396 7191  -96  114
B 406 7353  -96   95
B 416 7529  -96   75
B 426 7536  -96   54
B 436 7748  -96   31
B 446 7748  -96    8
push -12 -10
push out at target
B 456 7752   77  -15
B 466 7755   77  -26
B 476 7686   77  -38
B 486 7687   77  -51
B 496 7776   77  -62
B 506 7405   77  -76
B 516 7444   77  -89
B 526 7743   77 -101
B 536 7706   77 -110
B 546 7631   62 -112
B 556 7704    6 -112
B 567 7774    9 -112
B 577 7864    9 -103
B 587 7551    9  -92
B 597 7999    9  -79
B 607 8011    9  -69
B 617 8160    9  -57
B 627 8163    9  -45
B 637 8166    9  -32
B 648 8201    9  -20
pb end 
SSS vs= 0.97  t=  170
%P VOLT1   = 8155
%P VOLT2   = 8398
%P S2_SC   =  0.97
%P L_ANG_MAX = 170
B   0 825   58    1
B  10 8252   58    1
B  20 8204   58    1
B  31 8143   58    1
B  42 8150   58    1
B  54 7883   58    1
B  64 7896   58    1
B  74 8010   58    1
B  84 8018   58    1
B  94 7999   58    2
B 104 7960   58    9
B 115 7807   58   18
B 126 7788   58   27
B 137 7761   58   37
B 147 7777   58   44
B 157 7793   55   52
B 167 7827   58   59
B 177 7895   58   66
B 189 7850   58   75
B 199 7846   58   83
B 209 7849   58   91
B 219 7816   56   99
B 230 7817   44  107
B 240 7789   28  116
*** dt = 20 , A = 121 , rpm = 134 
B 250 7867   17  125
B 261 7895   17  134
pull out 139
B 271 7885  -96  143
B 282 7992  -96  153
B 294 7901  -96  162
B 304 7831  -96  169
B 314 7931  -96  177
B 324 7386  -96  183
B 334 7428  -96  188
B 344 7570  -96  191
B 355 7671  -96  191
*** amax = 191  vhit = 100
B 365 7582  -96  190
B 376 7622  -96  180
B 386 7304  -96  165
B 396 7367  -96  149
B 407 7239  -96  129
B 417 7271  -96  111
B 427 7458  -96   91
B 438 7466  -96   70
B 449 7749  -96   45
B 459 7745  -96   21
B 469 7751  -96   -4
push -10 -10
push out at target
B 480 7799   77  -21
B 490 7700   77  -32
B 500 7668   77  -45
B 511 7792   77  -55
B 521 7815   77  -69
B 531 7857   77  -81
B 542 7651   77  -93
B 553 7660   77 -103
B 564 7738   63 -104
B 574 7702    0 -104
B 584 7715    9 -104
B 594 7346    9  -93
B 604 7478    9  -80
B 614 7502    9  -69
B 624 7887    9  -55
B 635 7901    9  -40
B 645 8120    9  -25
B 655 8160    9  -11
B 666 8163    9    4
pb end 
SSS vs= 0.97  t=  170
%P VOLT1   = 8155
%P VOLT2   = 8398
%P S2_SC   =  0.97
%P L_ANG_MAX = 170
B   0 825    0   -7
B  10 8252   58   -7
B  20 8251   58   -7
B  30 8234   58   -7
B  40 8153   58   -7
B  50 8148   58   -7
B  60 8159   58   -7
B  70 7887   58   -7
B  80 7896   58   -7
B  90 7977   58   -7
B 100 8046   58   -7
B 110 8012   58   -2
B 120 7970   58    5
B 130 7863   58   14
B 140 7856   58   23
B 150 7834   58   33
B 160 7749   58   41
B 170 7764   58   49
B 180 7801   56   57
B 190 7864   56   64
B 200 7853   58   72
B 210 7883   58   80
B 220 7881   56   88
B 230 7887   56   96
B 240 7861   49  105
B 250 7827   24  113
B 260 7831   19  121
*** dt = 29 , A = 123 , rpm = 132 
B 270 7835   17  130
B 280 7936   17  139
B 290 7961   17  148
pull out 149
B 300 8010  -96  155
B 310 8122  -96  162
B 320 8036  -96  169
B 330 7955  -96  176
B 340 7960  -96  181
B 350 8008  -96  187
B 360 8022  -96  190
B 370 7625  -96  192
B 380 7525  -96  192
B 390 7507  -96  192
*** amax = 192  vhit = 100
B 400 7600  -96  185
B 410 7579  -96  171
B 420 7517  -96  155
B 430 7204  -96  138
B 440 7281  -96  120
B 450 7303  -96  101
B 460 7506  -96   81
B 470 7509  -96   59
B 480 7643  -96   37
B 490 7749  -96   13
B 500 7758  -96  -11
push -12 -10
push out at target
B 510 7763   77  -23
B 520 7670   77  -36
B 530 7640   77  -48
B 540 7727   77  -59
B 550 7781   77  -72
B 560 7825   77  -85
B 570 7403   77  -98
B 580 7706   77 -108
B 590 7611   70 -111
B 600 7636   14 -111
B 610 7733    9 -111
B 620 7860    9 -105
B 630 7745    9  -93
B 640 7528    9  -84
B 650 7543    9  -72
B 660 8119    9  -59
B 670 8159    9  -47
B 680 8161    9  -35
B 690 8163    9  -22
pb end 
B 700 8164   10   -9
B 710 8166   10    2
B 720 8166   10   12
B 730 8201   10   19
B 740 8202   10   25
B 750 8202   10   28
B 760 8204   10   29
B 770 8205   10   29
B 780 8204   10   29
B 790 8207   10   29
SSS vs= 0.97  t=  184
%P VOLT1   = 8096
%P VOLT2   = 8367
%P S2_SC   =  0.98
%P L_ANG_MAX = 184
B 800 8204   58   29
B 810 8204   58   29
B 820 8204   58   29
B 830 8120   58   26
B 840 8082   58   22
B 850 8060   58   20
B 860 8026   58   20
B 870 7830   58   20
B 880 7855   58   21
B 890 7851   58   21
B 900 7814   58   25
B 910 7757   58   32
