L: t_push=    90
%Initializing ...
% batt1   = 7.98v
% batt2   = 8.32v
% mode    = 6   
% time    = 8761   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%Initializing ...
% batt1   = 7.98v
% batt2   = 8.32v
% mode    = 6   
% time    = 8761   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
% * usercontrol 
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
SSS vs= 1.00  t=  178
%P VOLT1   = 7978
%P VOLT2   = 8318
%P S2_SC   =  0.99
%P L_ANG_MAX = 178
B   0 811   59    0
B  10 8114   59    0
B  21 8114   59    0
B  31 8053   59    0
B  41 8006   59    0
B  51 8013   59    0
B  61 8025   59    0
B  72 7754   59    0
B  84 7871   59    0
B  94 7871   59    0
B 105 7927   59    0
B 116 7825   59    7
B 126 7792   59   16
B 136 7715   59   25
B 147 7626   59   35
B 159 7622   59   45
B 170 7633   45   53
B 181 7667   59   61
B 191 7734   59   68
B 201 7752   59   75
B 212 7772   59   83
B 222 7722   59   90
B 232 7727   59   97
B 242 7798   59  104
B 252 7684   54  111
B 264 7679   40  121
B 275 7675   19  129
*** dt = 22 , A = 130 , rpm = 129 
B 286 7781   18  139
B 297 7736   18  149
pull out 149
B 309 7782  -98  159
B 320 7658  -98  167
B 330 7668  -98  173
B 341 7801  -98  181
B 351 7852  -98  188
B 361 7613  -98  192
B 371 7557  -98  195
B 382 7434  -98  195
*** amax = 195  vhit = 100
B 392 7435  -98  194
B 402 7465  -98  187
B 414 7288  -98  171
B 424 7343  -98  154
B 435 7068  -98  137
B 446 7138  -98  117
B 456 7177  -98   97
B 466 7434  -98   77
B 476 7539  -98   56
B 486 7533  -98   33
B 496 7642  -98   11
push -11 -10
push out at target
B 506 7656   78  -11
B 517 7659   78  -23
B 527 7607   78  -35
B 538 7571   78  -51
B 549 7569   78  -66
B 560 7624   78  -81
B 570 7601   78  -97
B 581 7512   78 -113
B 591 7420   78 -125
B 602 7460   78 -132
B 612 7520   41 -132
B 622 7523    9 -132
B 632 7620    9 -127
B 642 7348    9 -114
B 652 7425    9 -100
B 662 7422    9  -90
B 672 7793    9  -76
B 684 7981    9  -60
B 694 7985    9  -47
B 704 8022    9  -32
pb end 
SSS vs= 0.99  t=  178
%P VOLT1   = 7919
%P VOLT2   = 8314
%P S2_SC   =  0.99
%P L_ANG_MAX = 178
B   0 807   59    2
B  10 8075   59    2
B  21 7998   59    2
B  31 7970   59    2
B  41 7977   59    3
B  52 7991   59    3
B  63 8004   59    3
B  74 7871   59    3
B  85 7872   59    5
B  96 7822   59   11
B 107 7775   59   19
B 118 7632   59   28
B 128 7584   59   37
B 139 7590   59   45
B 150 7599   55   53
B 161 7683   59   61
B 171 7717   59   69
B 181 7717   59   76
B 191 7713   59   83
B 201 7711   59   91
B 212 7708   59   99
B 222 7675   53  107
B 232 7675   40  114
B 243 7680   26  123
*** dt = 25 , A = 129 , rpm = 125 
B 253 7749   18  132
B 263 7757   18  141
B 273 7782   18  149
pull out 152
B 283 7830  -99  157
B 293 7982  -99  163
B 303 7964  -99  170
B 313 7802  -99  177
B 323 7784  -99  183
B 333 7822  -99  188
B 343 7875  -99  191
B 354 7355  -99  193
B 364 7277  -99  193
B 374 7439  -99  193
*** amax = 193  vhit = 100
B 384 7479  -99  189
B 394 7460  -99  176
B 404 7346  -99  161
B 414 7236  -99  145
B 424 7315  -99  126
B 434 7158  -99  109
B 444 7296  -99   89
B 454 7300  -99   68
B 464 7543  -99   46
B 475 7610  -99   21
B 486 7652  -99   -7
push -11 -10
push out at target
B 496 7658   79  -17
B 506 7633   79  -28
B 516 7557   79  -41
B 526 7519   79  -56
B 537 7561   79  -69
B 547 7511   79  -85
B 557 7563   79 -101
B 567 7466   79 -116
B 577 7484   79 -128
B 587 7386   79 -135
B 597 7551   47 -136
B 607 7458    0 -136
B 618 7664    9 -131
B 628 7405    9 -120
B 639 7377    9 -109
B 651 7968    9  -95
B 661 7977    9  -83
B 671 7981    9  -71
B 681 8020    9  -60
B 691 8023    9  -50
B 701 8023    9  -39
pb end 
SSS vs= 0.99  t=  178
%P VOLT1   = 7919
%P VOLT2   = 8307
%P S2_SC   =  0.99
%P L_ANG_MAX = 178
B   0 807   59    7
B  10 8074   59    7
B  20 8074   59    7
B  30 8074   59    7
B  40 8003   59    7
B  51 7969   59    7
B  61 7975   59    7
B  72 7977   59    7
B  82 7681   59    7
B  92 7732   59    7
B 102 7730   59   12
B 112 7721   59   17
B 123 7710   59   26
B 134 7597   59   35
B 145 7595   59   43
B 156 7632   59   51
B 167 7667   59   58
B 177 7670   59   65
B 188 7743   59   73
B 198 7704   59   80
B 210 7666   59   89
B 221 7667   59   97
B 232 7670   59  105
B 243 7634   46  113
B 254 7679   36  122
*** dt = 22 , A = 130 , rpm = 127 
B 264 7684   19  131
B 274 7752   19  139
B 284 7747   19  149
pull out 149
B 294 7774  -99  157
B 304 7824  -99  165
B 314 7765  -99  171
B 324 7740  -99  179
B 334 7818  -99  185
B 344 7263  -99  191
B 354 7289  -99  195
B 365 7443  -99  196
B 375 7521  -99  196
B 385 7455  -99  196
*** amax = 196  vhit = 100
B 396 7500  -99  183
B 406 7195  -99  168
B 416 7261  -99  150
B 426 7119  -99  133
B 436 7178  -99  115
B 446 7208  -99   98
B 456 7361  -99   77
B 466 7571  -99   54
B 476 7567  -99   33
B 486 7642  -99    9
B 496 7656  -99  -11
push -12 -10
push out at target
B 506 7652   79  -22
B 516 7605   79  -33
B 526 7571   79  -46
B 537 7595   79  -61
B 547 7648   79  -75
B 558 7454   79  -92
B 570 7473   79 -108
B 580 7379   79 -120
B 590 7497   79 -127
B 600 7519   47 -127
B 610 7495    9 -127
B 621 7478    9 -120
