SSS v= 8073  t=  240
SSS -213  3539  1356    19
%P VOLT1   = 7978
%P VOLT2   = 8073
%P S2_SC   =  0.99
%P L_ANG_MAX = 240
S 8073  -213  3539  1356
B   0 806  118   19
B  10 807  118   19
B  20 807  118   19
B  31 796  118   19
B  41 695  118   19
B  51 672  118   19
B  61 660  118   19
B  71 637  118   20
B  81 612  118   22
B  92 597  118   29
B 102 601  118   38
B 112 617  118   46
B 123 633  118   55
B 133 641  112   63
B 143 641   94   72
B 154 636   67   83
B 164 634   43   95
B 175 644   29  107
B 185 695   29  119
B 195 724   29  131
B 205 751   29  143
B 215 765   29  155
B 225 772   29  164
B 235 776   29  174
pull out 181
B 245 779 -118  185
B 255 781 -118  194
B 265 775 -118  203
B 275 656 -118  210
B 285 638 -118  217
B 295 655 -118  223
B 305 682 -118  229
B 315 706 -118  233
B 325 712 -118  235
B 335 678 -118  236
B 345 629 -118  236
B 355 598 -118  234
B 365 587 -118  222
B 375 598 -118  209
B 385 624 -118  194
B 395 655 -118  179
B 405 681 -118  162
B 415 698 -118  144
B 425 705 -118  126
B 435 705 -118  106
B 445 704 -118   84
B 455 707 -118   62
B 465 713 -118   39
B 475 721 -118   15
B 485 728 -118   -9
push -12 -10
push out at target
B 495 732   79  -21
B 505 662   79  -33
B 515 642   79  -45
B 525 663   79  -54
B 535 690   79  -67
B 545 712   79  -79
B 555 724   79  -91
B 565 696   79 -100
B 575 651   63 -103
B 585 619   14 -103
B 595 680    9 -103
B 605 734    9  -98
B 615 763    9  -87
B 625 777    9  -77
B 635 785    9  -66
B 645 789    9  -54
B 655 791    9  -42
B 665 793    9  -31
B 675 794    9  -19
B 685 795    9   -7
pb end 
B 695 796   10    3
SSS v= 7958  t=  251
SSS -202  3539  1356    12
%P VOLT1   = 7978
%P VOLT2   = 7958
%P S2_SC   =  1.01
%P L_ANG_MAX = 251
S 7958  -202  3539  1356
B 706 796  120   13
B 716 797  120   21
B 726 797  120   25
B 737 758  120   28
B 747 717  120   30
B 757 718  120   31
B 767 729  120   31
B 777 741  120   33
B 787 733  120   33
B 797 693  120   33
B 808 652  120   39
B 818 617  120   47
B 829 594  120   56
B 839 590  107   67
B 850 606   87   77
B 860 628   60   87
B 870 645   39   97
B 880 673   30  106
B 890 706   30  117
B 900 733   30  128
B 910 752   30  139
B 920 763   30  149
B 930 768   30  159
B 940 772   30  168
B 950 774   30  178
B 960 776   30  187
B 970 777   30  195
pull out 198
B 980 779   10  203
B 990 780   10  211
B 1000 779   10  217
B 1010 787   10  224
B 1020 791   10  230
B 1030 793   10  235
B 1040 794   10  239
B 1051 796   10  244
B 1061 796   10  249
B 1071 796   10  252
B 1081 796   10  255
B 1091 797   10  258
B 1101 797   10  259
B 1111 797   10  260
B 1122 798   10  261
B 1132 798   10  261
B 1142 798   10  261
B 1152 798   10  261
B 1162 798   10  261
B 1172 798   10  261
B 1183 798   10  261
B 1193 798   10  261
B 1203 799   10  260
B 1214 799   10  257
B 1225 799   10  253
B 1236 799   10  250
B 1246 799   10  247
B 1256 799   10  244
B 1266 798   10  242
B 1276 799   10  241
B 1286 799   10  239
B 1296 799   10  238
B 1306 800   10  237
B 1316 800   10  235
B 1326 800   10  235
B 1336 800   10  234
B 1347 800   10  233
B 1358 800   10  231
B 1369 800    9  231
B 1379 800    9  230
B 1391 800    9  229
B 1401 801    9  228
B 1411 800    9  227
B 1421 801    9  227
B 1432 801    9  226
B 1442 801    9  225
B 1452 801    9  225
B 1462 801    9  223
B 1472 801    9  223
B 1482 801    9  223
B 1493 801    9  222
B 1504 800    9  221
B 1515 801    9  221
B 1525 801    9  220
B 1536 801    9  219
B 1547 801    9  219
B 1557 802    9  219
B 1567 801    9  218
B 1577 801    9  218
B 1587 801    9  217
B 1597 801    9  217
B 1607 801    9  216
B 1617 801    9  216
B 1627 801    9  216
B 1637 801    9  216
B 1647 801    9  216
B 1657 801    9  216
B 1667 801    9  216
B 1677 801    9  216
B 1687 801    9  215
B 1697 801    9  215
B 1707 801    9  215
B 1717 802    9  215
B 1727 801    9  215
B 1737 801    9  215
B 1747 801    9  215
B 1757 801    9  215
B 1767 802    9  215
B 1777 802 -120  215
B 1787 802 -120  215
B 1797 761 -120  215
B 1807 691 -120  215
B 1817 687 -120  215
B 1827 701 -120  213
B 1837 720 -120  211
B 1847 737 -120  206
B 1857 745 -120  202
B 1867 727 -120  195
B 1877 688 -120  187
B 1887 647 -120  174
B 1897 627 -120  159
B 1907 632 -120  142
B 1917 652 -120  126
B 1927 676 -120  109
B 1937 697 -120   90
B 1947 712 -120   71
B 1957 719 -120   51
B 1967 719 -120   29
B 1977 718 -120    7
push -11 -10
push out at target
B 1987 717   80  -13
B 1997 714   80  -23
B 2007 693   80  -35
B 2017 649   80  -49
B 2027 651   80  -61
B 2037 675   80  -74
B 2047 700   80  -89
B 2057 718   80 -102
B 2067 704   80 -114
B 2077 662   80 -122
B 2087 623   56 -123
B 2097 604    0 -123
B 2107 679   10 -122
B 2117 739   10 -111
B 2127 764   10 -101
B 2137 776   10  -89
B 2147 784   10  -77
B 2157 787   10  -65
B 2167 790   10  -53
B 2177 791   10  -42
B 2187 792   10  -31
B 2197 794   10  -20
pb end 
B 2207 794   10  -10
B 2217 794   10   -2
SSS v= 7951  t=  256
SSS -204  3539  1356    -1
%P VOLT1   = 7978
%P VOLT2   = 7951
%P S2_SC   =  1.01
%P L_ANG_MAX = 256
S 7951  -204  3539  1356
B 2228 795  120    5
B 2238 796  120   10
B 2249 757  120   14
B 2260 720  120   18
B 2270 722  120   19
B 2280 733  120   25
B 2290 740  120   25
B 2300 723  120   25
B 2310 682  120   29
B 2320 650  120   35
B 2330 623  120   43
B 2340 602  120   52
B 2350 598  116   62
B 2360 608   96   71
B 2370 627   73   82
B 2380 642   51   91
B 2390 658   30  101
B 2400 697   30  111
B 2410 721   30  123
B 2420 747   30  134
B 2430 759   30  144
B 2440 766   30  154
B 2450 770   30  163
B 2460 773   30  174
B 2470 774   30  183
B 2480 776   30  191
B 2490 777   30  200
pull out 205
B 2500 779   10  207
B 2510 779   10  215
B 2520 784   10  221
B 2530 790   10  227
B 2540 792   10  233
B 2550 794   10  238
B 2560 794   10  242
B 2570 794   10  246
B 2580 794   10  250
B 2590 795   10  253
B 2600 796   10  255
B 2610 796   10  257
B 2620 796   10  259
B 2630 796   10  259
B 2640 797   10  259
B 2650 797   10  259
B 2660 797 -120  259
B 2670 797 -120  259
B 2680 751 -120  259
B 2690 684 -120  259
B 2700 679 -120  259
B 2710 695 -120  259
B 2720 713 -120  255
B 2730 730 -120  249
B 2740 733 -120  243
B 2750 714 -120  235
B 2760 680 -120  223
B 2770 650 -120  210
B 2780 638 -120  194
B 2790 646 -120  176
B 2800 665 -120  157
B 2810 686 -120  138
B 2820 704 -120  118
B 2830 717 -120   97
B 2840 722 -120   75
B 2850 724 -120   53
B 2860 724 -120   29
B 2870 726 -120    5
push -13 -10
push out at target
B 2880 729   80  -15
B 2890 726   80  -27
B 2900 705   80  -40
B 2910 676   80  -55
B 2920 639   80  -71
B 2930 651   80  -85
B 2940 675   80 -102
B 2950 700   80 -119
B 2960 706   80 -135
B 2970 669   80 -147
B 2980 627   80 -153
B 2990 600   39 -153
B 3000 589   10 -153
B 3010 689   10 -147
B 3020 739   10 -136
B 3030 763   10 -126
B 3040 776   10 -114
B 3050 783   10 -102
B 3060 786   10  -90
B 3070 788   10  -78
B 3080 789   10  -67
pb end 
B 3090 790   10  -56
B 3100 791   10  -45
SSS v= 7923  t=  261
SSS -201  3539  1356   -37
%P VOLT1   = 7978
%P VOLT2   = 7923
%P S2_SC   =  1.01
%P L_ANG_MAX = 261
S 7923  -201  3539  1356
B 3111 791  121  -34
B 3121 792  121  -25
B 3131 752  121  -18
B 3141 713  121  -11
B 3151 714  121   -4
B 3161 726  121    2
B 3171 739  121    7
B 3181 750  121   16
B 3191 753  121   21
B 3201 733  121   26
B 3212 688  121   34
B 3223 645  121   45
B 3233 617  121   58
B 3243 613  101   70
B 3253 625   76   81
B 3265 645   49   95
B 3275 683   30  106
B 3285 719   30  118
B 3295 743   30  130
B 3305 758   30  141
B 3315 765   30  153
