SSS v= 7832  t=  260 
SSS  132   265   310    -7
%P VOLT1   = 7860
%P VOLT2   = 7832
%P S2_SC   =  1.02
%P L_ANG_MAX = 260
S 7832   132   265   310
B   0 783  122   -7
B  10 783  122   -7
B  21 691  122   -7
B  31 667  122   -7
B  41 674  122   -7
B  51 683  122   -7
B  61 677  122   -7
B  71 651  122   -3
B  81 615  122    5
B  91 591  122   15
B 101 588  122   25
B 111 604  122   36
B 121 624  122   45
B 131 639  122   55
B 141 644  107   65
B 151 639   76   75
B 161 632   43   87
B 171 627   30   99
B 182 681   30  113
B 192 721   30  125
B 202 738   30  137
B 213 747   30  149
B 224 753   30  161
B 234 756   30  172
B 246 758   30  184
B 256 760   30  193
pull out 201
B 266 761 -122  201
B 276 761 -122  211
B 286 715 -122  218
B 296 633 -122  224
B 306 631 -122  229
B 316 651 -122  234
B 326 675 -122  238
B 336 696 -122  241
B 346 701 -122  243
B 356 667 -122  243
B 366 624 -122  243
B 376 592 -122  237
B 386 582 -122  224
B 396 594 -122  210
B 406 623 -122  194
B 416 648 -122  178
B 426 672 -122  161
B 437 687 -122  140
B 447 693 -122  117
B 457 693 -122  100
B 468 695 -122   76
B 479 698 -122   51
B 490 703 -122   24
B 502 712 -122   -5
push -11 -10
push out at target
B 513 719   81  -24
B 524 709   81  -36
B 534 681   81  -49
B 544 633   81  -65
B 555 643   81  -79
B 565 665   81  -95
B 576 690   81 -113
B 586 692   81 -127
B 596 656   81 -139
B 606 616   81 -143
B 616 590   23 -143
B 626 581   10 -143
B 636 581   10 -137
B 646 620   10 -125
B 656 700   10 -111
B 666 733   10 -101
B 676 751   10  -87
B 686 759   10  -74
B 696 764   10  -61
B 706 767   10  -47
pb end 
SSS v= 7821  t=  260 
SSS  137   265   313    -7
%P VOLT1   = 7860
%P VOLT2   = 7821
%P S2_SC   =  1.02
%P L_ANG_MAX = 260
S 7821   137   265   313
B   0 782  122   -7
B  11 782  122   -7
B  21 782  122   -7
B  32 731  122   -7
B  42 672  122   -6
B  52 668  122   -6
B  62 679  122   -6
B  73 683  122   -6
B  83 665  122   -5
B  93 630  122    1
B 103 597  122   11
B 113 586  122   21
B 124 595  122   33
B 134 616  122   42
B 145 638  122   53
B 155 645  113   63
B 165 643   83   73
B 175 634   52   85
B 185 629   30   97
B 195 659   30  111
B 205 692   30  124
B 216 723   30  137
B 226 740   30  151
B 236 748   30  162
B 247 753   30  173
B 258 756   30  185
pull out 194
B 269 758 -122  196
B 281 759 -122  209
B 292 760 -122  219
B 302 707 -122  227
B 313 632 -122  233
B 325 635 -122  241
B 336 660 -122  248
B 347 686 -122  253
B 357 699 -122  257
B 367 679 -122  258
B 378 629 -122  258
B 389 590 -122  257
B 401 575 -122  242
B 411 585 -122  228
B 422 616 -122  211
B 432 644 -122  196
B 442 668 -122  179
B 452 684 -122  161
B 462 690 -122  139
B 472 691 -122  119
B 483 691 -122   97
B 494 695 -122   73
B 506 701 -122   44
B 516 708 -122   21
B 526 715 -122   -4
push -11 -10
push out at target
B 536 720   81  -24
B 547 711   81  -35
B 558 643   81  -48
B 568 637   81  -62
B 578 656   81  -74
B 589 680   81  -89
B 599 700   81 -104
B 610 684   81 -117
B 620 638   81 -123
B 630 602   40 -124
B 640 587    0 -124
B 650 652   10 -121
B 660 690   10 -109
B 670 730   10  -96
B 680 750   10  -85
B 690 759   10  -72
B 700 764   10  -58
B 710 767   10  -45
B 720 768   10  -31
B 730 769   10  -17
B 740 770   10   -5
pb end 
SSS v= 7832  t=  260
SSS  141   265   307    -8
%P VOLT1   = 7860
%P VOLT2   = 7828
%P S2_SC   =  1.02
%P L_ANG_MAX = 260
S 7828   141   265   307
B   0 782  122   -8
B  10 782  122   -8
B  20 736  122   -8
B  30 675  122   -8
B  40 670  122   -8
B  51 683  122   -8
B  61 689  122   -8
B  71 673  122   -7
B  81 634  122    0
B  91 600  122    9
B 102 584  122   20
B 113 596  122   32
B 123 618  122   42
B 134 638  122   52
B 145 647  116   63
B 155 642   83   75
B 166 634   46   86
B 176 627   30   99
B 186 680   30  112
B 196 719   30  124
B 206 737   30  136
B 216 746   30  146
B 226 752   30  157
B 236 755   30  169
B 246 758   30  179
B 256 759   30  189
B 266 760   30  197
pull out 205
B 276 761 -122  207
B 286 761 -122  215
B 296 658 -122  221
B 306 627 -122  225
B 316 639 -122  231
B 326 663 -122  236
B 336 686 -122  240
B 346 702 -122  241
B 356 689 -122  242
B 366 644 -122  242
B 376 603 -122  241
B 386 582 -122  229
B 396 584 -122  216
B 406 606 -122  201
B 416 635 -122  185
B 426 661 -122  169
B 436 681 -122  150
B 446 691 -122  128
B 456 693 -122  111
B 466 693 -122   91
B 476 695 -122   68
B 486 698 -122   45
B 496 703 -122   21
B 506 710 -122   -3
push -11 -10
push out at target
B 516 717   81  -23
B 526 712   81  -33
B 536 689   81  -45
B 546 639   81  -60
B 556 638   81  -74
B 566 659   81  -88
B 576 681   81 -104
B 586 697   81 -119
B 596 676   81 -132
B 608 624   81 -139
B 618 593   38 -140
B 629 581    0 -140
B 639 683   10 -135
B 649 727   10 -124
B 659 746   10 -114
B 669 757   10 -103
B 679 762   10  -91
B 689 766   10  -80
B 699 768   10  -69
B 709 769   10  -58
B 719 770   10  -47
pb end 
B 729 771   10  -37
B 739 771   10  -28
SSS v= 7727  t=  260
SSS  146   265   304   -28
%P VOLT1   = 7860
%P VOLT2   = 7730
%P S2_SC   =  1.04
%P L_ANG_MAX = 260
S 7730   146   265   304
B 750 772  124  -19
B 761 773  124  -13
B 773 771  124   -7
B 783 710  124   -2
B 793 699  124    2
B 803 706  124    5
B 813 719  124   10
B 823 725  124   12
B 833 711  124   15
B 843 672  124   20
B 853 638  124   26
B 863 611  124   37
B 873 594  124   45
B 883 593  124   56
B 893 608  103   67
B 903 625   72   77
B 913 638   38   88
B 923 668   31   98
B 933 687   31  109
B 943 716   31  121
B 953 734   31  133
B 963 743   31  144
B 973 748   31  154
B 983 751   31  165
B 993 753   31  174
B 1003 754   31  184
B 1013 756   31  192
pull out 197
B 1023 756 -124  201
B 1033 757 -124  209
B 1043 754 -124  216
B 1053 651 -124  222
B 1063 633 -124  226
B 1073 648 -124  231
B 1083 670 -124  236
B 1093 693 -124  239
B 1103 704 -124  241
B 1113 685 -124  242
B 1123 637 -124  241
B 1133 596 -124  240
B 1143 579 -124  227
B 1153 584 -124  213
B 1163 609 -124  199
B 1173 637 -124  183
B 1183 662 -124  166
B 1193 681 -124  148
B 1203 689 -124  125
B 1213 691 -124  109
B 1223 692 -124   88
B 1233 694 -124   65
B 1243 696 -124   41
B 1253 702 -124   18
B 1263 708 -124   -6
push -12 -10
push out at target
B 1273 715   82  -24
B 1283 644   82  -35
B 1293 612   82  -46
B 1303 629   82  -55
B 1313 655   82  -67
B 1323 679   82  -79
B 1333 695   82  -91
B 1343 677   82  -99
B 1353 631   57 -103
B 1363 599   23 -103
B 1373 646   10 -103
B 1383 699   10  -97
B 1393 732   10  -85
B 1403 749   10  -75
B 1413 758   10  -64
B 1423 762   10  -52
B 1433 765   10  -39
B 1443 767   10  -27
B 1453 768   10  -14
B 1463 769   10   -2
pb end 
B 1473 769   10    9
SSS v= 7699  t=  260
SSS  148   265   300    12
%P VOLT1   = 7860
%P VOLT2   = 7702
%P S2_SC   =  1.04
%P L_ANG_MAX = 260
S 7702   148   265   300
B 1484 770  124   19
B 1494 770  124   26
B 1504 771  124   30
B 1514 740  124   33
B 1524 697  124   35
B 1534 693  124   36
B 1544 703  124   36
B 1554 714  124   38
B 1564 719  124   38
B 1574 692  124   38
B 1584 644  124   41
B 1594 611  124   48
B 1604 583  124   56
B 1614 575  106   67
B 1624 583   72   77
B 1634 603   41   87
B 1644 651   31   97
B 1654 681   31  107
B 1664 715   31  117
B 1674 733   31  128
B 1684 741   31  139
B 1694 745   31  149
B 1704 748   31  157
B 1714 750   31  166
B 1724 752   31  175
B 1734 753   31  184
B 1744 753   31  191
pull out 194
B 1754 754 -124  198
B 1764 754 -124  205
B 1774 754 -124  211
B 1784 721 -124  217
B 1794 650 -124  222
B 1804 646 -124  226
B 1814 662 -124  231
B 1824 683 -124  235
B 1834 702 -124  237
B 1844 701 -124  237
B 1854 665 -124  237
B 1864 618 -124  237
B 1874 586 -124  229
B 1884 578 -124  216
B 1894 594 -124  201
B 1904 621 -124  187
B 1914 650 -124  170
B 1924 673 -124  152
B 1934 685 -124  131
B 1944 690 -124  113
B 1954 690 -124   94
B 1964 690 -124   73
B 1974 693 -124   49
B 1984 697 -124   26
B 1994 703 -124    2
push -11 -10
push out at target
B 2004 710   83  -20
B 2014 710   83  -31
B 2024 625   83  -42
B 2034 619   83  -55
B 2044 641   83  -65
B 2054 665   83  -77
B 2064 687   83  -90
B 2074 688   83 -101
B 2084 649   83 -109
B 2094 609   58 -111
B 2104 585    6 -111
B 2114 618   10 -110
B 2124 646   10  -99
B 2134 708   10  -87
B 2144 737   10  -76
B 2154 751   10  -63
B 2164 758   10  -50
B 2174 762   10  -36
