30 continous shot -- most fall short
SSS v= 7786  t=  270
SSS  312   204   313    -2
%P VOLT1   = 7742
%P VOLT2   = 7786
%P S2_SC   =  1.03
%P L_ANG_MAX = 270
S 7786   312   204   313
B   0 778  123   -2
B  10 778  123   -2
B  20 778  123   -2
B  31 706  123   -2
B  41 663  123   -2
B  51 663  123   -2
B  61 672  123   -2
B  71 672  123   -2
B  81 656  123   -1
B  91 627  123    2
B 101 600  123   11
B 111 583  123   21
B 122 589  123   31
B 133 610  123   41
B 144 629  123   51
B 155 636  121   61
B 165 633   94   72
B 176 624   62   83
B 186 619   30   96
B 196 638   30  107
B 206 653   30  120
B 216 706   30  132
B 226 729   30  144
B 236 741   30  156
B 246 747   30  166
B 256 750   30  177
B 266 752   30  187
B 276 754   30  196
B 286 755   30  205
pull out 206
B 296 756 -123  215
B 306 756 -123  223
B 316 724 -123  230
B 326 639 -123  237
B 336 632 -123  241
B 346 650 -123  247
B 356 674 -123  252
B 366 693 -123  255
B 376 697 -123  257
B 386 664 -123  257
B 396 616 -123  257
B 406 587 -123  253
B 416 575 -123  241
B 426 585 -123  227
B 436 611 -123  213
B 446 639 -123  197
B 456 663 -123  180
B 466 680 -123  162
B 476 686 -123  141
B 486 688 -123  120
B 496 689 -123  101
B 506 691 -123   78
B 516 694 -123   56
B 526 701 -123   33
B 536 708 -123    9
push -11 -10
push out at target
B 546 714   82  -16
B 556 717   82  -29
B 566 701   82  -40
B 576 628   82  -54
B 586 632   82  -67
B 596 653   82  -80
B 606 676   82  -95
B 616 692   82 -109
B 626 673   82 -121
B 636 630   82 -128
B 646 595   49 -129
B 656 584    0 -128
B 666 678   10 -125
B 676 723   10 -113
B 686 743   10 -103
B 696 753   10  -91
B 706 759   10  -79
B 716 762   10  -67
B 726 764   10  -55
B 736 766   10  -43
B 746 767   10  -32
pb end 
B 756 767   10  -21
B 766 768   10  -12
SSS v= 7688  t=  270
SSS  318   204   307    -8
%P VOLT1   = 7742
%P VOLT2   = 7688
%P S2_SC   =  1.04
%P L_ANG_MAX = 270
S 7692   318   204   307
B 777 768  124   -4
B 788 769  124    2
B 798 770  124    6
B 808 713  124    9
B 818 697  124   11
B 828 702  124   12
B 838 712  124   19
B 848 713  124   19
B 858 686  124   19
B 868 648  124   21
B 878 619  124   27
B 888 596  124   36
B 898 582  124   45
B 908 584  124   56
B 918 600  111   65
B 928 617   87   75
B 938 630   63   84
B 948 651   34   95
B 958 672   31  105
B 968 700   31  117
B 978 724   31  128
B 988 735   31  139
B 998 741   31  148
B 1008 745   31  157
B 1018 747   31  167
B 1028 750   31  176
B 1038 751   31  185
B 1048 752   31  193
B 1058 753   31  201
pull out 201
B 1068 753 -124  207
B 1078 753 -124  214
B 1088 747 -124  221
B 1098 657 -124  226
B 1108 642 -124  229
B 1118 656 -124  235
B 1128 677 -124  239
B 1138 695 -124  241
B 1148 701 -124  243
B 1158 673 -124  243
B 1168 626 -124  243
B 1178 591 -124  239
B 1188 578 -124  226
B 1198 587 -124  212
B 1208 612 -124  197
B 1218 639 -124  181
B 1228 663 -124  164
B 1238 680 -124  145
B 1248 687 -124  124
B 1258 688 -124  106
B 1268 687 -124   85
B 1278 690 -124   63
B 1288 694 -124   39
B 1298 700 -124   16
B 1308 706 -124   -8
push -11 -10
push out at target
B 1318 712   83  -25
B 1328 640   83  -35
B 1338 609   83  -47
B 1348 627   83  -55
B 1358 652   83  -67
B 1368 676   83  -79
B 1378 690   83  -91
B 1388 670   83  -99
B 1398 625   58 -103
B 1408 591   23 -103
B 1418 642   10 -103
B 1428 696   10  -95
B 1438 729   10  -84
B 1448 746   10  -75
B 1458 755   10  -63
B 1468 759   10  -51
B 1478 761   10  -39
B 1488 763   10  -26
B 1498 765   10  -13
B 1508 765   10   -3
pb end 
B 1518 766   10    9
B 1528 766   10   17
SSS v= 7667  t=  270
SSS  322   204   300    17
%P VOLT1   = 7742
%P VOLT2   = 7664
%P S2_SC   =  1.04
%P L_ANG_MAX = 270
S 7664   322   204   300
B 1538 767  125   24
B 1548 767  125   28
B 1558 740  125   30
B 1568 693  125   31
B 1578 686  125   32
B 1589 696  125   32
B 1600 710  125   34
B 1610 709  125   34
B 1620 674  125   33
B 1631 627  125   35
B 1641 596  125   42
B 1651 575  125   51
B 1661 570  123   61
B 1671 579   96   71
B 1681 600   69   81
B 1691 621   42   91
B 1701 638   31  100
B 1711 681   31  111
B 1721 702   31  121
B 1731 725   31  133
B 1741 734   31  144
B 1751 740   31  153
B 1761 743   31  163
B 1771 746   31  172
B 1781 748   31  181
B 1791 749   31  189
B 1801 750   31  197
pull out 201
B 1811 751 -125  205
B 1821 751 -125  212
B 1831 685 -125  218
B 1841 632 -125  223
B 1851 634 -125  226
B 1861 654 -125  231
B 1871 676 -125  235
B 1881 695 -125  237
B 1891 697 -125  237
B 1901 666 -125  237
B 1911 618 -125  237
B 1921 586 -125  231
B 1931 574 -125  217
B 1941 588 -125  204
B 1951 614 -125  189
B 1961 642 -125  173
B 1971 665 -125  155
B 1981 679 -125  135
B 1991 686 -125  115
B 2001 686 -125   97
B 2011 686 -125   76
B 2021 688 -125   53
B 2031 692 -125   31
B 2041 697 -125    7
push -10 -10
push out at target
B 2051 704   83  -16
B 2061 706   83  -28
B 2071 691   83  -39
B 2081 649   83  -52
B 2091 622   83  -67
B 2101 638   83  -79
B 2111 661   83  -95
B 2121 681   83 -110
B 2131 680   83 -123
B 2141 642   83 -133
B 2151 602   76 -136
B 2161 576   15 -136
B 2171 605   10 -136
B 2181 683   10 -127
B 2191 722   10 -115
B 2201 741   10 -105
B 2211 751   10  -93
B 2221 756   10  -81
B 2231 759   10  -69
B 2241 761   10  -56
B 2251 762   10  -44
pb end 
B 2261 763   10  -32
B 2271 764   10  -21
SSS v= 7646  t=  270
SSS  328   204   300   -13
%P VOLT1   = 7801
%P VOLT2   = 7646
%P S2_SC   =  1.05
%P L_ANG_MAX = 270
S 7646   328   204   300
B 2282 764  125   -9
B 2292 765  125    0
B 2303 702  125    6
B 2313 690  125   11
B 2323 697  125   15
B 2333 709  125   17
B 2343 719  125   23
B 2353 724  125   25
B 2364 704  125   26
B 2374 656  125   31
B 2384 618  125   38
B 2394 587  125   49
B 2404 575  125   59
B 2414 583  101   69
B 2424 603   72   80
B 2434 623   48   90
B 2444 643   31  100
B 2454 651   31  111
B 2464 693   31  122
B 2474 719   31  134
B 2484 731   31  145
B 2494 737   31  155
B 2504 741   31  166
B 2514 744   31  177
B 2524 746   31  186
B 2534 747   31  195
B 2544 748   31  203
pull out 206
B 2554 750 -125  210
B 2564 748 -125  219
B 2574 638 -125  225
B 2584 615 -125  229
B 2594 630 -125  233
B 2604 654 -125  237
B 2614 676 -125  241
B 2624 693 -125  241
B 2634 684 -125  242
B 2644 643 -125  242
B 2654 601 -125  241
B 2664 579 -125  229
B 2674 579 -125  216
B 2684 600 -125  201
B 2694 627 -125  186
B 2704 652 -125  169
B 2714 670 -125  152
B 2724 681 -125  129
B 2734 685 -125  112
B 2744 685 -125   93
B 2754 686 -125   71
B 2764 689 -125   49
B 2774 693 -125   25
B 2784 699 -125    1
push -11 -10
push out at target
B 2794 706   83  -20
B 2804 705   83  -31
B 2814 686   83  -43
B 2824 626   83  -57
B 2834 625   83  -71
B 2844 645   83  -85
B 2854 668   83 -100
B 2864 684   83 -115
B 2874 665   83 -127
B 2884 623   83 -134
B 2894 588   50 -135
B 2904 571    0 -135
B 2914 655   10 -132
B 2924 711   10 -121
B 2934 734   10 -110
B 2944 747   10 -100
B 2954 753   10  -88
B 2964 757   10  -76
B 2974 759   10  -65
B 2984 760   10  -54
B 2994 761   10  -43
pb end 
B 3004 762   10  -32
B 3014 763   10  -23
SSS v= 7639  t=  270
SSS  333   204   294   -17
%P VOLT1   = 7742
%P VOLT2   = 7639
%P S2_SC   =  1.05
%P L_ANG_MAX = 270
S 7639   333   204   294
B 3025 763  125  -15
B 3035 764  125   -8
B 3045 765  125   -3
B 3055 724  125    1
B 3065 693  125    5
B 3075 694  125    7
