10 continuous -- missed 6
SSS v= 7751  t=  270
SSS   19    -9     6     8
%P VOLT1   = 7683
%P VOLT2   = 7751
%P S2_SC   =  1.03
%P L_ANG_MAX = 270
S 7748    19    -9     6
B   0 774  123    8
B  10 774  123    8
B  20 759  123    8
B  30 672  123    8
B  40 656  123    8
B  50 660  123    8
B  61 650  123    8
B  71 620  123   13
B  81 592  123   21
B  91 574  123   31
B 101 580  123   40
B 111 600  123   49
B 122 620  123   59
B 132 632  105   69
B 143 632   84   81
B 153 630   57   93
B 163 628   33  105
B 173 675   30  117
B 183 704   30  130
B 193 726   30  143
B 203 738   30  153
B 213 744   30  165
B 223 748   30  177
B 233 750   30  187
B 243 751   30  197
B 253 753   30  207
B 263 753   30  216
pull out 217
B 273 754 -123  225
B 283 754 -123  233
B 293 713 -123  241
B 303 635 -123  247
B 313 629 -123  252
B 323 647 -123  258
B 333 670 -123  264
B 343 690 -123  268
B 353 691 -123  271
B 363 652 -123  271
B 373 606 -123  271
B 383 577 -123  267
B 393 567 -123  255
B 403 577 -123  242
B 413 602 -123  228
B 423 632 -123  212
B 433 655 -123  196
B 443 672 -123  178
B 453 681 -123  159
B 463 682 -123  137
B 473 683 -123  119
B 483 685 -123   97
B 493 690 -123   74
B 503 695 -123   51
B 513 702 -123   27
B 523 708 -123    3
push -11 -10
push out at target
B 533 712   82  -13
B 543 695   82  -24
B 553 619   82  -37
B 563 624   82  -49
B 573 647   82  -60
B 583 671   82  -74
B 593 689   82  -87
B 603 678   82  -98
B 613 635   82 -104
B 623 594   40 -105
B 633 581    0 -105
B 643 645   10 -103
B 653 687   10  -92
B 663 725   10  -80
B 673 744   10  -70
B 683 753   10  -57
B 693 758   10  -45
B 703 761   10  -31
B 713 762   10  -19
B 723 763   10   -6
pb end 
B 733 763   10    7
B 743 764   10   18
SSS v= 7653  t=  270
SSS   19    -9     6    21
%P VOLT1   = 7683
%P VOLT2   = 7657
%P S2_SC   =  1.04
%P L_ANG_MAX = 270
S 7653    19    -9     6
B 754 765  125   29
B 764 766  125   37
B 774 766  125   41
B 784 709  125   45
B 794 691  125   49
B 804 695  125   51
B 814 706  125   52
B 824 717  125   57
B 834 715  125   57
B 844 682  125   60
B 854 640  115   65
B 864 603   98   73
B 874 577   75   84
B 884 572   52   95
B 894 617   31  106
B 904 654   31  117
B 914 702   31  128
B 924 724   31  137
B 934 736   31  148
B 944 741   31  158
B 954 744   31  168
B 964 746   31  177
B 974 747   31  186
B 984 747   31  194
B 994 748   31  202
pull out 209
B 1004 748 -125  209
B 1014 747 -125  217
B 1024 748 -125  224
B 1034 678 -125  230
B 1044 632 -125  233
B 1054 637 -125  239
B 1064 657 -125  244
B 1074 679 -125  248
B 1084 694 -125  250
B 1094 684 -125  251
B 1104 641 -125  251
B 1114 597 -125  251
B 1124 572 -125  241
B 1134 570 -125  227
B 1144 589 -125  213
B 1154 618 -125  198
B 1164 646 -125  182
B 1174 666 -125  165
B 1184 679 -125  143
B 1194 683 -125  125
B 1204 683 -125  107
B 1214 684 -125   85
B 1224 685 -125   63
