10 continusous host with +/- 10 auto adjustment
add 10 to the second shot right away
SSS v= 7723  t=  260
SSS   17     0     3    -1
%P VOLT1   = 7564
%P VOLT2   = 7727
%P S2_SC   =  1.04
%P L_ANG_MAX = 260
S 7727    17     0     3
B   0 772  124   -1
B  10 772  124   -1
B  20 772  124   -1
B  31 746  124   -1
B  41 665  124   -1
B  51 650  124   -1
B  61 645  124   -1
B  72 624  124    0
B  83 594  124    6
B  94 578  124   15
B 105 582  124   24
B 115 600  124   34
B 125 616  124   43
B 136 626  124   53
B 147 626  119   64
B 158 622   97   77
B 168 620   71   90
B 179 623   46  102
B 189 627   31  115
B 199 679   31  129
B 209 713   31  142
B 219 730   31  155
B 229 738   31  167
B 239 742   31  179
B 249 745   31  190
pull out 201
B 259 747 -124  201
B 269 748 -124  211
B 279 750 -124  221
B 289 657 -124  231
B 299 610 -124  238
B 309 619 -124  245
B 319 644 -124  252
B 329 668 -124  258
B 339 682 -124  263
B 349 662 -124  264
B 359 615 -124  264
B 369 580 -124  264
B 379 564 -124  257
B 389 565 -124  245
B 399 584 -124  231
B 409 612 -124  217
B 419 640 -124  202
B 429 660 -124  185
B 439 671 -124  167
B 449 675 -124  148
B 459 676 -124  125
B 469 679 -124  107
B 479 683 -124   85
B 489 690 -124   61
B 499 696 -124   38
B 509 703 -124   14
push -10 -10
push out at target
B 519 709   82  -11
B 529 712   82  -26
B 539 701   82  -37
B 549 670   82  -49
B 559 623   82  -65
B 569 626   82  -78
B 579 649   82  -93
B 589 672   82 -109
B 600 684   82 -124
B 610 656   82 -137
B 620 613   82 -143
B 631 580   40 -144
B 641 567    0 -143
B 651 662   10 -140
B 661 713   10 -129
B 671 735   10 -118
B 681 746   10 -108
B 691 753   10  -97
B 701 756   10  -85
B 711 759   10  -74
B 721 760   10  -64
B 731 761   10  -53
pb end 
B 741 761   10  -43
B 751 762   10  -34
SSS v= 7632  t=  270
SSS   20     0     3   -27
%P VOLT1   = 7564
%P VOLT2   = 7632
%P S2_SC   =  1.05
%P L_ANG_MAX = 270
S 7632    20     0     3
B 762 762  125  -25
B 773 764  125  -18
B 783 763  125  -13
B 793 710  125   -7
B 803 690  125   -3
B 813 694  125    1
B 823 706  125    4
B 833 716  125   11
B 843 714  125   14
B 853 687  125   18
B 863 646  125   24
B 873 616  125   33
B 884 594  125   43
B 895 588  125   57
B 905 600  114   69
B 915 618   93   79
B 925 633   74   91
B 935 647   54  103
B 946 652   31  116
B 956 684   31  130
B 966 702   31  143
B 976 724   31  157
B 986 735   31  169
B 996 739   31  180
B 1006 743   31  191
B 1016 745   31  203
pull out 207
B 1026 746 -125  213
B 1036 747 -125  223
B 1046 641 -125  232
B 1056 606 -125  240
B 1066 619 -125  247
B 1076 643 -125  255
B 1086 668 -125  261
B 1096 679 -125  265
B 1107 651 -125  267
B 1118 595 -125  267
B 1128 569 -125  266
B 1138 560 -125  255
B 1148 567 -125  243
B 1158 591 -125  229
B 1168 619 -125  214
B 1178 646 -125  198
B 1188 663 -125  181
B 1198 672 -125  163
B 1208 675 -125  142
B 1218 676 -125  119
B 1228 679 -125  101
B 1238 685 -125   78
B 1248 691 -125   55
B 1258 697 -125   31
B 1268 704 -125    7
push -11 -10
push out at target
B 1278 708   83  -17
B 1288 709   83  -29
B 1298 621   83  -41
B 1308 605   83  -52
B 1318 626   83  -62
B 1328 653   83  -74
B 1338 675   83  -86
B 1348 684   83  -97
B 1358 653   83 -105
B 1368 608   58 -108
B 1378 579   15 -108
B 1388 655   10 -108
B 1398 704   10 -100
B 1408 731   10  -89
B 1418 744   10  -80
B 1428 750   10  -69
B 1438 754   10  -57
B 1448 757   10  -45
B 1458 758   10  -33
B 1468 759   10  -21
B 1478 759   10   -9
pb end 
B 1488 760   10    2
SSS v= 7611  t=  270
SSS   27     0     0     5
%P VOLT1   = 7564
%P VOLT2   = 7611
%P S2_SC   =  1.05
%P L_ANG_MAX = 270
S 7611    27     0     0
B 1499 761  126   11
B 1509 761  126   19
B 1519 762  126   23
B 1529 718  126   27
B 1539 685  126   30
B 1549 687  126   31
B 1559 697  126   32
B 1569 709  126   36
B 1579 711  126   36
B 1589 687  126   38
B 1599 639  126   43
B 1609 606  126   50
B 1619 578  126   59
B 1629 568  109   70
B 1639 579   90   81
B 1649 600   73   92
B 1659 624   52  103
B 1669 642   35  114
B 1679 677   31  125
B 1689 697   31  138
B 1699 719   31  150
B 1709 730   31  162
B 1719 736   31  172
B 1729 739   31  183
B 1739 741   31  194
B 1749 743   31  203
B 1759 745   31  213
pull out 216
B 1769 745 -126  221
B 1779 746 -126  231
B 1789 747 -126  239
B 1799 677 -126  247
B 1809 619 -126  251
B 1819 622 -126  257
B 1829 643 -126  263
B 1839 667 -126  268
B 1849 686 -126  271
B 1859 685 -126  274
B 1869 646 -126  274
B 1879 598 -126  274
B 1889 571 -126  269
B 1899 563 -126  257
B 1909 575 -126  243
B 1919 602 -126  229
B 1929 631 -126  213
B 1939 654 -126  197
B 1949 669 -126  179
B 1959 676 -126  160
B 1969 677 -126  139
B 1979 677 -126  117
B 1989 681 -126   97
B 1999 687 -126   75
B 2009 692 -126   51
B 2019 700 -126   27
