10 continuous shot; auto add 6 at 2nd shot; auto asjust at 385 by +/- 5
SSS v= 7699  t=  270
SSS    0    54    -9    12
%P VOLT1   = 7564
%P VOLT2   = 7695
%P S2_SC   =  1.04
%P L_ANG_MAX = 270
S 7695     0    54    -9
B   0 768  124   12
B  10 769  124   12
B  20 769  124   12
B  30 769  124   12
B  40 670  124   12
B  50 652  124   12
B  61 654  124   12
B  72 643  124   12
B  82 615  124   16
B  93 586  124   25
B 103 575  124   35
B 113 584  124   44
B 123 601  124   54
B 133 619  119   64
B 145 631   99   76
B 155 630   81   86
B 165 625   64   97
B 175 622   42  110
B 185 643   31  122
B 195 662   31  135
B 205 705   31  148
B 215 725   31  161
B 225 734   31  173
B 235 740   31  184
B 245 743   31  196
B 255 745   31  206
pull out 210
B 265 745 -124  216
B 275 747 -124  227
B 285 724 -124  236
B 295 624 -124  243
B 305 609 -124  250
B 315 627 -124  256
B 325 653 -124  263
B 335 676 -124  268
B 345 684 -124  271
B 355 654 -124  272
B 365 605 -124  272
B 375 574 -124  271
B 385 563 -124  259
B 395 570 -124  246
B 405 595 -124  232
B 415 624 -124  216
B 425 650 -124  200
B 435 667 -124  183
B 445 677 -124  164
B 455 680 -124  142
B 465 680 -124  124
B 475 682 -124  102
B 485 686 -124   80
B 495 692 -124   56
B 505 698 -124   32
B 515 705 -124    8
B 525 710 -124   -9
push -11 -10
push out at target
B 535 701   83  -20
B 545 675   83  -32
B 555 640   83  -48
B 565 610   83  -64
B 575 626   83  -78
B 585 650   83  -94
B 595 673   83 -110
B 605 670   83 -125
B 615 627   83 -136
B 625 588   83 -140
B 635 565   23 -139
B 645 558   10 -139
B 655 559   10 -131
B 665 608   10 -118
B 675 685   10 -105
B 685 721   10  -94
B 695 738   10  -81
B 705 747   10  -68
B 715 752   10  -55
B 725 754   10  -43
pb end 
B 735 756   10  -30
B 745 757   10  -18
SSS v= 7583  t=  281
SSS   -1    54    -9   -16
%P VOLT1   = 7564
%P VOLT2   = 7580
%P S2_SC   =  1.06
%P L_ANG_MAX = 281
S 7580    -1    54    -9
B 756 758  126   -5
B 766 759  126    5
B 776 704  126   14
B 786 684  126   20
B 796 691  126   27
B 806 701  126   32
B 816 712  126   36
B 826 722  126   44
B 836 722  126   47
B 846 701  126   51
B 856 655  126   58
B 866 614  115   68
B 876 587   96   79
B 886 582   77   91
B 896 595   60  103
B 906 616   41  115
B 916 651   31  126
B 926 696   31  138
B 936 719   31  150
B 946 730   31  162
B 956 735   31  173
B 966 739   31  184
B 976 741   31  194
B 986 742   31  204
B 996 743   31  212
pull out 221
B 1006 745 -126  222
B 1016 745 -126  231
B 1026 680 -126  239
B 1036 616 -126  244
B 1046 618 -126  250
B 1056 639 -126  256
B 1066 663 -126  260
B 1076 683 -126  263
B 1086 684 -126  265
B 1096 650 -126  265
B 1106 602 -126  265
B 1116 574 -126  260
B 1126 565 -126  248
B 1136 579 -126  234
B 1146 606 -126  220
B 1156 634 -126  204
B 1166 657 -126  187
B 1176 672 -126  169
B 1186 678 -126  148
B 1196 680 -126  128
B 1206 679 -126  109
B 1216 681 -126   87
B 1226 686 -126   64
B 1236 691 -126   40
B 1246 697 -126   17
B 1256 704 -126   -5
push -10 -10
push out at target
B 1266 702   84  -16
B 1276 682   84  -27
B 1286 650   84  -41
B 1296 611   84  -56
B 1306 604   84  -72
B 1316 626   84  -87
B 1326 651   84 -104
B 1336 670   84 -120
B 1346 649   84 -133
B 1356 605   84 -141
B 1366 570   59 -142
B 1376 553    0 -142
B 1386 617   10 -140
B 1396 690   10 -128
B 1406 722   10 -116
B 1416 737   10 -106
B 1426 746   10  -94
B 1436 750   10  -82
B 1446 753   10  -70
B 1456 754   10  -58
B 1466 755   10  -48
B 1476 756   10  -37
pb end 
B 1486 757   10  -28
B 1496 758   10  -20
SSS v= 7580  t=  286
SSS   -1    44    -9   -20
%P VOLT1   = 7564
%P VOLT2   = 7580
%P S2_SC   =  1.06
%P L_ANG_MAX = 286
S 7583    -1    44    -9
B 1507 758  126  -12
B 1518 759  126   -6
B 1529 729  126    0
B 1540 689  126    5
B 1550 690  126   10
B 1561 700  126   14
B 1571 711  126   23
B 1581 712  126   26
B 1592 687  126   31
B 1603 645  126   39
B 1613 613  126   48
B 1624 597  126   60
B 1634 595  110   72
B 1645 606   93   84
B 1656 620   74   96
