SSS v= 8031  t=  280 
SSS    6     0     0    19
%P VOLT1   = 8096
%P VOLT2   = 8031
%P S2_SC   =  1.00
%P L_ANG_MAX = 280
S 8031     6     0     0
B   0 803  119   19
B  10 803  119   19
B  21 748  119   19
B  31 687  119   19
B  41 678  119   19
B  51 672  119   19
B  62 647  119   19
B  72 614  119   23
B  82 600  119   32
B  92 603  119   41
B 103 620  119   51
B 114 642  118   62
B 124 653  100   73
B 134 654   79   83
B 145 655   57   96
B 157 685   39  111
B 167 713   39  125
B 178 741   39  139
B 188 754   39  154
B 199 760   39  166
B 210 765   39  179
B 220 768   39  192
B 231 770   39  204
pull out 215
B 242 770 -119  215
B 252 770 -119  226
B 262 660 -119  236
B 273 641 -119  243
B 283 660 -119  253
B 294 687 -119  262
B 306 710 -119  269
B 317 692 -119  273
B 328 634 -119  273
B 339 600 -119  273
B 349 585 -119  264
B 359 586 -119  251
B 370 611 -119  235
B 382 646 -119  217
B 393 676 -119  198
B 403 695 -119  179
B 413 702 -119  160
B 423 704 -119  136
B 433 705 -119  118
B 443 708 -119   95
B 454 713 -119   71
B 465 720 -119   45
B 475 728 -119   19
B 486 734 -119   -9
push -15 -15
push out at target
B 496 734   79  -20
B 506 715   79  -33
B 516 682   79  -46
B 527 646   79  -64
B 537 645   79  -80
B 547 667   79  -96
B 558 694   79 -114
B 568 708   79 -132
B 578 680   79 -145
B 588 639   79 -152
B 598 612   47 -153
B 608 598    0 -153
B 618 665    9 -149
B 628 731    9 -137
B 638 758    9 -125
B 648 772    9 -114
B 658 779    9 -102
B 668 784    9  -89
B 678 786    9  -77
B 688 788    9  -67
B 698 789    9  -56
pb end 
SSS v= 8017  t=  280 
SSS    9     0     6    19
%P VOLT1   = 8096
%P VOLT2   = 8017
%P S2_SC   =  1.00
%P L_ANG_MAX = 280
S 8017     9     0     6
B   0 802  119   19
B  10 801  119   19
B  20 740  119   19
B  30 683  119   19
B  40 673  119   19
B  50 662  119   20
B  61 635  119   20
B  71 610  119   27
B  82 599  119   36
B  92 608  119   46
B 102 626  119   55
B 112 643  111   65
B 122 652   93   75
B 132 652   73   86
B 142 648   57   98
B 153 647   39  113
B 164 680   39  127
B 174 725   39  142
B 185 745   39  157
B 196 755   39  171
B 207 761   39  184
B 217 765   39  197
B 227 767   39  210
pull out 217
B 238 769 -119  222
B 248 770 -119  234
B 259 771 -119  245
B 270 742 -119  256
B 280 650 -119  267
B 290 645 -119  275
B 301 666 -119  285
B 311 692 -119  293
B 323 708 -119  301
B 333 680 -119  305
B 344 629 -119  305
B 354 596 -119  305
B 365 582 -119  297
B 375 583 -119  283
B 385 601 -119  271
B 395 630 -119  255
B 405 661 -119  239
B 415 681 -119  223
B 425 695 -119  205
B 436 698 -119  184
B 447 697 -119  161
B 458 701 -119  134
B 469 708 -119  111
B 480 717 -119   85
B 490 725 -119   59
B 500 732 -119   35
B 510 736 -119    9
B 521 738 -119  -14
push -15 -15
push out at target
B 533 726   79  -28
B 544 665   79  -41
B 555 655   79  -57
B 565 677   79  -72
B 577 703   79  -90
B 588 717   79 -105
B 598 687   79 -117
B 608 648   79 -123
B 618 617   39 -123
B 629 616    9 -123
B 639 708    9 -117
B 649 748    9 -105
B 659 766    9  -94
B 669 776    9  -83
B 680 782    9  -69
B 690 785    9  -57
B 700 787    9  -45
B 710 788    9  -33
pb end 
SSS v= 8006  t=  280 
SSS   13     0    19    17
%P VOLT1   = 8096
%P VOLT2   = 8010
%P S2_SC   =  1.00
%P L_ANG_MAX = 280
S 8010    13     0    19
B   0 801  119   17
B  10 801  119   17
B  20 801  119   17
B  30 796  119   17
B  40 700  119   17
B  50 680  119   17
B  60 682  119   17
B  70 670  119   17
B  80 640  119   17
B  90 610  119   23
B 100 596  119   34
B 110 604  119   43
B 120 625  119   54
B 130 645  114   63
B 140 656   95   74
B 150 658   75   85
B 160 657   52   98
B 171 659   39  111
B 181 694   39  127
B 191 720   39  140
B 201 741   39  154
B 211 754   39  168
B 221 760   39  180
B 231 764   39  193
B 242 767   39  207
pull out 211
B 254 770 -119  220
B 265 766 -119  232
B 276 648 -119  243
B 286 634 -119  251
B 296 653 -119  260
B 306 679 -119  269
B 316 702 -119  276
B 326 695 -119  282
B 337 650 -119  283
B 347 606 -119  283
B 359 585 -119  277
B 370 583 -119  263
B 381 601 -119  247
B 392 636 -119  230
B 404 669 -119  211
B 414 690 -119  192
B 424 700 -119  174
B 435 702 -119  151
B 446 703 -119  127
B 456 706 -119  105
B 467 711 -119   81
B 479 719 -119   51
B 490 727 -119   25
B 500 733 -119   -1
push -15 -15
push out at target
B 511 735   79  -17
B 523 715   79  -31
B 533 679   79  -45
B 543 644   79  -61
B 554 656   79  -76
B 564 682   79  -94
B 575 705   79 -112
B 586 704   79 -128
B 596 664   79 -138
B 606 624   72 -142
B 616 616   22 -142
B 626 630    9 -142
B 637 710    9 -131
B 647 744    9 -119
B 658 766    9 -107
B 668 776    9  -94
B 678 781    9  -82
B 688 784    9  -69
B 699 786    9  -56
B 709 787    9  -44
pb end 
SSS v= 8000  t=  280 
SSS   19     0    19    17
%P VOLT1   = 8096
%P VOLT2   = 8000
%P S2_SC   =  1.00
%P L_ANG_MAX = 280
S 8000    19     0    19
B   0 800  120   17
B  10 800  120   17
B  20 799  120   17
B  30 725  120   17
B  41 680  120   17
B  52 675  120   17
B  62 663  120   17
B  72 638  120   18
B  82 611  120   25
B  92 601  120   34
B 102 607  120   43
B 112 625  120   54
B 122 641  115   63
B 132 652   96   74
B 142 654   74   86
B 152 654   53   98
B 162 661   40  111
B 173 689   40  126
B 184 724   40  141
B 194 743   40  155
B 205 754   40  170
B 217 759   40  184
B 228 763   40  198
B 238 766   40  211
pull out 213
B 249 767 -120  223
B 259 752 -120  235
B 269 650 -120  244
B 280 635 -120  252
B 290 655 -120  263
B 301 683 -120  271
B 311 703 -120  278
B 322 690 -120  283
B 332 640 -120  284
B 342 602 -120  283
B 353 584 -120  279
B 363 582 -120  265
B 373 599 -120  251
B 383 626 -120  235
B 394 659 -120  219
B 405 684 -120  199
B 415 697 -120  180
B 427 701 -120  156
B 438 702 -120  131
B 449 705 -120  109
B 459 710 -120   85
B 469 717 -120   61
B 479 724 -120   37
B 490 731 -120   11
B 502 734 -120  -14
push -15 -15
push out at target
B 512 726   80  -25
B 522 694   80  -37
B 533 652   80  -53
B 544 647   80  -69
B 554 670   80  -85
B 564 693   80 -101
B 575 708   80 -118
B 585 680   80 -131
B 596 637   80 -138
B 607 604   42 -139
B 617 593    0 -139
B 628 655   10 -133
B 638 699   10 -119
B 649 745   10 -105
B 659 765   10  -94
B 669 773   10  -81
B 679 779   10  -68
B 689 782   10  -55
B 699 784   10  -43
B 710 786   10  -29
pb end 
SSS v= 7996  t=  280 
SSS   23     0    19    15
%P VOLT1   = 8096
%P VOLT2   = 7996
%P S2_SC   =  1.00
%P L_ANG_MAX = 280
S 7996    23     0    19
B   0 800  120   15
B  10 798  120   15
B  21 782  120   15
B  31 694  120   15
B  41 679  120   15
B  51 677  120   15
B  61 661  120   15
B  71 633  120   17
B  81 602  120   25
B  91 596  120   35
B 101 607  120   44
B 111 628  120   54
B 121 646  113   65
B 131 655   94   75
B 141 655   74   87
B 151 660   53   99
B 161 668   40  112
B 171 703   40  126
B 181 729   40  139
B 191 746   40  153
B 201 754   40  166
B 211 759   40  178
B 221 762   40  190
B 231 765   40  203
pull out 213
B 241 766 -120  213
B 252 767 -120  225
B 262 669 -120  236
B 272 633 -120  243
B 283 647 -120  253
B 294 675 -120  263
B 304 700 -120  270
B 315 702 -120  275
B 325 656 -120  277
B 336 608 -120  277
B 346 588 -120  275
B 357 581 -120  263
B 367 593 -120  247
B 377 619 -120  233
B 388 651 -120  216
B 399 679 -120  198
B 409 694 -120  179
B 419 699 -120  159
B 429 701 -120  135
B 439 703 -120  116
B 450 707 -120   93
B 460 712 -120   67
B 471 720 -120   41
B 481 726 -120   17
B 491 732 -120   -9
