L: in lcd_mode_selection
L: t_push=    83
L: in lcd_bat_adj
L: t_push=    82
%Initializing ...
% batt1   = 7.86v
% batt2   = 8.20v
% mode    = 0   
% time    = 43306   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%Initializing ...
% batt1   = 7.86v
% batt2   = 8.20v
% mode    = 0   
% time    = 43307   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
% * usercontrol 
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
SSS vs= 1.00  t=  186
%P VOLT1   = 7860
%P VOLT2   = 8195
%P S2_SC   =  1.00
%P L_ANG_MAX = 186
B   0 799   70    0
B  10 7994   70    0
B  21 7994   70    0
B  31 7883   70    0
B  41 7844   70    0
B  51 7861   70    0
B  61 7878   70    0
B  71 7535   70    0
B  81 7577   70    0
B  91 7522   70    7
B 101 7500   70   14
B 111 7430   70   23
B 121 7465   70   31
B 131 7428   70   40
B 141 7453   70   49
B 151 7455   70   59
B 161 7411   30   69
B 171 7463   30   80
B 181 7505   30   91
B 191 7543   30  102
*** dtMore = 30 , A = 109
B 201 7607   30  112
B 211 7621   30  123
B 221 7736   30  132
pull out 139
B 232 7847 -100  142
B 243 7748 -100  152
B 254 7625 -100  160
B 264 7602 -100  167
B 274 7661 -100  175
B 284 7221 -100  180
B 295 7190 -100  185
*** amax = 186  vhit = 100
B 307 7413 -100  185
B 317 7317 -100  185
B 327 7341 -100  181
B 337 7162 -100  169
B 347 7195 -100  153
B 358 7054 -100  135
B 368 6976 -100  119
B 379 7032 -100   99
B 390 7162 -100   78
B 400 7412 -100   55
B 412 7449 -100   30
B 422 7459 -100    6
push -11 -10
push out at target
B 432 7507   80  -14
B 442 7502   80  -25
B 452 7459   80  -37
B 462 7448   80  -53
B 472 7459   80  -67
B 482 7514   80  -82
B 493 7396   80  -99
B 503 7172   80 -115
B 513 7089   80 -127
B 523 7338   80 -134
B 533 7392   48 -135
B 543 7368    0 -135
B 554 7334   10 -133
B 565 7209   10 -118
B 577 7182   10 -101
B 587 7224   10  -89
B 597 7669   10  -74
B 607 7857   10  -61
B 617 7861   10  -45
B 628 7899   10  -30
B 638 7902   10  -15
pb end 
SSS vs= 1.00  t=  186
%P VOLT1   = 7860
%P VOLT2   = 8192
%P S2_SC   =  1.00
%P L_ANG_MAX = 186
B   0 799   70   -1
B  11 7991   70   -1
B  21 7992   70   -1
B  31 7896   70   -1
B  41 7846   70   -1
B  51 7857   70   -1
B  61 7882   70   -1
B  71 7601   70   -1
B  81 7557   70   -1
B  91 7561   70    7
B 101 7406   70   15
B 111 7398   70   25
B 121 7359   70   35
B 131 7290   70   43
B 141 7314   70   53
B 151 7391   57   63
B 161 7524   30   74
B 171 7524   30   84
B 181 7570   30   96
B 191 7602   30  107
*** dtMore = 25 , A = 111
B 201 7617   30  118
B 211 7696   30  127
pull out 135
B 221 7844 -100  137
B 232 7847 -100  147
B 242 7839 -100  156
B 253 7638 -100  165
B 263 7622 -100  173
B 273 7672 -100  180
B 283 7060 -100  186
B 293 7090 -100  190
B 303 7227 -100  191
B 313 7383 -100  191
B 323 7323 -100  191
*** amax = 191  vhit = 98
B 333 7336  -98  181
B 343 7029  -98  167
B 353 7089  -98  151
B 364 6988  -98  133
B 375 7085  -98  113
B 386 7228  -98   91
B 397 7236  -98   70
B 407 7447  -98   48
B 418 7486  -98   22
B 428 7498  -98   -3
push -11 -10
push out at target
B 439 7548   80  -18
B 449 7527   80  -29
B 461 7478   80  -46
B 471 7460   80  -61
B 482 7513   80  -77
B 492 7106   80  -91
B 503 7142   80 -107
B 514 7284   80 -121
B 524 7421   80 -129
B 534 7358   56 -130
B 544 7365    0 -131
B 554 7271    0 -130
B 564 7400   10 -118
B 574 7213   10 -106
B 585 7768   10  -95
B 596 7854   10  -81
B 606 7858   10  -69
B 617 7896   10  -57
B 627 7902   10  -44
B 638 7902   10  -33
B 648 7905   10  -22
pb end 
SSS vs= 1.00  t=  186
%P VOLT1   = 7801
%P VOLT2   = 8178
%P S2_SC   =  1.01
%P L_ANG_MAX = 186
B   0 795   70    2
B  10 7953   70    2
B  21 7933   70    2
B  32 7816   70    2
B  42 7805   70    2
B  52 7769   70    2
B  63 7754   70    2
B  73 7452   70    3
B  83 7496   70   11
B  94 7473   70   20
B 104 7432   70   30
B 114 7268   70   39
B 126 7322   70   50
B 137 7333   70   61
B 148 7449   30   73
B 158 7549   30   85
B 168 7582   30   96
B 179 7609   30  107
*** dtMore = 31 , A = 111
B 190 7726   30  119
B 202 7841   30  129
B 212 7844   30  139
pull out 140
B 222 7845 -100  148
B 232 7848 -100  158
B 243 7676 -100  166
B 254 7615 -100  171
B 264 7654 -100  179
B 274 7154 -100  186
B 285 7197 -100  189
B 295 7365 -100  192
B 307 7375 -100  192
*** amax = 192  vhit = 97
B 318 7272  -97  191
B 329 7336  -97  183
B 339 7234  -97  169
B 351 6952  -97  149
B 361 7019  -97  133
B 372 7014  -97  115
B 382 7260  -97   95
B 392 7275  -97   75
B 402 7377  -97   52
B 412 7480  -97   30
B 422 7488  -97    7
push -10 -10
push out at target
B 432 7504   80  -13
B 442 7537   80  -23
B 452 7492   80  -37
B 462 7411   80  -51
B 472 7478   80  -65
B 483 7533   80  -80
B 493 7475   80  -95
B 504 7333   80 -111
B 514 7235   80 -122
B 524 7324   80 -126
B 534 7385   23 -126
B 546 7330   10 -126
B 556 7484   10 -116
B 567 7214   10 -102
B 577 7220   10  -89
B 588 7240   10  -75
B 599 7817   10  -61
B 610 7858   10  -46
B 621 7898   10  -30
B 631 7899   10  -17
pb end 
SSS vs= 1.01  t=  186
%P VOLT1   = 7801
%P VOLT2   = 8167
%P S2_SC   =  1.01
%P L_ANG_MAX = 186
B   0 794   70   11
B  10 7947   70    8
B  20 7947   70    5
B  30 7947   70    2
B  40 7838   70    0
B  50 7791   70   -1
B  60 7802   70   -1
B  70 7827   70   -1
B  80 7420   70   -1
B  90 7482   70   -1
B 100 7438   70    7
B 111 7312   70   17
B 121 7287   70   27
B 131 7309   70   37
B 141 7330   70   47
B 151 7375   70   57
B 163 7484   30   69
B 173 7482   30   81
B 184 7536   30   94
B 194 7585   30  107
*** dtMore = 19 , A = 113
B 204 7604   30  118
B 215 7580   30  128
pull out 132
B 225 7800   10  139
B 235 7809   10  149
B 245 7858   10  159
B 256 7864   10  169
B 266 7867   10  178
B 276 7902   10  186
B 286 7903   10  193
B 296 7905   10  199
B 306 7941   10  206
B 316 7941   10  211
B 326 7940   10  215
B 336 7941   10  220
B 346 7943   10  224
B 356 7941   10  227
B 366 7941   10  229
B 376 7941   10  231
B 386 7943   10  232
B 396 7941   10  233
B 406 7944   10  233
B 416 7943   10  233
B 427 7943   10  233
B 437 7943   10  233
B 448 7943   10  233
B 458 7943   10  233
B 468 7943 -100  233
B 478 7944 -100  233
B 488 7839 -100  233
*** amax = 233  vhit = 77
B 498 7740  -77  232
B 508 7751  -77  232
B 518 7792  -77  230
B 528 7347  -77  227
B 538 7516  -77  221
B 548 7517  -77  215
B 558 7707  -77  208
B 568 7658  -77  199
B 578 7594  -77  186
B 588 7551  -77  170
B 598 7519  -77  153
B 608 7569  -77  135
B 619 7444  -77  115
B 630 7437  -77   93
B 641 7449  -77   71
B 651 7557  -77   49
B 661 7590  -77   27
B 671 7590  -77    3
push -11 -10
push out at target
B 681 7665   80  -14
B 691 7653   80  -24
B 703 7612   80  -37
B 713 7548   80  -51
B 724 7623   80  -64
B 734 7139   80  -77
B 745 7180   80  -91
B 755 7285   80 -103
B 765 7421   80 -111
B 775 7345   56 -113
B 785 7381    6 -113
B 796 7314   10 -113
B 806 7438   10  -99
B 817 7314   10  -87
B 827 7763   10  -75
B 838 7850   10  -61
B 849 7855   10  -47
B 859 7895   10  -33
B 869 7896   10  -21
B 879 7900   10   -9
pb end 
SSS vs= 1.01  t=  186
%P VOLT1   = 7801
%P VOLT2   = 8164
%P S2_SC   =  1.01
%P L_ANG_MAX = 186
B   0 794   70    2
B  10 7944   70   -1
B  20 7909   70   -1
B  30 7797   70   -1
B  40 7792   70   -1
B  50 7814   70   -1
B  60 7430   70   -1
B  70 7413   70   -1
B  80 7414   70    3
B  90 7376   70   11
B 100 7353   70   22
B 110 7292   70   31
B 120 7276   70   41
B 130 7300   70   51
B 140 7378   64   62
B 150 7447   30   73
B 161 7445   30   85
B 171 7550   30   98
B 182 7589   30  110
*** dtMore = 20 , A = 114
B 194 7607   30  124
B 204 7617   30  133
pull out 135
B 215 7836 -100  145
B 225 7640 -100  155
B 235 7584 -100  164
B 246 7626 -100  175
B 256 7008 -100  182
B 266 7030 -100  188
B 277 7118 -100  191
B 287 7327 -100  191
*** amax = 191  vhit = 98
B 298 7309  -98  191
B 308 7289  -98  179
B 318 6991  -98  165
B 328 6870  -98  150
B 338 6939  -98  132
B 348 6962  -98  115
B 358 7177  -98   96
B 368 7187  -98   75
B 379 7401  -98   53
B 389 7474  -98   29
B 399 7484  -98    6
push -11 -10
push out at target
B 410 7498   80  -15
B 421 7496   80  -27
B 433 7472   80  -43
B 443 7401   80  -59
B 453 7477   80  -73
B 463 7388   80  -87
B 473 7433   80 -102
B 483 7217   80 -118
B 493 7404   80 -129
B 503 7315   80 -134
B 513 7340   31 -134
B 523 7112   10 -134
B 533 7290   10 -129
B 543 7197   10 -117
B 553 7194   10 -103
B 563 7224   10  -93
B 573 7698   10  -79
B 583 7847   10  -65
B 593 7854   10  -53
B 603 7855   10  -38
B 613 7894   10  -25
pb end 
SSS vs= 1.01  t=  186
%P VOLT1   = 7801
%P VOLT2   = 8160
%P S2_SC   =  1.01
%P L_ANG_MAX = 186
B   0 794   70   -1
B  10 7946   70   -1
B  21 7946   70   -1
B  31 7862   70   -1
B  42 7800   70   -1
B  52 7810   70   -1
B  62 7819   70   -1
B  72 7514   70   -1
B  82 7491   70    2
B  92 7531   70    9
B 102 7467   70   18
B 112 7458   70   27
B 122 7328   70   37
B 132 7280   70   47
B 142 7297   70   56
B 152 7340   30   67
B 162 7480   30   78
B 172 7494   30   89
B 182 7561   30  101
*** dtMore = 23 , A = 113
B 193 7558   30  113
B 204 7609   30  125
B 214 7617   30  134
pull out 135
B 224 7834 -100  144
B 234 7589 -100  154
B 244 7547 -100  164
B 254 7623 -100  172
B 264 7076 -100  179
B 275 7097 -100  186
B 285 7264 -100  188
B 295 7296 -100  188
*** amax = 188  vhit = 99
B 305 7246  -99  188
B 315 7227  -99  179
B 325 7029  -99  164
B 335 7081  -99  148
B 345 6902  -99  131
B 355 6989  -99  115
B 366 7032  -99   94
B 376 7291  -99   75
B 386 7364  -99   53
B 396 7364  -99   30
B 407 7480  -99    6
push -11 -10
push out at target
B 418 7498   80  -16
B 429 7527   80  -29
B 439 7479   80  -43
B 449 7404   80  -59
B 460 7432   80  -74
B 470 7489   80  -91
B 481 7429   80 -107
B 491 7354   80 -123
B 501 7260   80 -135
B 511 7321   80 -140
B 521 7389   31 -141
B 531 7391    0 -141
B 541 7373   10 -132
B 551 7134   10 -118
B 562 7198   10 -102
B 572 7224   10  -89
B 583 7736   10  -73
B 595 7850   10  -55
B 605 7853   10  -39
B 616 7888   10  -23
B 626 7892   10   -8
pb end 
SSS vs= 1.01  t=  186
%P VOLT1   = 7801
%P VOLT2   = 8157
%P S2_SC   =  1.01
%P L_ANG_MAX = 186
B   0 794   70   -1
B  10 7943   70   -1
B  21 7944   70   -1
B  32 7853   70   -1
B  42 7799   70   -1
B  52 7807   70   -1
B  62 7820   70   -1
B  73 7407   70   -1
B  83 7515   70    2
B  93 7476   70    9
B 103 7482   70   18
B 113 7341   70   27
B 123 7363   70   36
B 133 7353   70   46
B 143 7333   70   56
B 153 7338   37   66
B 163 7408   30   77
B 173 7498   30   88
B 183 7566   30  100
B 193 7557   30  111
*** dtMore = 24 , A = 112
B 204 7571   30  122
