L: in lcd_mode_selection
L: t_push=   103
L: in lcd_bat_adj
L: t_push=    74
%Initializing ...
% batt1   = 8.15v
% batt2   = 8.11v
% mode    = 0   
% time    = 15351   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%Initializing ...
% batt1   = 8.15v
% batt2   = 8.11v
% mode    = 0   
% time    = 15351   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
% * usercontrol 
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
SSS vs= 1.00  t=  210
%P VOLT1   = 8155
%P VOLT2   = 8111
%P S2_SC   =  0.98
%P L_ANG_MAX = 210
B   0 813   78   -2
B  11 8136   78   -2
B  22 8007   78   -2
B  32 7954   78   -1
B  42 7978   78   -1
B  53 8011   78   -1
B  63 7543   78   -1
B  73 7733   78   -1
B  83 7692   78    5
B  93 7715   78   15
B 103 7469   78   25
B 115 7154   78   37
B 125 7174   78   47
B 135 7235   78   56
B 145 7355   76   64
B 156 7353   66   74
B 166 7453   56   83
B 176 7484   49   93
B 186 7555   49  103
B 196 7529   49  113
B 206 7514   49  122
*** dtMore = 26 , A = 128
B 216 7533   49  131
B 226 7755   49  139
B 236 7798   49  148
pull out 151
B 247 7800  -88  157
B 257 7837  -88  166
B 268 7821  -88  177
B 280 7705  -88  186
B 290 7717  -88  192
B 301 7742  -88  200
B 312 7302  -88  206
B 322 7300  -88  210
*** amax = 211  vhit = 89
B 332 7397  -87  211
B 342 7540  -87  211
B 352 7491  -87  209
B 362 7473  -87  195
B 373 7117  -87  178
B 383 7191  -87  162
B 394 7093  -87  143
B 404 7178  -87  125
B 415 7391  -87  103
B 425 7391  -87   80
B 435 7604  -87   57
B 445 7643  -87   34
B 455 7656  -87    8
B 465 7671  -87  -11
push -11 -10
push out at target
B 475 7668   78  -23
B 485 7612   78  -35
B 496 7615   78  -53
B 506 7653   78  -66
B 516 7702   78  -81
B 526 7281   78  -97
B 536 7466   78 -110
B 546 7368   78 -119
B 556 7541   63 -123
