SSS v= 8136  t=  240 
SSS   -6     6    12     2
%P VOLT1   = 8037
%P VOLT2   = 8136
%P S2_SC   =  0.98
%P L_ANG_MAX = 240
S 8136    -6     6    12
B   0 813  117    2
B  11 813  117    2
B  21 813  117    2
B  31 813  117    2
B  43 717  117    2
B  53 691  117    2
B  63 695  117    2
B  73 697  117    2
B  83 677  117    2
B  93 642  117    9
B 103 615  117   19
B 113 608  117   29
B 123 621  117   39
B 133 644  117   49
B 143 663  117   59
B 153 671   98   69
B 163 667   73   80
B 173 659   49   92
B 183 662   29  105
B 193 674   29  118
B 203 720   29  130
B 213 758   29  145
B 223 774   29  157
B 233 782   29  168
pull out 176
B 243 786 -117  180
B 253 789 -117  191
B 263 791 -117  201
B 273 730 -117  211
B 284 650 -117  221
B 294 654 -117  229
B 304 679 -117  237
B 314 704 -117  243
B 325 713 -117  248
B 336 680 -117  249
B 346 636 -117  249
B 356 608 -117  248
B 367 598 -117  234
B 377 609 -117  221
B 388 637 -117  205
B 398 669 -117  189
B 408 692 -117  173
B 418 710 -117  154
B 429 716 -117  134
B 440 716 -117  111
B 451 715 -117   87
B 461 720 -117   62
B 471 725 -117   40
B 482 734 -117   12
push -11 -10
push out at target
B 493 744   78  -13
B 504 752   78  -27
B 514 781   78  -39
B 525 738   78  -54
B 536 702   78  -66
B 546 709   78  -81
B 557 726   78  -96
B 569 732   78 -112
B 579 698   78 -123
B 590 656   78 -127
B 600 629   19 -127
B 610 620    9 -127
B 621 712    9 -118
B 631 756    9 -105
B 643 783    9  -94
B 653 793    9  -81
B 664 798    9  -68
B 674 801    9  -55
B 685 803    9  -43
B 696 804    9  -29
pb end 
SSS v= 8094  t=  240 
SSS   -8     6     6    25
%P VOLT1   = 8037
%P VOLT2   = 8094
%P S2_SC   =  0.99
%P L_ANG_MAX = 240
S 8094    -8     6     6
B   0 809  118   25
B  11 809  118   25
B  21 794  118   25
B  31 699  118   25
B  41 673  118   25
B  51 668  118   25
B  61 659  118   25
B  71 645  118   25
B  81 629  118   30
B  91 617  118   37
B 101 615  118   45
B 111 620  118   53
B 121 630  116   61
B 131 638   96   70
B 141 643   76   79
B 151 646   54   89
B 161 646   29  100
B 171 699   29  111
B 181 741   29  123
B 191 763   29  134
B 201 773   29  142
B 211 780   29  153
B 221 783   29  163
B 231 786   29  173
B 241 787   29  181
B 251 789   29  191
pull out 197
B 261 790 -118  200
B 271 790 -118  207
B 281 684 -118  213
B 291 654 -118  217
B 301 667 -118  222
B 312 692 -118  227
B 322 717 -118  230
B 332 731 -118  232
B 342 710 -118  232
B 352 662 -118  232
B 362 627 -118  230
B 372 608 -118  218
B 383 612 -118  203
B 393 636 -118  187
B 403 665 -118  171
B 413 691 -118  153
B 423 708 -118  136
B 433 716 -118  117
B 443 716 -118   97
B 453 716 -118   75
B 464 717 -118   50
B 474 722 -118   25
B 484 730 -118    1
push -10 -10
push out at target
B 494 737   79  -19
B 504 731   79  -31
B 514 665   79  -41
B 524 659   79  -54
B 534 682   79  -64
B 544 706   79  -79
B 554 726   79  -92
