  

%Initializing ... 
%  batt 7.62v 7.76v 
% * pre-auton 
%    pre-initializer 
%P L_ANGM = 210
%P L_ANG1 = 50
%P L_ANG2 = 100
%P S_V    = 45
%P S_ANG1 = 10
%P S_ANG2 = 30
%P M_V    = 60
%P M_ANG1 = 40
%P M_ANG2 = 90
in loop, waiting for press
L: right pushed
in loop, waiting for press
L: in lcd_mode_selection
L: t_push=    90
L: in lcd_bat_adj
L: t_push=   180
%Initializing ...
% batt1   = 7.62v
% batt2   = 7.76v
% mode    = 0   
% time    = 21151   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%Initializing ...
% batt1   = 7.62v
% batt2   = 7.76v
% mode    = 0   
% time    = 21152   
% Wheel_L =    0   
% Wheel_R =    0   
% Bat     =    0   
% Intaker =    0   
% Gryo    =    0   
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
% * usercontrol 
%    startTask somnus_monitor
%    startTask somnus_bat
%    startTask somnus_feeder
%    startTask somnus_remote
SSS vs= 1.00  t=  170
%P VOLT1   = 7623
%P VOLT2   = 7762
%P S2_SC   =  1.04
%P L_ANG_MAX = 170
B   0 767   62    0
B  10 7677   62    0
B  21 7645   62    0
B  32 7563   62    0
B  42 7563   62    0
B  52 7576   62    0
B  62 7591   62    0
B  72 7601   62    0
B  84 7607   62    0
B  94 7591   62    0
B 104 7531   62    1
B 114 7479   62    8
B 124 7456   62   16
B 134 7461   62   25
B 144 7487   62   33
B 154 7510   62   40
B 164 7526   62   48
B 175 7530   62   56
B 185 7521   62   65
B 195 7510   58   72
B 205 7515   60   81
B 215 7523   60   90
B 225 7526   42   98
B 235 7529   41  107
B 245 7571   20  115
*** dt = 18 , A = 121 , rpm = 140 
B 256 7595   16  124
B 266 7626   16  133
pull out 137
B 276 7642 -104  141
B 286 7650 -104  148
B 296 7484 -104  155
B 307 7408 -104  163
B 318 7437 -104  170
B 328 7488 -104  175
B 339 7531 -104  178
B 350 7492 -104  179
B 360 7377 -104  179
B 370 7284 -104  179
*** amax = 179  vhit = 100
B 381 7246 -104  171
B 392 7254 -104  156
B 402 7306 -104  141
B 414 7387 -104  123
B 424 7446 -104  105
B 434 7478 -104   87
B 445 7487 -104   67
B 455 7487 -104   45
B 466 7491 -104   21
B 476 7501 -104   -2
push -10 -10
push out at target
B 487 7512   83  -18
B 498 7499   83  -30
B 508 7414   83  -43
B 520 7369   83  -58
B 530 7418   83  -72
B 541 7471   83  -86
B 551 7515   83  -99
B 561 7507   83 -113
B 571 7398   83 -122
B 582 7296   67 -125
B 592 7247   13 -125
B 602 7289   10 -125
B 612 7329   10 -113
B 622 7488   10  -99
B 633 7572   10  -85
B 643 7612   10  -71
