1/5/17: perfect grab and dump; 
jeff messed up one_dump code
joce video taped the move
wheel_init
pre_auton
%  batt 8.15v 8.15v
L: t_push=   200
usercontrol
% -- Start auto_a
K1 1087  360  100  550
% -- Curved motion to grab cube
WHEEL_MONITOR=MONITOR
W   20  360  100  548
R   20    1    1   -2
W   40  360  100  549
R   40    1    1   -1
W   60  360  100  550
R   60    2    1    0
W   80  360  101  551
R   80    5    3    1
W  100  361  102  552
R  100    9    6    2
W  120  362  103  553
R  120   14   10    3
W  140  363  104  553
R  140   19   16    3
W  160  364  106  553
R  160   25   23    3
W  180  366  109  552
R  180   33   31    2
W  200  368  111  550
R  200   42   42    0
W  220  370  114  549
R  220   51   53   -1
W  240  372  117  545
R  240   61   65   -5
W  260  374  121  541
R  260   71   78   -9
W  280  377  124  536
R  280   82   92  -14
W  300  380  128  532
R  300   93  107  -18
W  320  383  132  528
R  320  107  122  -22
W  340  385  136  525
R  340  119  137  -25
W  360  389  140  521
R  360  132  153  -29
W  380  392  144  517
R  380  145  169  -33
W  400  395  148  513
R  400  159  186  -37
W  420  398  152  509
R  420  173  203  -41
W  440  402  156  505
R  440  187  220  -45
W  460  406  161  501
R  460  203  238  -49
W  480  409  165  496
R  480  217  256  -54
W  500  413  170  492
R  500  233  275  -58
W  520  417  174  488
R  520  248  293  -62
W  540  421  179  484
R  540  263  311  -66
W  560  425  183  481
R  560  279  329  -69
W  580  429  187  477
R  580  295  347  -73
W  600  433  192  473
R  600  311  366  -77
W  620  437  197  469
R  620  328  385  -81
W  640  441  201  465
R  640  344  403  -85
W  660  445  205  461
R  660  361  422  -89
W  680  450  210  457
R  680  377  441  -93
W  700  454  214  454
R  700  394  461  -96
W  720  458  219  450
R  720  411  479 -100
W  740  463  223  447
R  740  427  498 -103
W  760  467  227  444
R  760  443  517 -106
W  780  471  232  440
R  780  459  536 -110
W  800  476  236  436
R  800  475  555 -114
W  820  480  240  432
R  820  492  574 -118
W  840  485  244  429
R  840  508  593 -121
W  860  489  249  426
R  860  525  611 -124
W  880  494  253  423
R  880  541  630 -127
W  900  498  257  421
R  900  557  648 -129
W  920  503  261  418
R  920  573  667 -132
W  940  507  265  415
R  940  590  685 -135
W  960  512  269  413
R  960  607  703 -137
W  980  516  273  410
R  980  623  722 -140
W 1000  521  277  407
R 1000  639  739 -143
W 1020  525  281  406
R 1020  655  757 -144
W 1040  529  284  404
R 1040  671  773 -146
% -- Lifting up arm
W 1060  533  287  402
R 1060  685  787 -148
W 1080  537  290  400
R 1080  697  800 -150
W 1100  540  293  397
R 1100  708  813 -153
W 1120  543  296  394
R 1120  719  825 -156
W 1140  546  298  387
R 1140  727  837 -163
W 1160  548  300  382
R 1160  734  847 -168
W 1180  550  301  379
R 1180  741  856 -171
W 1200  552  303  378
R 1200  747  864 -172
W 1220  554  304  378
R 1220  755  871 -172
W 1240  556  306  378
R 1240  760  877 -172
W 1260  557  307  377
R 1260  765  883 -173
W 1280  559  308  378
R 1280  771  888 -172
W 1300  560  309  378
R 1300  775  893 -172
W 1320  561  310  379
R 1320  779  898 -171
W 1340  562  311  379
R 1340  782  902 -171
W 1360  563  311  378
R 1360  785  905 -172
W 1380  563  312  378
R 1380  787  907 -172
K2 1398  563  312  378
% -- rotate_by
W 1400  564  312  378
R 1400  789  910 -172
W 1420  564  313  378
R 1420  791  911 -172
W 1440  565  313  378
R 1440  793  913 -172
W 1460  565  313  378
R 1460  794  915 -172
W 1480  566  314  377
R 1480  793  918 -173
W 1500  566  314  373
R 1500  791  923 -177
W 1520  566  314  367
R 1520  787  927 -183
W 1540  566  314  359
R 1540  783  933 -191
W 1560  566  314  349
R 1560  777  939 -201
W 1580  567  314  337
R 1580  772  945 -213
W 1600  567  314  323
R 1600  767  951 -227
W 1620  567  314  308
R 1620  759  959 -242
W 1640  566  314  296
R 1640  748  966 -254
W 1660  566  314  283
R 1660  735  975 -267
W 1680  566  314  268
R 1680  725  985 -282
W 1700  565  313  247
R 1700  715  994 -303
W 1720  566  314  225
R 1720  707 1003 -325
W 1740  565  313  202
R 1740  697 1011 -348
W 1760  565  313  178
R 1760  689 1020 -372
W 1780  566  313  154
R 1780  679 1031 -396
W 1800  566  314  127
R 1800  671 1041 -423
W 1820  566  314  102
R 1820  663 1051 -448
W 1840  566  314   73
R 1840  653 1062 -477
W 1860  567  314   42
R 1860  643 1073 -508
W 1880  567  314    9
