THIS IS A GOOD ONE

wheel_init
pre_auton
%  batt 7.80v 8.19v
L: t_push=    70
usercontrol
% -- Start auto_a
DUMP_MONITOR=START
DUMP_MONITOR=MONITOR
WHEEL_MONITOR=MONITOR
D   20 -45   85   16
W   20 -380   80  550
R   20    0    2    0
D   40 -45   84   -8
W   40 -380   80  550
R   40    0    2    0
D   60 -45   85    8
W   60 -380   80  550
R   60    0    2    0
D   80 -45   85    0
W   80 -380   80  550
R   80    0    2    0
D  100 -45   85    0
W  100 -380   80  550
R  100    0    2    0
D  120 -45   85    0
W  120 -380   80  550
R  120    0    2    0
D  140 -45   85    0
W  140 -380   80  550
R  140    0    2    0
D  160 -45   84   -8
W  160 -380   80  550
R  160    0    2    0
D  180 -45   86   16
W  180 -380   80  550
R  180    0    2    0
D  200 -45   83  -25
W  200 -380   80  550
R  200    0    2    0
D  220 -45   68 -125
W  220 -380   80  550
R  220    0    2    0
D  240 -45   52 -133
W  240 -380   80  550
R  240    0    2    0
D  260 -45   33 -158
W  260 -380   80  550
R  260    0    2    0
D  280 -45   14 -158
W  280 -380   80  550
R  280    0    2    0
D  300 -45   -3 -141
W  300 -380   80  550
R  300    0    2    0
D  320   0  -15 -100
W  320 -380   79  550
R  320   -2    2    0
D  340   0  -15    0
W  340 -380   79  550
R  340   -2    2    0
D  360   0  -16   -8
W  360 -380   79  550
R  360   -2    2    0
D  380   0  -15    8
W  380 -380   79  550
R  380   -2    2    0
D  400   0  -17  -16
W  400 -380   79  550
R  400   -2    2    0
D  420   0  -18   -8
W  420 -380   79  550
R  420   -1    2    0
D  440   0  -18    0
W  440 -380   79  550
R  440   -1    2    0
D  460   0  -18    0
W  460 -380   79  550
R  460   -1    2    0
D  480   0  -18    0
W  480 -380   79  550
R  480   -1    2    0
K1  499 -380   79  550
% -- Curved motion to grab cube
D  500   0  -18    0
W  500 -380   79  550
R  500   -1    2    0
D  520   0  -18    0
W  520 -380   79  550
R  520   -1    2    0
D  540   0  -18    0
W  540 -380   80  550
R  540    0    2    0
D  560   0  -18    0
W  560 -379   80  550
R  560    2    5    0
D  580   0  -21  -25
W  580 -378   82  550
R  580    6   10    0
D  600   0  -17   33
W  600 -377   83  548
R  600   10   18   -2
D  620   0  -18   -8
W  620 -375   85  546
R  620   16   26   -4
D  640   0  -18    0
W  640 -374   87  543
R  640   20   34   -7
D  660   0  -18    0
W  660 -373   89  539
R  660   26   45  -11
D  680   0  -18    0
W  680 -371   91  534
R  680   32   54  -16
D  700   0  -18    0
W  700 -369   94  529
R  700   40   66  -21
D  720   0  -17    8
W  720 -367   97  524
R  720   48   77  -26
D  740   0  -17    0
W  740 -365  100  518
R  740   57   90  -32
D  760   0  -18   -8
W  760 -362  103  513
R  760   66  103  -37
D  780   0  -18    0
W  780 -359  106  507
R  780   77  117  -43
D  800   0  -18    0
W  800 -357  110  502
R  800   88  131  -48
D  820   0  -18    0
W  820 -354  113  496
R  820   98  146  -54
D  840   0  -17    8
W  840 -351  116  489
R  840  109  160  -61
D  860   0  -18   -8
W  860 -348  120  483
R  860  120  176  -67
D  880   0  -18    0
W  880 -345  124  478
R  880  132  192  -72
D  900   0  -18    0
W  900 -342  127  472
R  900  144  207  -78
D  920   0  -18    0
W  920 -338  131  467
R  920  156  223  -83
D  940   0  -18    0
W  940 -335  134  462
R  940  170  239  -88
D  960   0  -18    0
W  960 -331  138  457
R  960  182  256  -93
D  980   0  -18    0
W  980 -328  142  453
R  980  196  272  -97
D 1000   0  -18    0
W 1000 -324  145  448
R 1000  208  288 -102
D 1020   0  -18    0
W 1020 -320  149  443
R 1020  222  305 -107
D 1040   0  -18    0
W 1040 -316  153  439
R 1040  236  322 -111
D 1060   0  -18    0
W 1060 -313  157  435
R 1060  250  338 -115
D 1080   0  -18    0
W 1080 -309  160  431
R 1080  264  356 -119
D 1100   0  -18    0
W 1100 -305  164  426
R 1100  278  373 -124
D 1120   0  -18    0
W 1120 -301  168  422
R 1120  292  390 -128
D 1140   0  -18    0
W 1140 -297  171  417
R 1140  306  406 -133
D 1160   0  -18    0
W 1160 -293  175  413
R 1160  320  424 -137
D 1180   0  -18    0
W 1180 -288  179  409
R 1180  335  441 -141
D 1200   0  -18    0
W 1200 -284  182  405
R 1200  350  458 -145
D 1220   0  -18    0
W 1220 -280  186  401
R 1220  365  476 -149
D 1240   0  -18    0
W 1240 -275  190  397
R 1240  380  494 -153
D 1260   0  -18    0
W 1260 -271  193  393
R 1260  394  511 -157
D 1280   0  -18    0
W 1280 -267  197  389
R 1280  408  528 -161
D 1300   0  -18    0
W 1300 -263  200  385
R 1300  423  545 -165
D 1320   0  -18    0
W 1320 -258  204  381
R 1320  438  562 -169
D 1340   0  -18    0
W 1340 -254  207  378
R 1340  452  580 -172
D 1360   0  -18    0
W 1360 -249  211  375
R 1360  467  597 -175
D 1380   0  -18    0
W 1380 -245  214  372
R 1380  482  614 -178
D 1400   0  -18    0
W 1400 -241  217  369
R 1400  496  630 -181
D 1420   0  -18    0
W 1420 -237  220  366
363
R 1440  524  664 -187
D 1460   0  -18    0
W 1460 -228  227  361
R 1460  539  680 -189
D 1480   0  -18    0
W 1480 -224  230  359
R 1480  553  696 -191
D 1500   0  -18    0
W 1500 -219  233    354
R 1540  596  744 -196
D 1560   0  -18    8
W 1560 -206  242  353
R 1560  611  759 -197
D 1580   0  -18    0
W 1580 -202  245  352
R 1580  625  774 -198
D 1600   0  -17    8
W 1600 -198  248  4  814 -203
D 1660 127  -17    8
W 1660 -188  255  347
R 1660  676  826 -203
D 1680 127  -18   -8
W 1680 -185  257  347
R 1680  686  837 -203
D 1700 127  -18    0
W 1700 -182  259  348
D 1740 127  -18   -8
W 1740 -177  263  347
R 1740  712  862 -203
D 1760 127  -18    0
W 1760 -175  264  345
R 1760  718  869 -205
D 1780 127  -14   33
W 1780 -174  265  343
R 1780  724  876207
D 1820 127    7   75
W 1820 -171  267  344
R 1820  734  886 -206
D 1840 127   19  100
W 1840 -169  268  344
R 1840  738  890 -206
D 1860 127   32  108
W 1860 -168  269  344
R 1860  742  894 -20D 1900 127   53  100
W 1900 -166  270  344
R 1900  750  902 -206
D 1920 127   73  166
W 1920 -165  271  344
R 1920  752  905 -206
D 1940 127   93  166
W 1940 -165  271  344
R 1940  754  907 -206
R 2020  758  912 -207
D 2040 127  226  250
W 2040 -163  272  343
R 2040  758  912 -207
K2 2055 -163  272  343
% -- rotate with cube
D 2060   0  258  266
W 2060 -163  272  343
R 2100  758  912 -207
D 2120   0  361  225
W 2120 -163  272  343
R 2120  756  914 -207
D 2140   0  393  266
W 2140 -163  272  339
R 2140  752  918 -211
D 2160   0  423  250
W 2160 -163 272  306
R 2200  736  936 -244
D 2220   0  511  233
W 2220 -163  272  293
R 2220  730  940 -257
D 2240   0  536  208
W 2240 -163  272  280
R 2240  724  946 -270
D 2260   0  558  183
W 2260 -164  272
R 2320  692  974 -328
D 2340   0  618   83
W 2340 -164  272  204
R 2340  683  982 -346
D 2360   0  623   41
W 2360 -164  272  183
R 2360  675  990 -367
D 2380   0  628   41
W 2380 -164  272  161
R5
R 2460  630 1035 -495
D 2480   0  630    0
W 2480 -164  272   26
R 2480  620 1046 -524
D 2500   0  630    0
W 2500 -164  272   -5
R 2500  610 1056 -555
D 2520   0  630    0
W 2520 -164  272  -36
2540  590 1078 -620
D 2560   0  630    0
W 2560 -164  272 -104
R 2560  579 1089 -654
D 2580   0  630    0
W 2580 -164  272 -138
R 2580  568 1101 -688
D 2600   0  630    0
W 2600 -163  272 -173
D 2640   0  630    0
W 2640 -163  271 -244
R 2640  535 1138 -794
D 2660   0  629   -8
W 2660 -163  271 -282
R 2660  524 1150 -832
D 2680   0  629    0
W 2680 -163  271 -317
D 2720   0  630    0
W 2720 -162  271 -381
R 2720  492 1188 -931
D 2740   0  629   -8
W 2740 -162  271 -413
R 2740  482 1200 -963
D 2760   0  629    0
W 2760 -161  270 -443
D 2800   0  613 -116
W 2800 -160  269 -505
R 2800  454 1240 -1055
D 2820   0  595 -150
W 2820 -160  268 -535
R 2820  446 1253 -1085
D 2840   0  576 -158
W 2840 -159  268 -565
R 2840  438 18
W 2880 -158  266 -622
R 2880  424 1290 -1172
D 2900   0  539  -75
W 2900 -158  266 -650
R 2900  416 1299 -1200
D 2920   0  528  -91
W 2920 -158  266 -675
R 2920  407 1306 -1225
D 2940   0  518  - 1312 -1274
D 2980   0  501  -75
W 2980 -159  270 -743
R 2980  381 1310 -1293
D 3000   0  490  -91
W 3000 -160  272 -757
R 3000  372 1308 -1307
D 3020   0  480  -83
W 3020 -161  274 -772
D 3080   0  448  -66
W 3080 -163  284 -812
R 3080  322 1286 -1362
D 3100   0  437  -91
W 3100 -163  288 -824
R 3100  307 1278 -1374
D 3120   0  432  -41
W 3120 -164  292 -835
R 3120  2939 -1413
D 3200   0  389  -75
W 3200 -165  310 -871
R 3200  231 1228 -1421
D 3220   0  378  -91
W 3220 -165  315 -879
R 3220  216 1217 -1429
D 3240   0  372  -50
W 3240 -166  319 -887
R 3240  200 11444
D 3280   0  356  -83
W 3280 -166  330 -900
R 3280  166 1181 -1450
D 3300   0  350  -50
W 3300 -166  335 -909
R 3300  148 1168 -1459
D 3320   0  348  -16
W 3320 -166  341 -918
R 3320  128 1153
D 3360   0  348    0
W 3360 -165  354 -920
R 3360   90 1116 -1470
D 3380   0  348    0
W 3380 -165  360 -918
R 3380   73 1098 -1468
D 3400   0  348    0
W 3400 -165  366 -916
R 3400   56 1080 -14640   20 1042 -1464
D 3460   0  348    0
W 3460 -164  386 -913
R 3460    2 1024 -1463
D 3480   0  348    0
W 3480 -164  392 -911
R 3480  -16 1005 -1461
D 3500   0  348    0
W 3500 -164  398 -909
W 3540 -164  411 -904
R 3540  -70  948 -1454
D 3560   0  348    0
W 3560 -164  418 -902
R 3560  -88  929 -1452
D 3580   0  347   -8
W 3580 -164  424 -900
R 3580 -106  910 -1450
K4 3581
W 3620 -164  437 -897
R 3620 -142  872 -1447
D 3640 127  343  -25
W 3640 -164  443 -896
R 3640 -160  854 -1446
D 3660 127  340  -25
W 3660 -164  450 -896
R 3660 -178  835 -1446
D 3680 127  337  -25720 127  337    0
W 3720 -164  469 -896
R 3720 -234  780 -1446
D 3740 127  336   -8
W 3740 -164  476 -895
R 3740 -252  761 -1445
D 3760 127  340   33
W 3760 -164  482 -895
R 3760 -270  742 -1445
D 4  500 -895
R 3820 -322  690 -1445
D 3840 127  397  158
W 3840 -164  506 -894
R 3840 -338  673 -1444
D 3860 127  420  191
W 3860 -164  512 -893
R 3860 -354  656 -1443
D 3880 127  444  200
W 3880 -1 3920 127  501  250
W 3920 -165  530 -893
R 3920 -404  605 -1443
D 3940 127  530  241
W 3940 -165  535 -892
R 3940 -421  588 -1442
D 3960 127  563  275
W 3960 -165  541 -892
R 3960 -438  572 -1442
127  696  283
W 4040 -165  564 -892
R 4040 -503  507 -1442
D 4060 127  731  291
W 4060 -165  569 -892
R 4060 -518  491 -1442
D 4080 127  760  241
W 4080 -165  575 -891
R 4080 -534  475 -1441
K5 408
R 4100 -550  459 -1441
D 4120 127  834  300
W 4120 -165  586 -891
R 4120 -566  444 -1441
D 4140 127  873  325
W 4140 -166  591 -892
R 4140 -579  430 -1442
D 4160 127  904  258
W 4160 -166  595 -89220 -624  386 -1442
D 4240   0 1060  375
W 4240 -166  610 -892
